gene_name	uniprot	protein_length	region_1	region_2	pdb	chain	af_filename	gt_fn	label_offset	gt_len	gt_trim_len	pred_len	pred_trim_len	gt_perc	trim_perc
Nos1	P29476	1429.0	815-870	757-949	1b8q	A	F-P29476-F1-model_v3.cif	1b8q.cif	-6	29355	920	11304	920	0.03134048714018055	0.081
Nos1	P29476	1429.0	815-870	757-949	1cmi	C	F-P29476-F1-model_v3.cif	1cmi.cif	0	93	18	11304	18	0.1935483870967742	0.002
Nos1	P29476	1429.0	815-870	757-949	1f20	A	F-P29476-F1-model_v3.cif	1f20.cif	-962	3501	3494	11304	3494	0.9980005712653528	0.309
Nos1	P29476	1429.0	815-870	757-949	1k2r	A	F-P29476-F1-model_v3.cif	1k2r.cif	-298	3313	3313	11304	3313	1.0	0.293
Nos1	P29476	1429.0	815-870	757-949	1k2s	A	F-P29476-F1-model_v3.cif	1k2s.cif	-298	3313	3313	11304	3313	1.0	0.293
Nos1	P29476	1429.0	815-870	757-949	1k2t	A	F-P29476-F1-model_v3.cif	1k2t.cif	-298	3313	3313	11304	3313	1.0	0.293
Nos1	P29476	1429.0	815-870	757-949	1k2u	A	F-P29476-F1-model_v3.cif	1k2u.cif	-298	3313	3313	11304	3313	1.0	0.293
Nos1	P29476	1429.0	815-870	757-949	1lzx	A	F-P29476-F1-model_v3.cif	1lzx.cif	-298	3313	3313	11304	3313	1.0	0.293
Nos1	P29476	1429.0	815-870	757-949	1lzz	A	F-P29476-F1-model_v3.cif	1lzz.cif	-298	3313	3313	11304	3313	1.0	0.293
Nos1	P29476	1429.0	815-870	757-949	1m00	A	F-P29476-F1-model_v3.cif	1m00.cif	-298	3313	3313	11304	3313	1.0	0.293
Nos1	P29476	1429.0	815-870	757-949	1mmv	A	F-P29476-F1-model_v3.cif	1mmv.cif	-298	3313	3313	11304	3313	1.0	0.293
Nos1	P29476	1429.0	815-870	757-949	1mmw	A	F-P29476-F1-model_v3.cif	1mmw.cif	-298	3313	3313	11304	3313	1.0	0.293
Nos1	P29476	1429.0	815-870	757-949	1om4	A	F-P29476-F1-model_v3.cif	1om4.cif	-296	3313	3313	11304	3313	1.0	0.293
Nos1	P29476	1429.0	815-870	757-949	1om5	A	F-P29476-F1-model_v3.cif	1om5.cif	-296	3313	3313	11304	3313	1.0	0.293
Nos1	P29476	1429.0	815-870	757-949	1p6h	A	F-P29476-F1-model_v3.cif	1p6h.cif	-296	3313	3313	11304	3313	1.0	0.293
Nos1	P29476	1429.0	815-870	757-949	1p6i	A	F-P29476-F1-model_v3.cif	1p6i.cif	-296	3313	3313	11304	3313	1.0	0.293
Nos1	P29476	1429.0	815-870	757-949	1p6j	A	F-P29476-F1-model_v3.cif	1p6j.cif	-296	3313	3313	11304	3313	1.0	0.293
Nos1	P29476	1429.0	815-870	757-949	1p6k	A	F-P29476-F1-model_v3.cif	1p6k.cif	-296	3324	3305	11304	3305	0.9942839951865222	0.292
Nos1	P29476	1429.0	815-870	757-949	1qau	A	F-P29476-F1-model_v3.cif	1qau.cif	-13	812	811	11304	811	0.9987684729064039	0.072
Nos1	P29476	1429.0	815-870	757-949	1qav	B	F-P29476-F1-model_v3.cif	1qav.cif	-11	840	839	11304	839	0.9988095238095238	0.074
Nos1	P29476	1429.0	815-870	757-949	1qw6	A	F-P29476-F1-model_v3.cif	1qw6.cif	-296	3418	3414	11304	3414	0.9988297249853716	0.302
Nos1	P29476	1429.0	815-870	757-949	1qwc	A	F-P29476-F1-model_v3.cif	1qwc.cif	-296	3418	3414	11304	3414	0.9988297249853716	0.302
Nos1	P29476	1429.0	815-870	757-949	1rs6	A	F-P29476-F1-model_v3.cif	1rs6.cif	-296	3315	3313	11304	3313	0.9993966817496229	0.293
Nos1	P29476	1429.0	815-870	757-949	1rs7	A	F-P29476-F1-model_v3.cif	1rs7.cif	-296	3313	3313	11304	3313	1.0	0.293
Nos1	P29476	1429.0	815-870	757-949	1tll	A	F-P29476-F1-model_v3.cif	1tll.cif	-741	5010	5004	11304	5004	0.9988023952095808	0.443
Nos1	P29476	1429.0	815-870	757-949	1vag	A	F-P29476-F1-model_v3.cif	1vag.cif	-296	3418	3414	11304	3414	0.9988297249853716	0.302
Nos1	P29476	1429.0	815-870	757-949	1zvi	A	F-P29476-F1-model_v3.cif	1zvi.cif	-296	3393	3389	11304	3389	0.9988211022693781	0.3
Nos1	P29476	1429.0	815-870	757-949	1zvl	A	F-P29476-F1-model_v3.cif	1zvl.cif	-296	3418	3414	11304	3414	0.9988297249853716	0.302
Nos1	P29476	1429.0	815-870	757-949	1zzq	A	F-P29476-F1-model_v3.cif	1zzq.cif	-298	3327	3305	11304	3305	0.9933874361286444	0.292
Nos1	P29476	1429.0	815-870	757-949	1zzr	A	F-P29476-F1-model_v3.cif	1zzr.cif	-298	3312	3297	11304	3297	0.9954710144927537	0.292
Nos1	P29476	1429.0	815-870	757-949	1zzu	A	F-P29476-F1-model_v3.cif	1zzu.cif	-298	3317	3297	11304	3297	0.9939704552306301	0.292
Nos1	P29476	1429.0	815-870	757-949	2g6h	A	F-P29476-F1-model_v3.cif	2g6h.cif	-298	3313	3313	11304	3313	1.0	0.293
Nos1	P29476	1429.0	815-870	757-949	2g6i	A	F-P29476-F1-model_v3.cif	2g6i.cif	-298	3331	3331	11304	3331	1.0	0.295
Nos1	P29476	1429.0	815-870	757-949	2g6j	A	F-P29476-F1-model_v3.cif	2g6j.cif	-298	3331	3323	11304	3323	0.9975983188231762	0.294
Nos1	P29476	1429.0	815-870	757-949	2g6k	A	F-P29476-F1-model_v3.cif	2g6k.cif	-298	3331	3331	11304	3331	1.0	0.295
Nos1	P29476	1429.0	815-870	757-949	2g6l	A	F-P29476-F1-model_v3.cif	2g6l.cif	-298	3331	3331	11304	3331	1.0	0.295
Nos1	P29476	1429.0	815-870	757-949	2g6m	A	F-P29476-F1-model_v3.cif	2g6m.cif	-298	3313	3313	11304	3313	1.0	0.293
Nos1	P29476	1429.0	815-870	757-949	2g6n	A	F-P29476-F1-model_v3.cif	2g6n.cif	-298	3331	3331	11304	3331	1.0	0.295
Nos1	P29476	1429.0	815-870	757-949	2hx3	A	F-P29476-F1-model_v3.cif	2hx3.cif	-296	3313	3313	11304	3313	1.0	0.293
Nos1	P29476	1429.0	815-870	757-949	2hx4	A	F-P29476-F1-model_v3.cif	2hx4.cif	-296	3313	3313	11304	3313	1.0	0.293
Nos1	P29476	1429.0	815-870	757-949	3b3m	A	F-P29476-F1-model_v3.cif	3b3m.cif	-296	3315	3313	11304	3313	0.9993966817496229	0.293
Nos1	P29476	1429.0	815-870	757-949	3b3n	A	F-P29476-F1-model_v3.cif	3b3n.cif	-296	3313	3313	11304	3313	1.0	0.293
Nos1	P29476	1429.0	815-870	757-949	3b3o	A	F-P29476-F1-model_v3.cif	3b3o.cif	-296	3331	3331	11304	3331	1.0	0.295
Nos1	P29476	1429.0	815-870	757-949	3b3p	A	F-P29476-F1-model_v3.cif	3b3p.cif	-296	3331	3331	11304	3331	1.0	0.295
Nos1	P29476	1429.0	815-870	757-949	3dqr	A	F-P29476-F1-model_v3.cif	3dqr.cif	-296	3312	3297	11304	3297	0.9954710144927537	0.292
Nos1	P29476	1429.0	815-870	757-949	3fc5	A	F-P29476-F1-model_v3.cif	3fc5.cif	-296	3315	3309	11304	3309	0.9981900452488688	0.293
Nos1	P29476	1429.0	815-870	757-949	3hsn	A	F-P29476-F1-model_v3.cif	3hsn.cif	-296	3390	3344	11304	3344	0.9864306784660767	0.296
Nos1	P29476	1429.0	815-870	757-949	3hso	A	F-P29476-F1-model_v3.cif	3hso.cif	-296	3380	3344	11304	3344	0.9893491124260355	0.296
Nos1	P29476	1429.0	815-870	757-949	3hsp	A	F-P29476-F1-model_v3.cif	3hsp.cif	-296	3366	3350	11304	3350	0.9952465834818776	0.296
Nos1	P29476	1429.0	815-870	757-949	3jt3	A	F-P29476-F1-model_v3.cif	3jt3.cif	-296	3313	3313	11304	3313	1.0	0.293
Nos1	P29476	1429.0	815-870	757-949	3jt4	A	F-P29476-F1-model_v3.cif	3jt4.cif	-296	3331	3331	11304	3331	1.0	0.295
Nos1	P29476	1429.0	815-870	757-949	3jt5	A	F-P29476-F1-model_v3.cif	3jt5.cif	-296	3316	3313	11304	3313	0.9990952955367913	0.293
Nos1	P29476	1429.0	815-870	757-949	3jt6	A	F-P29476-F1-model_v3.cif	3jt6.cif	-296	3322	3313	11304	3313	0.9972907886815171	0.293
Nos1	P29476	1429.0	815-870	757-949	3jt7	A	F-P29476-F1-model_v3.cif	3jt7.cif	-296	3322	3313	11304	3313	0.9972907886815171	0.293
