uniprot	region_1	region_2	region_1_len	region_2_len	pdb	pdb_length	resolution	model	chain	label_offset	pdb residues in region_1	pdb residues in region_2	percent_region_1	percent_region_2	gt_fn	pred_fn
Q72AS4	52-205	237-315	154	79	2wpn	277	2.04	0	A	0	154	79	100.0	100.0	2wpn.cif	AF-Q72AS4-F1-model_v4.cif
Q72AS4	52-205	237-315	154	79	3ze6	276	1.5	0	A	-34	153	79	99.35064935064936	100.0	3ze6.cif	AF-Q72AS4-F1-model_v4.cif
Q72AS4	52-205	237-315	154	79	3ze7	277	1.95	0	A	-34	154	79	100.0	100.0	3ze7.cif	AF-Q72AS4-F1-model_v4.cif
Q72AS4	52-205	237-315	154	79	3ze8	277	1.801	0	A	-34	154	79	100.0	100.0	3ze8.cif	AF-Q72AS4-F1-model_v4.cif
Q72AS4	52-205	237-315	154	79	3ze9	278	1.33	0	A	-34	153	79	99.35064935064936	100.0	3ze9.cif	AF-Q72AS4-F1-model_v4.cif
Q72AS4	52-205	237-315	154	79	3zea	279	1.82	0	A	-34	154	79	100.0	100.0	3zea.cif	AF-Q72AS4-F1-model_v4.cif
Q72AS4	52-205	237-315	154	79	5jsh	283	1.3	0	A	0	154	79	100.0	100.0	5jsh.cif	AF-Q72AS4-F1-model_v4.cif
Q72AS4	52-205	237-315	154	79	5jsk	283	0.95	0	A	0	154	79	100.0	100.0	5jsk.cif	AF-Q72AS4-F1-model_v4.cif
Q72AS4	52-205	237-315	154	79	5jsu	283	1.4	0	A	0	154	79	100.0	100.0	5jsu.cif	AF-Q72AS4-F1-model_v4.cif
Q72AS4	52-205	237-315	154	79	5jsy	283	1.04	0	A	0	154	79	100.0	100.0	5jsy.cif	AF-Q72AS4-F1-model_v4.cif
Q72AS4	52-205	237-315	154	79	5jt1	283	1.35	0	A	0	154	79	100.0	100.0	5jt1.cif	AF-Q72AS4-F1-model_v4.cif
Q72AS4	52-205	237-315	154	79	6rtp	283	1.1	0	A	-34	154	79	100.0	100.0	6rtp.cif	AF-Q72AS4-F1-model_v4.cif
Q72AS4	52-205	237-315	154	79	6ru9	277	1.355	0	A	-34	154	79	100.0	100.0	6ru9.cif	AF-Q72AS4-F1-model_v4.cif
Q72AS4	52-205	237-315	154	79	6ruc	283	1.199	0	A	-34	154	79	100.0	100.0	6ruc.cif	AF-Q72AS4-F1-model_v4.cif
Q72AS4	52-205	237-315	154	79	6z7r	279	1.77	0	A	-34	154	79	100.0	100.0	6z7r.cif	AF-Q72AS4-F1-model_v4.cif
Q72AS4	52-205	237-315	154	79	6z8j	279	1.09	0	A	-34	154	79	100.0	100.0	6z8j.cif	AF-Q72AS4-F1-model_v4.cif
Q72AS4	52-205	237-315	154	79	6z8m	283	1.02	0	A	-34	154	79	100.0	100.0	6z8m.cif	AF-Q72AS4-F1-model_v4.cif
