uniprot	region_1	region_2	pdb	chain	pred_fn	gt_fn	label_offset	gt_len	gt_trim_len	pred_len	pred_trim_len	gt_perc	trim_perc
Q72AS4	52-205	237-315	2wpn	A	AF-Q72AS4-F1-model_v4.cif	2wpn.cif	0	2088	2082	2378	2082	0.9971264367816092	0.876
Q72AS4	52-205	237-315	3ze6	A	AF-Q72AS4-F1-model_v4.cif	3ze6.cif	-34	4252	2076	2378	2076	0.48824082784571965	0.873
Q72AS4	52-205	237-315	3ze7	A	AF-Q72AS4-F1-model_v4.cif	3ze7.cif	-34	2112	2082	2378	2082	0.9857954545454546	0.876
Q72AS4	52-205	237-315	3ze8	A	AF-Q72AS4-F1-model_v4.cif	3ze8.cif	-34	2103	2082	2378	2082	0.9900142653352354	0.876
Q72AS4	52-205	237-315	3ze9	A	AF-Q72AS4-F1-model_v4.cif	3ze9.cif	-34	4287	2089	2378	2089	0.4872871471891766	0.878
Q72AS4	52-205	237-315	3zea	A	AF-Q72AS4-F1-model_v4.cif	3zea.cif	-34	4178	2095	2378	2095	0.5014360938247966	0.881
Q72AS4	52-205	237-315	5jsh	A	AF-Q72AS4-F1-model_v4.cif	5jsh.cif	0	4452	2121	2378	2121	0.47641509433962265	0.892
Q72AS4	52-205	237-315	5jsk	A	AF-Q72AS4-F1-model_v4.cif	5jsk.cif	0	4372	2121	2378	2121	0.48513266239707226	0.892
Q72AS4	52-205	237-315	5jsu	A	AF-Q72AS4-F1-model_v4.cif	5jsu.cif	0	4440	2121	2378	2121	0.4777027027027027	0.892
Q72AS4	52-205	237-315	5jsy	A	AF-Q72AS4-F1-model_v4.cif	5jsy.cif	0	4510	2121	2378	2121	0.4702882483370288	0.892
Q72AS4	52-205	237-315	5jt1	A	AF-Q72AS4-F1-model_v4.cif	5jt1.cif	0	4394	2121	2378	2121	0.4827036868456987	0.892
Q72AS4	52-205	237-315	6rtp	A	AF-Q72AS4-F1-model_v4.cif	6rtp.cif	-34	4395	2121	2378	2121	0.4825938566552901	0.892
Q72AS4	52-205	237-315	6ru9	A	AF-Q72AS4-F1-model_v4.cif	6ru9.cif	-34	4127	2082	2378	2082	0.5044826750666344	0.876
Q72AS4	52-205	237-315	6ruc	A	AF-Q72AS4-F1-model_v4.cif	6ruc.cif	-34	4278	2120	2378	2120	0.49555867227676487	0.892
Q72AS4	52-205	237-315	6z7r	A	AF-Q72AS4-F1-model_v4.cif	6z7r.cif	-34	4164	2095	2378	2095	0.5031219980787704	0.881
Q72AS4	52-205	237-315	6z8j	A	AF-Q72AS4-F1-model_v4.cif	6z8j.cif	-34	4208	2095	2378	2095	0.497861216730038	0.881
Q72AS4	52-205	237-315	6z8m	A	AF-Q72AS4-F1-model_v4.cif	6z8m.cif	-34	4378	2121	2378	2121	0.48446779351301966	0.892
Q72AS4	52-205	237-315	6z8o	A	AF-Q72AS4-F1-model_v4.cif	6z8o.cif	-34	4130	2082	2378	2082	0.5041162227602906	0.876
Q72AS4	52-205	237-315	6z9g	A	AF-Q72AS4-F1-model_v4.cif	6z9g.cif	-34	4158	2082	2378	2082	0.5007215007215007	0.876
Q72AS4	52-205	237-315	6z9o	A	AF-Q72AS4-F1-model_v4.cif	6z9o.cif	-34	4190	2091	2378	2091	0.49904534606205253	0.879
Q72AS4	52-205	237-315	6za1	A	AF-Q72AS4-F1-model_v4.cif	6za1.cif	-34	4192	2095	2378	2095	0.4997614503816794	0.881
Q7CRA4	113-302	425-657	2bg1	A	AF-Q7CRA4-F1-model_v4.cif	2bg1.cif	0	3524	172	6297	172	0.04880817253121453	0.027
Q7CRA4	113-302	425-657	2uwx	A	AF-Q7CRA4-F1-model_v4.cif	2uwx.cif	-100	3652	303	6297	303	0.08296823658269441	0.048
Q7CRA4	113-302	425-657	2xd1	A	AF-Q7CRA4-F1-model_v4.cif	2xd1.cif	-100	3617	320	6297	320	0.08847110865358032	0.051
Q7CRA4	113-302	425-657	2xd5	A	AF-Q7CRA4-F1-model_v4.cif	2xd5.cif	-297	3657	3490	6297	3490	0.954334153677878	0.554
Q7CRA4	113-302	425-657	2y2g	A	AF-Q7CRA4-F1-model_v4.cif	2y2g.cif	-100	3610	300	6297	300	0.08310249307479224	0.048
Q7CRA4	113-302	425-657	2y2h	A	AF-Q7CRA4-F1-model_v4.cif	2y2h.cif	-100	3594	306	6297	306	0.08514190317195326	0.049
Q7CRA4	113-302	425-657	2y2i	A	AF-Q7CRA4-F1-model_v4.cif	2y2i.cif	-100	3596	314	6297	314	0.08731924360400445	0.05
Q7CRA4	113-302	425-657	2y2j	A	AF-Q7CRA4-F1-model_v4.cif	2y2j.cif	-100	3650	314	6297	314	0.08602739726027397	0.05
Q7CRA4	113-302	425-657	2y2k	A	AF-Q7CRA4-F1-model_v4.cif	2y2k.cif	-100	3637	306	6297	306	0.08413527632664283	0.049
Q7CRA4	113-302	425-657	2y2l	A	AF-Q7CRA4-F1-model_v4.cif	2y2l.cif	-100	3647	329	6297	329	0.09021113243761997	0.052
Q7CRA4	113-302	425-657	2y2m	A	AF-Q7CRA4-F1-model_v4.cif	2y2m.cif	-100	3682	314	6297	314	0.08527973927213471	0.05
Q7CRA4	113-302	425-657	2y2n	A	AF-Q7CRA4-F1-model_v4.cif	2y2n.cif	-100	3634	314	6297	314	0.0864061640066043	0.05
Q7CRA4	113-302	425-657	2y2o	A	AF-Q7CRA4-F1-model_v4.cif	2y2o.cif	-100	3669	314	6297	314	0.08558190242572908	0.05
Q7CRA4	113-302	425-657	2y2p	A	AF-Q7CRA4-F1-model_v4.cif	2y2p.cif	-100	3603	305	6297	305	0.08465167915625868	0.048
Q7CRA4	113-302	425-657	2y2q	A	AF-Q7CRA4-F1-model_v4.cif	2y2q.cif	-100	3637	314	6297	314	0.08633489139400605	0.05
Q7CRA4	113-302	425-657	7zuh	A	AF-Q7CRA4-F1-model_v4.cif	7zuh.cif	0	3642	3593	6297	3593	0.986545853926414	0.571
Q7CRA4	113-302	425-657	7zui	A	AF-Q7CRA4-F1-model_v4.cif	7zui.cif	0	3534	3484	6297	3484	0.9858517260894171	0.553
Q7CRA4	113-302	425-657	7zuj	A	AF-Q7CRA4-F1-model_v4.cif	7zuj.cif	0	3535	3484	6297	3484	0.9855728429985856	0.553
Q7CRA4	113-302	425-657	7zuk	A	AF-Q7CRA4-F1-model_v4.cif	7zuk.cif	0	3543	3484	6297	3484	0.9833474456675134	0.553
Q7CRA4	113-302	425-657	7zul	A	AF-Q7CRA4-F1-model_v4.cif	7zul.cif	0	3540	3484	6297	3484	0.984180790960452	0.553
P14677	632-691	692-750	1pmd	A	AF-P14677-F1-model_v4.cif	1pmd.cif	-75	675	674	5787	674	0.9985185185185185	0.116
P14677	632-691	692-750	1qme	A	AF-P14677-F1-model_v4.cif	1qme.cif	-48	4256	4248	5787	4248	0.9981203007518797	0.734
P14677	632-691	692-750	1qmf	A	AF-P14677-F1-model_v4.cif	1qmf.cif	-48	4262	4254	5787	4254	0.998122946973252	0.735
P14677	632-691	692-750	1rp5	A	AF-P14677-F1-model_v4.cif	1rp5.cif	0	5128	281	5787	281	0.054797191887675505	0.049
P14677	632-691	692-750	2z2l	A	AF-P14677-F1-model_v4.cif	2z2l.cif	0	1224	59	5787	59	0.04820261437908497	0.01
P14677	632-691	692-750	2z2m	A	AF-P14677-F1-model_v4.cif	2z2m.cif	0	1224	59	5787	59	0.04820261437908497	0.01
P14677	632-691	692-750	2zc3	A	AF-P14677-F1-model_v4.cif	2zc3.cif	0	1220	59	5787	59	0.04836065573770492	0.01
P14677	632-691	692-750	2zc4	A	AF-P14677-F1-model_v4.cif	2zc4.cif	0	1220	59	5787	59	0.04836065573770492	0.01
P00582	1-323	324-517	1d8y	B	AF-P00582-F1-model_v4.cif	1d8y.cif	-323	4745	4727	7258	4727	0.9962065331928346	0.651
P00582	1-323	324-517	1d9d	B	AF-P00582-F1-model_v4.cif	1d9d.cif	-323	4753	4745	7258	4745	0.9983168525142015	0.654
