uniprot	region_1	region_2	af_filename	cf_filename	complex_mean_plddt	r1_mean_plddt	r2_mean_plddt
P04637	364-393	102-292	F-P04637-F1-model_v3.cif	P04637_004_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	75.129	44.089	95.235
P04637	364-393	102-292	F-P04637-F1-model_v3.cif	P04637_000_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	75.129	44.089	95.235
P04637	364-393	102-292	F-P04637-F1-model_v3.cif	P04637_015_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	75.129	44.089	95.235
P04637	364-393	102-292	F-P04637-F1-model_v3.cif	P04637_009_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	75.129	44.089	95.235
P04637	364-393	102-292	F-P04637-F1-model_v3.cif	P04637_U100-003_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	75.129	44.089	95.235
P04637	364-393	102-292	F-P04637-F1-model_v3.cif	P04637_U100-007_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	75.129	44.089	95.235
P04637	364-393	102-292	F-P04637-F1-model_v3.cif	P04637_018_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	75.129	44.089	95.235
P04637	364-393	102-292	F-P04637-F1-model_v3.cif	P04637_U10-006_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	75.129	44.089	95.235
P04637	364-393	102-292	F-P04637-F1-model_v3.cif	P04637_U10-002_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	75.129	44.089	95.235
P04637	364-393	102-292	F-P04637-F1-model_v3.cif	P04637_022_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	75.129	44.089	95.235
P04637	364-393	102-292	F-P04637-F1-model_v3.cif	P04637_011_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	75.129	44.089	95.235
P04637	364-393	102-292	F-P04637-F1-model_v3.cif	P04637_005_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	75.129	44.089	95.235
P04637	364-393	102-292	F-P04637-F1-model_v3.cif	P04637_U100-002_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	75.129	44.089	95.235
P04637	364-393	102-292	F-P04637-F1-model_v3.cif	P04637_U100-006_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	75.129	44.089	95.235
P04637	364-393	102-292	F-P04637-F1-model_v3.cif	P04637_001_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	75.129	44.089	95.235
P04637	364-393	102-292	F-P04637-F1-model_v3.cif	P04637_U10-003_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	75.129	44.089	95.235
P04637	364-393	102-292	F-P04637-F1-model_v3.cif	P04637_U10-007_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	75.129	44.089	95.235
P04637	364-393	102-292	F-P04637-F1-model_v3.cif	P04637_019_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	75.129	44.089	95.235
P04637	364-393	102-292	F-P04637-F1-model_v3.cif	P04637_023_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	75.129	44.089	95.235
P04637	364-393	102-292	F-P04637-F1-model_v3.cif	P04637_008_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	75.129	44.089	95.235
P04637	364-393	102-292	F-P04637-F1-model_v3.cif	P04637_014_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	75.129	44.089	95.235
P04637	364-393	102-292	F-P04637-F1-model_v3.cif	P04637_010_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	75.129	44.089	95.235
P04637	364-393	102-292	F-P04637-F1-model_v3.cif	P04637_U100-009_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	75.129	44.089	95.235
P04637	364-393	102-292	F-P04637-F1-model_v3.cif	P04637_012_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	75.129	44.089	95.235
P04637	364-393	102-292	F-P04637-F1-model_v3.cif	P04637_007_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	75.129	44.089	95.235
P04637	364-393	102-292	F-P04637-F1-model_v3.cif	P04637_U10-001_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	75.129	44.089	95.235
P04637	364-393	102-292	F-P04637-F1-model_v3.cif	P04637_U10-005_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	75.129	44.089	95.235
P04637	364-393	102-292	F-P04637-F1-model_v3.cif	P04637_U10-008_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	75.129	44.089	95.235
P04637	364-393	102-292	F-P04637-F1-model_v3.cif	P04637_U100-004_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	75.129	44.089	95.235
P04637	364-393	102-292	F-P04637-F1-model_v3.cif	P04637_U100-000_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	75.129	44.089	95.235
P04637	364-393	102-292	F-P04637-F1-model_v3.cif	P04637_021_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	75.129	44.089	95.235
P04637	364-393	102-292	F-P04637-F1-model_v3.cif	P04637_016_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	75.129	44.089	95.235
P04637	364-393	102-292	F-P04637-F1-model_v3.cif	P04637_003_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	75.129	44.089	95.235
P04637	364-393	102-292	F-P04637-F1-model_v3.cif	P04637_020_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	75.129	44.089	95.235
P04637	364-393	102-292	F-P04637-F1-model_v3.cif	P04637_002_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	75.129	44.089	95.235
P04637	364-393	102-292	F-P04637-F1-model_v3.cif	P04637_U10-009_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	75.129	44.089	95.235
P04637	364-393	102-292	F-P04637-F1-model_v3.cif	P04637_U100-005_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	75.129	44.089	95.235
P04637	364-393	102-292	F-P04637-F1-model_v3.cif	P04637_U100-008_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	75.129	44.089	95.235
P04637	364-393	102-292	F-P04637-F1-model_v3.cif	P04637_006_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	75.129	44.089	95.235
P04637	364-393	102-292	F-P04637-F1-model_v3.cif	P04637_U10-000_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	75.129	44.089	95.235
P04637	364-393	102-292	F-P04637-F1-model_v3.cif	P04637_013_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	75.129	44.089	95.235
P04637	364-393	102-292	F-P04637-F1-model_v3.cif	P04637_U100-001_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	75.129	44.089	95.235
P04637	364-393	102-292	F-P04637-F1-model_v3.cif	P04637_U10-004_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	75.129	44.089	95.235
P04637	364-393	102-292	F-P04637-F1-model_v3.cif	P04637_017_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	75.129	44.089	95.235
P07038	892-917	562-625	F-P07038-F1-model_v3.cif	P07038_U100-001_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	77.453	59.654	80.115
P07038	892-917	562-625	F-P07038-F1-model_v3.cif	P07038_U10-003_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	77.453	59.654	80.115
P07038	892-917	562-625	F-P07038-F1-model_v3.cif	P07038_U10-007_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	77.453	59.654	80.115
