uniprot	region_1	region_2	af_filename	cluster	cf_filename
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	210	P0AG30_210_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	092	P0AG30_092_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	013	P0AG30_013_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	071	P0AG30_071_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	165	P0AG30_165_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	U10-000	P0AG30_U10-000_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	031	P0AG30_031_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	053	P0AG30_053_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	291	P0AG30_291_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	107	P0AG30_107_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	241	P0AG30_241_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	186	P0AG30_186_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	250	P0AG30_250_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	139	P0AG30_139_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	232	P0AG30_232_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	309	P0AG30_309_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	214	P0AG30_214_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	147	P0AG30_147_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	035	P0AG30_035_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	017	P0AG30_017_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	311	P0AG30_311_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	087	P0AG30_087_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	208	P0AG30_208_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	193	P0AG30_193_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	121	P0AG30_121_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	289	P0AG30_289_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	060	P0AG30_060_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	236	P0AG30_236_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	130	P0AG30_130_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	024	P0AG30_024_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	069	P0AG30_069_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	U100-004	P0AG30_U100-004_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	112	P0AG30_112_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	182	P0AG30_182_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	272	P0AG30_272_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	064	P0AG30_064_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	263	P0AG30_263_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	128	P0AG30_128_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	298	P0AG30_298_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	161	P0AG30_161_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	U10-009	P0AG30_U10-009_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	103	P0AG30_103_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	179	P0AG30_179_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	174	P0AG30_174_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	116	P0AG30_116_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	134	P0AG30_134_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	U100-000	P0AG30_U100-000_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	042	P0AG30_042_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	002	P0AG30_002_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	170	P0AG30_170_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	267	P0AG30_267_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	168	P0AG30_168_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	125	P0AG30_125_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	223	P0AG30_223_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	083	P0AG30_083_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	143	P0AG30_143_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	245	P0AG30_245_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	197	P0AG30_197_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	156	P0AG30_156_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	280	P0AG30_280_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	304	P0AG30_304_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	020	P0AG30_020_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	201	P0AG30_201_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	057	P0AG30_057_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	038	P0AG30_038_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	248	P0AG30_248_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	227	P0AG30_227_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	205	P0AG30_205_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	276	P0AG30_276_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	006	P0AG30_006_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	046	P0AG30_046_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	219	P0AG30_219_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	284	P0AG30_284_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	254	P0AG30_254_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	152	P0AG30_152_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	259	P0AG30_259_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	U100-009	P0AG30_U100-009_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	029	P0AG30_029_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	300	P0AG30_300_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	096	P0AG30_096_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	075	P0AG30_075_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
