uniprot	region_1	region_2	conformation	state	cluster	cf_filename
O08967	251-265,383-395	77-206	Closed	Autoinhibited	007	O08967_007_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
O08967	251-265,383-395	77-206	Closed	Autoinhibited	012	O08967_012_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
O08967	251-265,383-395	77-206	Closed	Autoinhibited	034	O08967_034_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
O08967	251-265,383-395	77-206	Closed	Autoinhibited	U100-006	O08967_U100-006_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
O08967	251-265,383-395	77-206	Closed	Autoinhibited	021	O08967_021_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
O08967	251-265,383-395	77-206	Closed	Autoinhibited	003	O08967_003_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
O08967	251-265,383-395	77-206	Closed	Autoinhibited	U10-002	O08967_U10-002_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
O08967	251-265,383-395	77-206	Closed	Autoinhibited	025	O08967_025_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb
O08967	251-265,383-395	77-206	Closed	Autoinhibited	U10-006	O08967_U10-006_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
O08967	251-265,383-395	77-206	Closed	Autoinhibited	U100-002	O08967_U100-002_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
O08967	251-265,383-395	77-206	Closed	Autoinhibited	028	O08967_028_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
O08967	251-265,383-395	77-206	Closed	Autoinhibited	016	O08967_016_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
O08967	251-265,383-395	77-206	Closed	Autoinhibited	030	O08967_030_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb
O08967	251-265,383-395	77-206	Closed	Autoinhibited	U100-003	O08967_U100-003_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
