uniprot	region_1	region_2	mean_pae_1_1	mean_pae_1_2	mean_pae_2_2
Q72AS4	52-205	237-315	1.767	2.545	1.453
Q7CRA4	113-302	425-657	6.426	23.042	2.48
P14677	632-691	692-750	1.65	2.739	2.194
P00582	1-323	324-517	8.028	26.998	2.523
A0A0H2WY27	56-288	317-382	1.845	3.088	1.887
P77933	524-665	1132-1265	5.66	28.587	3.838
Q8GN86	9-407	416-491	3.132	7.495	2.386
Q51504	58-207	247-546	4.113	8.394	3.301
D9N168	3-169	336-543	1.843	3.801	3.054
O16025	374-490	491-1066	2.869	6.621	3.206
A0A140DJY3	32-436	445-522	3.415	10.18	2.965
G0WVH3	10-416	425-500	3.655	8.374	3.855
Q95VR4	11-109	147-325	2.951	27.876	3.155
E1K248	67-211	229-311	1.847	2.703	1.43
A0A0A0V031	11-412	422-496	2.694	6.682	2.336
P59676	632-691	692-750	1.669	2.775	2.25
A0A0F7R6G7	27-435	443-519	4.384	10.213	3.747
Q7WU28	4-298	374-576	10.59	20.347	2.606
O68880	38-167	220-351	2.202	3.503	2.237
O29238	65-245	506-662	4.09	7.664	3.46
P47736	1-17	181-397	7.412	29.644	3.503
A0A3B6UEQ0	22-167	187-265	1.903	2.858	1.485
Q941M3	31-439	448-523	4.048	14.283	2.633
Q9RET4	60-236	331-595	4.921	19.682	3.209
H6SG27	24-429	437-515	4.624	11.26	4.126
F2Z7K9	71-221	263-557	5.43	9.593	2.948
F2Z6J5	63-211	231-312	2.38	3.576	1.664
Q9I5E6	18-268	300-476	2.132	3.972	2.632
A0A0M3KKZ3	40-118	158-457	6.196	10.894	3.481
Q87I71	96-198	361-467	2.426	4.507	2.07
Q8X5N8	27-155	204-335	2.313	3.602	2.303
Q47NR5	33-441	450-525	3.463	11.425	2.673
A0A0E8T757	632-691	692-750	1.639	2.729	2.219
M4GWN4	9-409	418-493	5.786	12.307	3.57
Q6NC13	22-429	437-512	2.695	5.917	2.697
Q2G2X6	56-288	317-382	1.873	3.135	1.915
B1YSR8	70-218	259-555	5.637	10.402	3.667
B9PW60	11-171	201-324	5.173	5.77	1.961
Q6NAE3	14-406	415-489	3.691	10.472	2.482
A0R0V0	52-462	472-546	3.848	14.365	2.632
Q57540	56-288	317-382	1.881	3.17	1.956
A0A0M3KKZ4	40-118	158-457	6.697	11.292	3.494
P83789	41-122	488-732	1.709	15.656	2.88
A0A0J1PJ79	59-204	224-302	1.864	2.802	1.487
Q9L869	17-163	182-264	1.966	2.905	1.584
Q8RR30	71-221	263-557	5.453	9.419	3.055
D3RV29	64-210	230-309	2.381	3.639	1.833
A0A066ZR71	79-227	247-328	2.531	3.781	1.672
F3Y661	18-419	428-506	3.781	11.951	2.601
Q63QJ1	71-219	260-558	5.829	10.694	4.006
Q8KHY3	82-257	361-631	5.43	16.176	2.49
Q2TU34	13-198	203-332	3.376	4.125	1.892
B7LGE4	59-204	224-302	1.829	2.72	1.463
A9T230	92-291	295-424	7.058	8.081	2.149
P0AG30	1-47	48-123	2.567	5.539	2.645
P23687	1-426	427-710	2.948	3.332	2.098
O69275	1-226	227-427	3.156	4.586	2.714
Q7KLV9	1-223	224-392	9.683	12.621	5.391
H2E7Q8	1-80,452-730	81-451	2.924	4.243	2.856
P04958	1-250	251-451	3.004	4.236	4.973
P04807	75-209	210-458	2.636	5.651	2.669
O60729	44-198	214-374	2.673	4.058	2.421
P23694	1-246	257-471	4.761	5.198	2.195
Q49434	1-142	183-383	4.62	9.555	5.63
P15873	1-117	135-258	2.6	4.517	3.138
Q9WZU0	10-198	199-419	3.8	6.798	7.849
P97784	3-132	215-430	2.966	4.403	3.906
P13797	123-329	267-378	4.103	4.144	2.661
Q2G1N7	1-154	157-250	5.576	8.617	5.787
Q9Y221	1-93	94-170	3.894	5.981	2.448
P23258	1-273	287-451	4.304	5.655	5.938
P23470	849-1119	1150-1410	4.014	7.09	4.751
A7GBG3	864-1085	1086-1278	4.457	8.737	5.999
B4XN22	10-113	127-320	8.351	15.876	16.593
A0A1C9J6A7	1-302	308-607	11.043	9.991	4.955
P01730	1-98	99-178	11.443	11.002	4.394
P26882	19-183	214-370	2.071	5.854	3.606
P46680	13-335	342-615	2.835	5.179	3.26
Q8RR56	1-160	193-546	4.903	5.92	2.177
