uniprot	cf_filename	complex_rmsd	1.0_aligned	1.0_comp	1.1_aligned	1.1_comp	1.2_aligned	1.2_comp	2.0_aligned	2.0_comp	2.1_aligned	2.1_comp	2.2_aligned	2.2_comp	2.3_aligned	2.3_comp	1_aligned	1_comp	2_aligned	2_comp
P0AG30	P0AG30_210_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb	18.103	0.788	3.267	0	0	0	0	2.818	3.272	0	0	0	0	0	0	0.788	3.267	2.818	3.272
P0AG30	P0AG30_092_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	23.822	1.491	31.702	0	0	0	0	13.604	35.094	0	0	0	0	0	0	1.491	31.702	13.604	35.094
P0AG30	P0AG30_013_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	22.826	1.032	7.205	0	0	0	0	5.341	4.669	0	0	0	0	0	0	1.032	7.205	5.341	4.669
P0AG30	P0AG30_071_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	19.771	1.088	20.392	0	0	0	0	5.626	28.7	0	0	0	0	0	0	1.088	20.392	5.626	28.7
P0AG30	P0AG30_165_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	24.755	0.795	3.663	0	0	0	0	3.624	3.315	0	0	0	0	0	0	0.795	3.663	3.624	3.315
P0AG30	P0AG30_U10-000_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	1.012	0.524	1.453	0	0	0	0	0.952	1.312	0	0	0	0	0	0	0.524	1.453	0.952	1.312
P0AG30	P0AG30_031_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	2.173	0.643	3.33	0	0	0	0	2.599	2.935	0	0	0	0	0	0	0.643	3.33	2.599	2.935
P0AG30	P0AG30_053_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	22.559	0.833	3.334	0	0	0	0	2.996	2.547	0	0	0	0	0	0	0.833	3.334	2.996	2.547
P0AG30	P0AG30_291_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	19.855	0.857	3.791	0	0	0	0	3.537	3.44	0	0	0	0	0	0	0.857	3.791	3.537	3.44
P0AG30	P0AG30_107_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	20.433	0.71	4.118	0	0	0	0	3.534	1.608	0	0	0	0	0	0	0.71	4.118	3.534	1.608
P0AG30	P0AG30_241_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	19.109	2.892	4.164	0	0	0	0	3.292	3.319	0	0	0	0	0	0	2.892	4.164	3.292	3.319
P0AG30	P0AG30_186_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	20.457	0.898	3.518	0	0	0	0	3.339	2.466	0	0	0	0	0	0	0.898	3.518	3.339	2.466
P0AG30	P0AG30_250_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	1.929	0.609	1.171	0	0	0	0	0.802	1.281	0	0	0	0	0	0	0.609	1.171	0.802	1.281
P0AG30	P0AG30_139_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	15.419	0.837	5.205	0	0	0	0	4.465	2.512	0	0	0	0	0	0	0.837	5.205	4.465	2.512
P0AG30	P0AG30_232_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb	27.511	0.501	3.52	0	0	0	0	3.623	1.859	0	0	0	0	0	0	0.501	3.52	3.623	1.859
P0AG30	P0AG30_309_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	22.654	0.627	3.056	0	0	0	0	3.16	0.98	0	0	0	0	0	0	0.627	3.056	3.16	0.98
P0AG30	P0AG30_214_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	14.52	0.729	1.041	0	0	0	0	0.813	1.233	0	0	0	0	0	0	0.729	1.041	0.813	1.233
P0AG30	P0AG30_147_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	6.646	0.496	1.149	0	0	0	0	0.872	0.868	0	0	0	0	0	0	0.496	1.149	0.872	0.868
P0AG30	P0AG30_035_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	21.883	1.027	14.075	0	0	0	0	9.148	10.892	0	0	0	0	0	0	1.027	14.075	9.148	10.892
P0AG30	P0AG30_017_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	18.401	0.611	4.217	0	0	0	0	4.106	1.55	0	0	0	0	0	0	0.611	4.217	4.106	1.55
P0AG30	P0AG30_311_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	21.607	1.002	20.484	0	0	0	0	13.218	37.738	0	0	0	0	0	0	1.002	20.484	13.218	37.738
P0AG30	P0AG30_087_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	24.849	0.448	3.373	0	0	0	0	3.373	1.205	0	0	0	0	0	0	0.448	3.373	3.373	1.205
P0AG30	P0AG30_208_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	21.044	0.554	3.198	0	0	0	0	3.286	0.827	0	0	0	0	0	0	0.554	3.198	3.286	0.827
P0AG30	P0AG30_193_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb	16.208	0.509	1.74	0	0	0	0	1.629	1.119	0	0	0	0	0	0	0.509	1.74	1.629	1.119
P0AG30	P0AG30_121_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	19.974	0.483	2.925	0	0	0	0	3.049	1.091	0	0	0	0	0	0	0.483	2.925	3.049	1.091
P0AG30	P0AG30_289_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	24.886	0.562	1.832	0	0	0	0	1.889	1.056	0	0	0	0	0	0	0.562	1.832	1.889	1.056
P0AG30	P0AG30_060_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	22.77	0.837	2.674	0	0	0	0	1.374	3.121	0	0	0	0	0	0	0.837	2.674	1.374	3.121
P0AG30	P0AG30_236_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	27.295	0.983	8.591	0	0	0	0	4.757	4.515	0	0	0	0	0	0	0.983	8.591	4.757	4.515
P0AG30	P0AG30_130_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	23.227	0.705	4.754	0	0	0	0	4.751	1.688	0	0	0	0	0	0	0.705	4.754	4.751	1.688
P0AG30	P0AG30_024_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	20.452	0.577	10.118	0	0	0	0	5.162	8.098	0	0	0	0	0	0	0.577	10.118	5.162	8.098
P0AG30	P0AG30_069_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	23.285	0.761	3.558	0	0	0	0	3.145	1.453	0	0	0	0	0	0	0.761	3.558	3.145	1.453
P0AG30	P0AG30_U100-004_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	1.095	0.637	1.017	0	0	0	0	0.578	0.969	0	0	0	0	0	0	0.637	1.017	0.578	0.969
P0AG30	P0AG30_112_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	20.491	0.501	2.763	0	0	0	0	2.842	0.914	0	0	0	0	0	0	0.501	2.763	2.842	0.914
P0AG30	P0AG30_182_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	18.971	0.653	4.99	0	0	0	0	3.995	1.501	0	0	0	0	0	0	0.653	4.99	3.995	1.501
P0AG30	P0AG30_272_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	1.286	0.496	1.152	0	0	0	0	0.927	0.87	0	0	0	0	0	0	0.496	1.152	0.927	0.87
P0AG30	P0AG30_064_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb	24.329	0.712	8.804	0	0	0	0	8.164	3.713	0	0	0	0	0	0	0.712	8.804	8.164	3.713
P0AG30	P0AG30_263_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	17.978	0.544	1.808	0	0	0	0	1.763	1.203	0	0	0	0	0	0	0.544	1.808	1.763	1.203
P0AG30	P0AG30_128_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	21.747	0.631	3.708	0	0	0	0	3.221	1.648	0	0	0	0	0	0	0.631	3.708	3.221	1.648
P0AG30	P0AG30_298_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	21.041	0.722	3.293	0	0	0	0	3.356	1.454	0	0	0	0	0	0	0.722	3.293	3.356	1.454
P0AG30	P0AG30_161_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	21.684	0.465	3.28	0	0	0	0	3.314	0.643	0	0	0	0	0	0	0.465	3.28	3.314	0.643
P0AG30	P0AG30_U10-009_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	1.187	0.695	1.118	0	0	0	0	1.001	0.918	0	0	0	0	0	0	0.695	1.118	1.001	0.918
P0AG30	P0AG30_103_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	24.092	0.584	11.681	0	0	0	0	11.779	4.437	0	0	0	0	0	0	0.584	11.681	11.779	4.437
P0AG30	P0AG30_179_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	21.882	0.844	5.462	0	0	0	0	4.503	2.639	0	0	0	0	0	0	0.844	5.462	4.503	2.639
P0AG30	P0AG30_174_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	15.678	0.518	1.59	0	0	0	0	1.487	1.332	0	0	0	0	0	0	0.518	1.59	1.487	1.332
P0AG30	P0AG30_116_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	17.484	0.624	3.313	0	0	0	0	3.456	1.291	0	0	0	0	0	0	0.624	3.313	3.456	1.291
P0AG30	P0AG30_134_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	19.591	0.978	3.336	0	0	0	0	2.356	2.891	0	0	0	0	0	0	0.978	3.336	2.356	2.891
P0AG30	P0AG30_U100-000_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	0.95	0.694	0.64	0	0	0	0	0.442	0.907	0	0	0	0	0	0	0.694	0.64	0.442	0.907
P0AG30	P0AG30_042_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	27.953	0.748	19.387	0	0	0	0	14.927	23.47	0	0	0	0	0	0	0.748	19.387	14.927	23.47
P0AG30	P0AG30_002_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	22.754	0.543	3.957	0	0	0	0	3.865	0.732	0	0	0	0	0	0	0.543	3.957	3.865	0.732
P0AG30	P0AG30_170_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	15.847	0.702	2.162	0	0	0	0	1.83	1.446	0	0	0	0	0	0	0.702	2.162	1.83	1.446
P0AG30	P0AG30_267_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	21.694	0.5	3.346	0	0	0	0	3.4	0.985	0	0	0	0	0	0	0.5	3.346	3.4	0.985
P0AG30	P0AG30_168_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	1.17	0.525	1.252	0	0	0	0	0.931	1.184	0	0	0	0	0	0	0.525	1.252	0.931	1.184
P0AG30	P0AG30_125_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	21.384	0.748	3.011	0	0	0	0	2.773	2.935	0	0	0	0	0	0	0.748	3.011	2.773	2.935
P0AG30	P0AG30_223_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	25.779	0.664	1.446	0	0	0	0	0.9	1.528	0	0	0	0	0	0	0.664	1.446	0.9	1.528
P0AG30	P0AG30_083_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	21.712	0.602	4.152	0	0	0	0	3.814	2.437	0	0	0	0	0	0	0.602	4.152	3.814	2.437
P0AG30	P0AG30_143_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	24.935	0.84	3.507	0	0	0	0	3.359	2.383	0	0	0	0	0	0	0.84	3.507	3.359	2.383
P0AG30	P0AG30_245_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	23.211	0.979	16.581	0	0	0	0	9.727	11.747	0	0	0	0	0	0	0.979	16.581	9.727	11.747
P0AG30	P0AG30_197_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb	19.118	0.659	2.646	0	0	0	0	2.67	1.801	0	0	0	0	0	0	0.659	2.646	2.67	1.801
P0AG30	P0AG30_156_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	21.009	0.846	11.044	0	0	0	0	7.21	6.656	0	0	0	0	0	0	0.846	11.044	7.21	6.656
P0AG30	P0AG30_280_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb	1.222	0.533	1.124	0	0	0	0	0.964	0.802	0	0	0	0	0	0	0.533	1.124	0.964	0.802
P0AG30	P0AG30_304_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	22.706	0.898	8.872	0	0	0	0	4.696	7.043	0	0	0	0	0	0	0.898	8.872	4.696	7.043
P0AG30	P0AG30_020_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	13.96	0.581	3.843	0	0	0	0	2.709	2.962	0	0	0	0	0	0	0.581	3.843	2.709	2.962
P0AG30	P0AG30_201_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	17.114	0.593	3.213	0	0	0	0	3.265	0.845	0	0	0	0	0	0	0.593	3.213	3.265	0.845
P0AG30	P0AG30_057_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	24.085	0.91	4.522	0	0	0	0	2.85	3.141	0	0	0	0	0	0	0.91	4.522	2.85	3.141
P0AG30	P0AG30_038_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	23.534	0.612	3.395	0	0	0	0	3.309	1.56	0	0	0	0	0	0	0.612	3.395	3.309	1.56
P0AG30	P0AG30_248_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	16.96	0.645	3.149	0	0	0	0	3.019	1.082	0	0	0	0	0	0	0.645	3.149	3.019	1.082
P0AG30	P0AG30_227_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb	19.583	0.929	7.821	0	0	0	0	4.955	8.121	0	0	0	0	0	0	0.929	7.821	4.955	8.121
P0AG30	P0AG30_205_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	22.598	0.773	3.273	0	0	0	0	3.15	1.06	0	0	0	0	0	0	0.773	3.273	3.15	1.06
P0AG30	P0AG30_276_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	21.081	0.655	3.069	0	0	0	0	2.555	1.743	0	0	0	0	0	0	0.655	3.069	2.555	1.743
P0AG30	P0AG30_006_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb	20.65	0.596	2.917	0	0	0	0	2.897	0.645	0	0	0	0	0	0	0.596	2.917	2.897	0.645
P0AG30	P0AG30_046_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	12.911	0.524	1.744	0	0	0	0	0.827	1.313	0	0	0	0	0	0	0.524	1.744	0.827	1.313
P0AG30	P0AG30_219_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	24.148	0.671	3.354	0	0	0	0	3.293	1.434	0	0	0	0	0	0	0.671	3.354	3.293	1.434
P0AG30	P0AG30_284_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	20.609	0.557	3.248	0	0	0	0	3.296	1.028	0	0	0	0	0	0	0.557	3.248	3.296	1.028
P0AG30	P0AG30_254_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	19.313	0.841	5.612	0	0	0	0	3.889	2.927	0	0	0	0	0	0	0.841	5.612	3.889	2.927
P0AG30	P0AG30_152_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	23.997	0.726	2.836	0	0	0	0	2.864	2.059	0	0	0	0	0	0	0.726	2.836	2.864	2.059
