Gene name,IAS-range,Accession Number,Uniprot ID,Referecne (PMID/uniprot),Protein Length,Domain,Domain-range,Comments,ENST,Canonical_Source
ABL1,"67-113,127-217",ENSG00000097007,P00519,"11832214,UniProt",1130,Kinase,242-493,Uniprot,ENST00000318560,Uniprot
ACAP1,525-568,ENSG00000072818,Q15027,27135163,740,Arf-GAP,405-524,"Uniprot,unclear",ENST00000158762,Uniprot
AGAP6,"251-265,380-389",ENSG00000204149,Q5VW22,23940353,663,Sec7,63-250,,ENST00000374056,Uniprot
AIM2,8-79,ENSG00000163568,O14862,"Uniprot,22483801",343,HIN-200,138-337,Uniprot,ENST00000368130,Uniprot
AKT3,17-147,"ENSG00000275199,ENSG00000117020",Q9Y243,27135163,479,Kinase,148-405,Uniprot,ENST00000263826,Uniprot
ALK,"1279-1288,1158-1173",ENSG00000171094,Q9UM73,20695522,1620,Kinase,"1116-1157,1174-1278,1289-1392",Uniprot,ENST00000389048,Uniprot
ANP32A,121-163,ENSG00000140350,P39687,18245083,249,LRR,1-120,,ENST00000465139,Uniprot
APBA1,626-641,"ENSG00000276497,ENSG00000107282",Q02410,"22355143,UniProt",837,PTB,453-622,,ENST00000265381,Uniprot
ARHGAP1,"1-48,169-197",ENSG00000175220,Q07960,27135163,439,Rho-GAP,244-431,22355143,ENST00000311956,Uniprot
ARHGAP45,281-356,ENSG00000180448,Q92619,24086303,1136,Rho-GAP,757-971,24086303,ENST00000313093,Ensembl
ARHGEF11,672-730,ENSG00000132694,O15085,21816819,1522,DH and PH,734-1079,,ENST00000361409,Uniprot
ARHGEF15,349-364,ENSG00000198844,O94989,18537266,841,DH,417-601,,ENST00000361926,Uniprot
ARHGEF25,348-472,ENSG00000240771,Q86VW2,UniProt/17606614,580,DH,155-347,17606614,ENST00000286494,Uniprot
ARHGEF26,376-391,"ENSG00000277101,ENSG00000114790",Q96DR7,18537266,871,DH,439-623,,ENST00000356448,Uniprot
ARHGEF4,129-179,ENSG00000136002,Q9NR80,27135163,690,DH,284-468,,ENST00000326016,Uniprot
ARHGEF5,15-22,ENSG00000050327,Q12774,17337446,1597,DH,1174-1358,Uniprot,ENST00000056217,Uniprot
ARIH1,408-557,ENSG00000166233,Q9Y4X5,23707686,557,Ring 2,339-392,,ENST00000379887,Uniprot
ARIH2,359-493,ENSG00000177479,O95376,18625728,493,RING2,297-326,Uniprot,ENST00000356401,Uniprot
ASAP1,1-325,ENSG00000153317,Q9ULH1,19017632,1129,PH and arfGAP,326-560,,ENST00000518721,Uniprot
ASH1L,2187-2195,ENSG00000116539,Q9NR48,26292256,2969,Set,"2069-2186,2196-2286",,ENST00000368346,Uniprot
ATF2,349-415,ENSG00000115966,P15336,27135163,505,ATF2,1-243,Uniprot,ENST00000264110,Uniprot
BEST3,356-362,ENSG00000127325,Q8N1M1,23124946,668,,26-291,,ENST00000330891,Uniprot
BID,1-59,ENSG00000015475,P55957,27135163,195,,60-195,,ENST00000399774,Uniprot
BIRC2,453-543,ENSG00000110330,Q13490,Uniprot,618,RING,571-606,Uniprot,ENST00000227758,Uniprot
BLK,"64-240,491-505",ENSG00000136573,P51451,15489910,505,Kinase,241-490,Uniprot,ENST00000259089,Uniprot
BRAF,100-345,ENSG00000157764,P15056,27135163/15710605,766,Kinase,457-717,Uniprot,ENST00000646891,Uniprot
CAMK1,286-300,ENSG00000134072,Q14012,14984199,370,Kinase,20-276,,ENST00000256460,Uniprot
CAMK1D,279-319,ENSG00000183049,Q8IU85,Uniprot,385,Kinase,23-278,Uniprot,ENST00000619168,Uniprot
CAMK1G,277-317,ENSG00000008118,Q96NX5,UniProt,476,Kinase,23-276,Uniprot,ENST00000009105,Uniprot
CAMK2B,283-292,ENSG00000058404,Q13554,Uniprot/20668654,666,Kinase,14-272,Uniprot,ENST00000395749,Uniprot
CAMK2D,283-292,ENSG00000145349,Q13557,Uniprot/20668654,499,Kinase,14-272,Uniprot,ENST00000342666,Uniprot
CAMK2G,283-292,ENSG00000148660,Q13555,Uniprot/20668654,558,Kinase,14-272,Uniprot,ENST00000351293,Uniprot
CAMK4,305-321,ENSG00000152495,Q16566,Uniprot,473,Kinase,46-300,Uniprot,ENST00000282356,Uniprot
CAMKK1,435-440,ENSG00000004660,Q8N5S9,Uniprot,505,Kinase,128-409,Uniprot,ENST00000348335,Uniprot
CAMKK2,472-477,ENSG00000110931,Q96RR4,Uniprot,588,Kinase,165-446,Uniprot,ENST00000324774,Uniprot
CARD11,448-666,ENSG00000198286,Q9BXL7,18625728,1154,CARD,18-110,Uniprot,ENST00000396946,Uniprot
CBL,353-380,ENSG00000110395,P22681,27135163,906,RING,381-435,,ENST00000264033,Uniprot
CCNT1,"1-249,402-701",ENSG00000129315,O60563,10913173,726,TRM,250-262,,ENST00000261900,Uniprot
CDC42BPA,658-930,ENSG00000143776,Q5VT25,27135163,1732,Kinase,77-343,Uniprot,ENST00000334218,Uniprot
CEBPB,64-170,ENSG00000172216,P17676,20452968,345,bZIP,271-334,Uniprot,ENST00000303004,Uniprot
CENPE,2510-2698,ENSG00000138778,Q02224,Uniprot/19851335,2701,Kinesin,6-329,Uniprot,ENST00000265148,Uniprot
CEP290,"1-580,1966-2476",ENSG00000198707,O15078,24051377,2479,,1695-1965,,ENST00000552810,Ensembl
CHEK1,391-476,ENSG00000149554,O14757,UniProt,476,Kinase,9-265,Uniprot,ENST00000428830,Uniprot
CHMP2A,181-222,ENSG00000130724,O43633,Uniprot/17547705,222,NTD,1-144,17547705,ENST00000312547,Uniprot
CHMP3,151-222,ENSG00000115561,Q9Y3E7,Uniprot/17146056,222,NTD,1-113,17146056,ENST00000263856,Uniprot
CHMP4A,182-222,ENSG00000254505,Q9BY43,Uniprot,222,NTD,1-150,Uniprot,ENST00000347519,Uniprot
CHMP6,168-201,ENSG00000176108,Q96FZ7,Uniprot,201,NTD,1-145,Uniprot,ENST00000325167,Uniprot
COQ8A,276-279,ENSG00000163050,Q8NI60,Uniprot,647,Kinase,329-518,Uniprot,ENST00000366777,Uniprot
COQ8B,155-158,ENSG00000123815,Q96D53,UniProt,544,Kinase,191-423,Uniprot,ENST00000324464,Uniprot
CRK,239-294,ENSG00000167193,P46108,27135163,304,SH3,132-192,,ENST00000300574,Uniprot
CRKL,129-175,ENSG00000099942,P46109,27135163,303,SH2,14-102,,ENST00000354336,Uniprot
CSF1R,542-574,ENSG00000182578,P07333,UniProt,972,Kinase,582-910,Uniprot,ENST00000286301,Uniprot
CSNK1D,317-342,ENSG00000141551,P48730,Uniprot,415,Kinase,9-277,Uniprot,ENST00000314028,Uniprot
CSNK1E,305-416,ENSG00000213923,P49674,27135163,416,Kinase,9-277,Uniprot,ENST00000359867,Uniprot
CYTH1,388-396,ENSG00000108669,Q15438,UniProt,398,SEC7,73-202,Uniprot,ENST00000361101,Uniprot
CYTH2,387-395,ENSG00000105443,Q99418,UniProt,400,SEC7,72-201,Uniprot,ENST00000641098,Uniprot
CYTH3,"252-264,380-400",ENSG00000008256,O43739,Uniprot/23940353,400,SEC7,77-206,Uniprot,ENST00000396741,Uniprot
CYTH4,386-394,ENSG00000100055,Q9UIA0,UniProt,394,SEC7,54-241,Uniprot,ENST00000248901,Uniprot
DAAM1,1027-1058,ENSG00000100592,Q9Y4D1,Uniprot,1078,GDB/FH3,45-420,Uniprot,ENST00000395125,Uniprot
DAAM2,1016-1048,ENSG00000146122,Q86T65,Uniprot,1068,GDB/FH3,40-416,Uniprot,ENST00000274867,Uniprot
DAPK2,292-301,ENSG00000035664,Q9UIK4,21497605,370,Kinase,23-285,Uniprot,ENST00000457488,Ensembl
DDX3X,132-181,ENSG00000215301,O00571,26598523,662,Helicase,211-575,Uniprot,ENST00000478993,Uniprot
DDX58,794-925,ENSG00000107201,O95786,UniProt,925,CARD,"1-87,92-172",Uniprot,ENST00000379883,Uniprot
DENND1A,500-600,ENSG00000119522,Q8TEH3,26055712,1009,DENN,13-378,Uniprot,ENST00000373624,Uniprot
DENND1B,423-775,ENSG00000213047,Q6P3S1,26055712,775,DENN,14-395,Uniprot,ENST00000620048,Uniprot
DGCR8,276-498,ENSG00000128191,Q8WYQ5,UniProt,773,DRBM,"511-578,620-685",Uniprot,ENST00000351989,Uniprot
DIAPH1,1194-1222,ENSG00000131504,O60610,Uniprot,1272,GBD/FH3,84-449,Uniprot,ENST00000389054,Uniprot
DIAPH2,1051-1081,ENSG00000147202,O60879,Uniprot,1101,GBD/FH3,98-464,Uniprot,ENST00000324765,Uniprot
DIAPH3,"16-361,1020-1060",ENSG00000139734,Q9NSV4,20660154,1193,FH1-FH2,540-1013,,ENST00000400324,Uniprot
DLC1,1-76,,Q96QB1,18786931,1528,RhoGAP,655-801,,ENST00000276297,Uniprot
DNMT1,647-714,ENSG00000130816,P26358,21163962,1616,,1140-1602,,ENST00000340748,Uniprot
DNMT3A,476-626,ENSG00000119772,Q9Y6K1,25383530,912,Methyltransferase,634-912,,ENST00000264709,Uniprot
EIF4G1,607-618,ENSG00000114867,Q04637,23901100,1599,eIF3/EIF4A-binding,682-1085,,ENST00000346169,Uniprot
EIF4G3,619-630,ENSG00000075151,O43432,23901100,1585,EIF4A-binding,699-1019,,ENST00000264211,Uniprot
ELK1,351-399,ENSG00000126767,P19419,27135163,428,ETS,5-86,Uniprot,ENST00000247161,Uniprot
EPHB2,588-623,ENSG00000133216,P29323,15173825,1055,Kinase,624-884,Uniprot,ENST00000400191,Uniprot
ERBB2,676-684,ENSG00000141736,P04626,16777603,1255,Kinase,720-987,Uniprot,ENST00000269571,Uniprot
ERBB4,676-684,ENSG00000178568,Q15303,16777603,1308,Kinase,718-935,Uniprot,ENST00000342788,Uniprot
ERG,"272-289,378-388",ENSG00000157554,P11308,23898196,486,ETS,290-377,23898196,ENST00000398919,Uniprot
ETS1,280-330,ENSG00000134954,P14921,25670864,441,ETS,335-415,Uniprot,ENST00000319397,Uniprot
ETS2,325-359,ENSG00000157557,P15036,25670864,469,ETS,363-443,Uniprot,ENST00000360214,Uniprot
ETV4,"321-340,433-474",ENSG00000175832,P43268,28161714,484,ETS,341-421,Uniprot,ENST00000319349,Uniprot
ETV6,410-452,ENSG00000139083,P41212,20400516,452,ETS,339-409,Uniprot,ENST00000396373,Uniprot
FARP1,759-1029,ENSG00000152767,Q9Y4F1,Uniprot,1045,DH,540-730,Uniprot,ENST00000319562,Uniprot
FARP2,755-1026,ENSG00000006607,O94887,UniProt,1054,DH,535-726,Uniprot,ENST00000264042,Uniprot
FGFR1,120-149,ENSG00000077782,P11362,27135163/18056630,822,Kinase,478-767,Uniprot,ENST00000326324,Uniprot
FGFR2,125-144,ENSG00000066468,P21802,27135163/18056630,821,Kinase,481-770,Uniprot,ENST00000358487,Uniprot
FHOD1,1053-1133,ENSG00000135723,Q9Y613,Uniprot,1164,GBD/FH3,53-458,Uniprot,ENST00000258201,Uniprot
FHOD3,1359-1391,ENSG00000134775,Q2V2M9,Uniprot,1422,GBD/FH3,18-411,Uniprot,ENST00000359247,Uniprot
FLNA,2142-2235,ENSG00000196924,P21333,27135163,2647,FLN21,2236-2325,,ENST00000369850,Uniprot
FLNB,2091-2185,ENSG00000136068,O75369,Uniprot/17690686,2602,FLN21,2188-2280,"17690686,Uniprot",ENST00000295956,Uniprot
FLT1,1159-1338,ENSG00000102755,P17948,27135163,1338,Kinase,827-1158,Uniprot,ENST00000282397,Uniprot
FLT3,565-604,ENSG00000122025,P36888,15173825,993,Kinase,610-943,Uniprot,ENST00000241453,Uniprot
FLT4,1174-1298,ENSG00000037280,P35916,27135163,1363,Kinase,845-1173,Uniprot,ENST00000261937,Uniprot
FMNL1,1059-1090,ENSG00000184922,O95466,Uniprot,1100,GBD/FH3,27-468,Uniprot,ENST00000331495,Uniprot
FMNL2,1040-1079,ENSG00000157827,Q96PY5,Uniprot,1086,GBD/FH3,23-469,Uniprot,ENST00000288670,Ensembl
FMNL3,986-1018,ENSG00000161791,Q8IVF7,Uniprot,1028,GBD/FH3,26-472,Uniprot,ENST00000335154,Ensembl
GGA1,358-362,ENSG00000100083,Q9UJY5,Uniprot/12060753,639,VHS,17-147,Uniprot,ENST00000343632,Uniprot
GGA3,391-395,ENSG00000125447,Q9NZ52,Uniprot/12060753,723,VHS,16-146,Uniprot,ENST00000537686,Uniprot
GRK5,563-590,ENSG00000198873,P34947,9813065,590,Kinase,186-448,Uniprot,ENST00000392870,Uniprot
GSDMA,251-445,ENSG00000167914,Q96QA5,26375003,445,Gasdermin-N domain,1-250,Uniprot,ENST00000301659,Uniprot
GSDMB,248-411,ENSG00000073605,Q8TAX9,26375003,411,Gasdermin-N domain,1-247,Uniprot,ENST00000394175,Ensembl
GSDMC,307-508,ENSG00000147697,Q9BYG8,26375003,508,Gasdermin-N domain,1-257,Uniprot,ENST00000276708,Uniprot
GSDMD,280-484,"ENSG00000104518,ENSG00000278718",P57764,26375003,484,Gasdermin-N domain,1-275,Uniprot,ENST00000262580,Uniprot
HEXIM1,210-250,ENSG00000186834,O94992,UniProt,359,Basic region,150-177,Uniprot,ENST00000332499,Uniprot
HIPK2,984-1198,ENSG00000064393,Q9H2X6,17245128,1198,Kinase,199-527,Uniprot,ENST00000406875,Uniprot
HSPA8,263-287,ENSG00000109971,P11142,27135163,646,,225-262,,ENST00000227378,Uniprot
IGF1R,930-960,ENSG00000140443,P08069,17586502,1367,Kinase,999-1274,Uniprot,ENST00000650285,Uniprot
INF2,974-989,ENSG00000203485,Q27J81,UniProt,1249,FH2,554-946,,ENST00000392634,Uniprot
IRF4,401-451,ENSG00000137265,Q15306,2.6405E+15,451,DBD,21-129,Uniprot,ENST00000380956,Uniprot
ITCH,5-99,"ENSG00000078747,ENSG00000283472",Q96J02,"19343052,UniProt",903,HECT,569-903,Uniprot,ENST00000262650,Uniprot
KIF17,738-795,ENSG00000117245,Q9P2E2,20530208,1029,Kinesin,5-335,Uniprot,ENST00000247986,Uniprot
KIT,544-583,ENSG00000157404,P10721,"15173825,27135163",976,Kinase,589-937,Uniprot,ENST00000288135,Uniprot
MAP2K1,75-102,ENSG00000169032,Q02750,27135163,393,Kinase,"68-74,103-361",Uniprot,ENST00000307102,Uniprot
MAP2K2,75-102,ENSG00000126934,P36507,27135163,400,Kinase,"72-74,103-369",Uniprot,ENST00000262948,Uniprot
MAP2K3,71-98,ENSG00000034152,P46734,27135163,347,Kinase,"64-70,99-325",Uniprot,ENST00000342679,Uniprot
MAP2K4,109-136,ENSG00000065559,P45985,27135163,399,Kinase,"102-108,137-367",Uniprot,ENST00000353533,Uniprot
MAP3K11,43-103,ENSG00000173327,Q16584,27135163,847,Kinase,117-379,Uniprot,ENST00000309100,Uniprot
MAP3K4,253-552,ENSG00000085511,Q9Y6R4,27135163,1608,Kinase,1343-1601,Uniprot,ENST00000392142,Uniprot
MAP3K5,1-648,ENSG00000197442,Q99683,27135163,1374,Kinase,680-938,Uniprot,ENST00000359015,Uniprot
MAP3K6,1-637,ENSG00000142733,O95382,27135163,1288,Kinase,648-906,Uniprot,ENST00000357582,Uniprot
MAP3K8,395-467,ENSG00000107968,P41279,27135163,467,Kinase,138-388,Uniprot,ENST00000263056,Uniprot
MAP4K1,474-687,"ENSG00000104814,ENSG00000282928",Q92918,27135163,833,Kinase,17-274,Uniprot,ENST00000396857,Ensembl
MAP4K2,466-670,ENSG00000168067,Q12851,27135163,820,Kinase,16-273,Uniprot,ENST00000294066,Ensembl
MAP4K3,511-735,ENSG00000011566,Q8IVH8,27135163,894,Kinase,16-273,Uniprot,ENST00000263881,Ensembl
MAPK1,173-196,ENSG00000100030,P28482,27135163,360,Kinase,"25-172,197-313",Uniprot,ENST00000215832,Uniprot
MAPK8IP1,495-544,ENSG00000121653,Q9UQF2,27135163,711,Unclear,0-0,,ENST00000241014,Uniprot
MAPKAPK2,328-364,ENSG00000162889,P49137,UniProt,400,Kinase,64-325,Uniprot,ENST00000367103,Uniprot
MAPKAPK3,307-343,ENSG00000114738,Q16644,Uniprot,382,Kinase,44-304,Uniprot,ENST00000357955,Uniprot
MAPKAPK5,308-368,ENSG00000089022,Q8IW41,27135163,473,Kinase,22-304,Uniprot,ENST00000551404,Uniprot
MDM4,190-210,ENSG00000198625,O15151,24127580,490,SWIB,26-106,,ENST00000367182,Uniprot
MEFV,1-92,ENSG00000103313,O15553,Uniprot,781,SPRY,580-775,Uniprot,ENST00000219596,Uniprot
MEIS1,148-191,ENSG00000143995,O00470,20553494,390,DBD,272-334,Uniprot,ENST00000272369,Uniprot
MEIS2,150-193,ENSG00000134138,O14770,20553494,477,DBD,276-338,Uniprot,ENST00000561208,Uniprot
MEIS3,136-179,ENSG00000105419,Q99687,20553494,375,DBD,262-324,Uniprot,ENST00000558555,Uniprot
MELK,602-651,ENSG00000165304,Q14680,16216881,651,Kinase,11-263,Uniprot,ENST00000298048,Uniprot
MICAL1,755-1067,ENSG00000135596,Q8TDZ2,18305261,1067,FAD-binding domain,1-450,,ENST00000358807,Uniprot
MSN,467-577,ENSG00000147065,P26038,27135163,577,FERM,4-297,,ENST00000360270,Uniprot
MUSK,533-568,ENSG00000030304,O15146,15173825,869,Kinase,575-856,Uniprot,ENST00000374448,Uniprot
NCF1,226-390,ENSG00000158517,P14598,Uniprot,390,PX,4-125,Uniprot,ENST00000289473,Uniprot
NCK2,60-109,ENSG00000071051,O43639,27135163,380,SH3,111-170,,ENST00000233154,Uniprot
NEDD4,1-140,ENSG00000069869,P46934,19343052,1319,HECT,984-1318,,ENST00000508342,Uniprot
NEK6,193-210,ENSG00000119408,Q9HC98,19941817,313,Kinase,"45-192,211-310",Uniprot,ENST00000320246,Uniprot
NEK7,182-199,ENSG00000151414,Q8TDX7,19941817,302,Kinase,"34-181,200-299",Uniprot,ENST00000367385,Uniprot
NFKB1,434-968,ENSG00000109320,P19838,27135163,968,RHD,42-367,Uniprot,ENST00000394820,Uniprot
NFKB2,455-900,ENSG00000077150,Q00653,27135163,900,RHD,38-343,Uniprot,ENST00000369966,Uniprot
NGEF,174-189,ENSG00000066248,Q8N5V2,18537266,710,DH,273-457,,ENST00000264051,Uniprot
NLRC4,464-579,ENSG00000091106,Q9NPP4,23765277,1024,NBD,95-298,Uniprot,ENST00000360906,Uniprot
NLRP1,809-973,ENSG00000091592,Q9C000,Uniprot,1473,NACHT,328-637,Uniprot,ENST00000572272,Uniprot
NLRP3,740-991,ENSG00000162711,Q96P20,11786556,1036,NACHT,220-536,Uniprot,ENST00000336119,Uniprot
NOD2,791-1032,ENSG00000167207,Q9HC29,"18511561,UniProt",1040,CARD,26-218,Uniprot,ENST00000300589,Uniprot
NOTCH2,1425-1544,ENSG00000134250,Q04721,27135163,2471,,1545-1670,,ENST00000256646,Uniprot
NOXA1,399-458,ENSG00000188747,Q86UR1,17602954,476,,1-314,,ENST00000341349,Ensembl
NTRK1,287-384,ENSG00000198400,P04629,27135163,796,Kinase,510-781,Uniprot,ENST00000524377,Uniprot
NTRK2,298-377,ENSG00000148053,Q16620,27135163,822,Kinase,538-807,Uniprot,ENST00000323115,Uniprot
OTUD7B,187-193,ENSG00000264522,Q6GQQ9,UniProt,843,OTU,194-365,Uniprot,ENST00000581312,Uniprot
PACSIN1,385-444,ENSG00000124507,Q9BY11,Uniprot,444,F-BAR,13-283,Uniprot,ENST00000244458,Uniprot
PACSIN2,344-486,ENSG00000100266,Q9UNF0,Uniprot/20188097,486,F-BAR,11-282,Uniprot,ENST00000263246,Uniprot
PAK1,83-149,ENSG00000149269,Q13153,27135163/Uniprot,545,Kinase,270-521,Uniprot,ENST00000356341,Uniprot
PAK2,83-110,ENSG00000180370,Q13177,27135163/Uniprot,524,Kinase,249-499,Uniprot,ENST00000327134,Uniprot
PAK4,1-130,ENSG00000130669,O96013,27135163,591,Kinase,321-572,Uniprot,ENST00000358301,Uniprot
PAK5,60-180,ENSG00000101349,Q9NQU5,12860998,681,Kinase,407-658,Uniprot,ENST00000260404,Uniprot
PANX1,412-426,ENSG00000110218,Q96RD7,25112874,426,,1-287,,ENST00000227638,Uniprot
PASK,183-200,ENSG00000115687,Q96RG2,27135163,1323,Kinase,999-1251,Uniprot,ENST00000234040,Uniprot
PDCD6IP,709-745,ENSG00000170248,Q8WUM4,27135163,868,BRO,3-392,,ENST00000307296,Uniprot
PDE4D,"184-246,270-348",ENSG00000113448,Q08499,27135163,809,,386-715,,ENST00000340635,Uniprot
PDGFRA,550-587,ENSG00000134853,P16234,15173825,1089,Kinase,593-954,Uniprot,ENST00000257290,Uniprot
PDGFRB,525-567,ENSG00000113721,P09619,15173825,1106,Kinase,600-962,Uniprot,ENST00000261799,Uniprot
PKN1,455-511,ENSG00000123143,Q16512,10467162,942,Kinase,615-874,Uniprot,ENST00000242783,Uniprot
PKN2,455-511,ENSG00000065243,Q16513,10467162,984,Kinase,657-916,Uniprot,ENST00000370521,Uniprot
