uniprot	pdb	cluster	region_1	region_2	complex_rmsd	1.0_aligned	1.0_comp	1.1_aligned	1.1_comp	1.2_aligned	1.2_comp	2.0_aligned	2.0_comp	2.1_aligned	2.1_comp	2.2_aligned	2.2_comp	2.3_aligned	2.3_comp	1_aligned	1_comp	2_aligned	2_comp	state	conformation
P53042	4ja7	U10-000	28-129	495-499,200-494	5.387	1.612	16.876	0	0	0	0	0	0	1.656	17.936	1.783	10.492	0	0	1.612	16.876	1.72	14.214	Active	Closed
P53042	4ja7	003	28-129	495-499,200-494	19.822	8.906	43.213	0	0	0	0	0	0	1.639	33.497	5.066	38.022	0	0	8.906	43.213	3.353	35.76	Active	Closed
P53042	4ja7	000	28-129	495-499,200-494	3.245	1.396	10.565	0	0	0	0	0	0	1.688	25.823	1.202	6.685	0	0	1.396	10.565	1.445	16.254	Active	Closed
P53042	4ja7	004	28-129	495-499,200-494	19.297	13.925	35.588	0	0	0	0	0	0	1.7	51.885	17.066	31.108	0	0	13.925	35.588	9.383	41.496	Active	Closed
P53042	4ja7	001	28-129	495-499,200-494	20.721	10.928	53.693	0	0	0	0	0	0	1.868	67.513	6.016	39.881	0	0	10.928	53.693	3.942	53.697	Active	Closed
P53042	4ja7	002	28-129	495-499,200-494	6.376	1.489	19.637	0	0	0	0	0	0	1.664	23.738	2.075	12.791	0	0	1.489	19.637	1.869	18.264	Active	Closed
P53042	4ja7	005	28-129	495-499,200-494	17.349	17.461	43.613	0	0	0	0	0	0	1.556	70.688	5.116	38.889	0	0	17.461	43.613	3.336	54.788	Active	Closed
P53042	4ja7	008	28-129	495-499,200-494	18.65	1.675	55.089	0	0	0	0	0	0	1.793	36.326	3.542	36.639	0	0	1.675	55.089	2.667	36.483	Active	Closed
P53042	4ja7	U100-000	28-129	495-499,200-494	2.495	1.496	8.783	0	0	0	0	0	0	1.72	24.969	0.968	4.815	0	0	1.496	8.783	1.344	14.892	Active	Closed
P53042	4ja7	009	28-129	495-499,200-494	14.617	12.635	56.201	0	0	0	0	0	0	1.811	31.672	4.752	27.135	0	0	12.635	56.201	3.281	29.404	Active	Closed
P53042	4ja7	006	28-129	495-499,200-494	21.935	13.848	56.361	0	0	0	0	0	0	1.866	60.988	22.136	30.03	0	0	13.848	56.361	12.001	45.509	Active	Closed
P53042	4ja7	007	28-129	495-499,200-494	9.609	1.743	29.806	0	0	0	0	0	0	1.843	29.52	2.534	19.572	0	0	1.743	29.806	2.188	24.546	Active	Closed
P53042	4ja9	U10-000	28-129	495-499,200-494	4.832	1.941	15.361	0	0	0	0	0	0	1.818	19.794	1.795	10.438	0	0	1.941	15.361	1.806	15.116	Active	Closed
P53042	4ja9	003	28-129	495-499,200-494	20.093	8.809	44.456	0	0	0	0	0	0	1.745	38.117	5.051	38.932	0	0	8.809	44.456	3.398	38.525	Active	Closed
P53042	4ja9	000	28-129	495-499,200-494	2.831	1.663	9.376	0	0	0	0	0	0	1.915	18.212	1.252	7.349	0	0	1.663	9.376	1.583	12.78	Active	Closed
P53042	4ja9	004	28-129	495-499,200-494	19.545	13.769	34.416	0	0	0	0	0	0	1.912	56.747	17.073	31.947	0	0	13.769	34.416	9.492	44.347	Active	Closed
P53042	4ja9	001	28-129	495-499,200-494	21.048	10.847	54.444	0	0	0	0	0	0	4.431	73.512	6.021	41.099	0	0	10.847	54.444	5.226	57.305	Active	Closed
P53042	4ja9	002	28-129	495-499,200-494	5.625	1.734	18.031	0	0	0	0	0	0	1.653	31.643	2.078	12.574	0	0	1.734	18.031	1.865	22.108	Active	Closed
P53042	4ja9	005	28-129	495-499,200-494	15.837	17.563	42.261	0	0	0	0	0	0	1.702	74.054	5.077	39.893	0	0	17.563	42.261	3.389	56.974	Active	Closed
P53042	4ja9	008	28-129	495-499,200-494	19.109	2.015	55.827	0	0	0	0	0	0	4.451	30.973	3.508	37.538	0	0	2.015	55.827	3.979	34.255	Active	Closed
P53042	4ja9	U100-000	28-129	495-499,200-494	2.179	1.785	7.37	0	0	0	0	0	0	1.99	17.734	0.996	4.871	0	0	1.785	7.37	1.493	11.303	Active	Closed
P53042	4ja9	009	28-129	495-499,200-494	15.025	12.522	56.097	0	0	0	0	0	0	4.229	27.825	4.74	28.316	0	0	12.522	56.097	4.485	28.07	Active	Closed
P53042	4ja9	006	28-129	495-499,200-494	22.038	13.707	57.713	0	0	0	0	0	0	4.427	64.262	22.146	30.199	0	0	13.707	57.713	13.287	47.23	Active	Closed
