uniprot	region_1	region_2	filename
Q72AS4	52-205	237-315	AF-Q72AS4-F1-model_v4.cif
Q7CRA4	113-302	425-657	AF-Q7CRA4-F1-model_v4.cif
P14677	632-691	692-750	AF-P14677-F1-model_v4.cif
P00582	1-323	324-517	AF-P00582-F1-model_v4.cif
A0A0H2WY27	56-288	317-382	AF-A0A0H2WY27-F1-model_v4.cif
P77933	524-665	1132-1265	AF-P77933-F1-model_v4.cif
Q8GN86	9-407	416-491	AF-Q8GN86-F1-model_v4.cif
Q51504	58-207	247-546	AF-Q51504-F1-model_v4.cif
D9N168	3-169	336-543	AF-D9N168-F1-model_v4.cif
O16025	374-490	491-1066	AF-O16025-F1-model_v4.cif
A0A140DJY3	32-436	445-522	AF-A0A140DJY3-F1-model_v4.cif
G0WVH3	10-416	425-500	AF-G0WVH3-F1-model_v4.cif
Q95VR4	11-109	147-325	AF-Q95VR4-F1-model_v4.cif
E1K248	67-211	229-311	AF-E1K248-F1-model_v4.cif
A0A0A0V031	11-412	422-496	AF-A0A0A0V031-F1-model_v4.cif
P59676	632-691	692-750	AF-P59676-F1-model_v4.cif
A0A0F7R6G7	27-435	443-519	AF-A0A0F7R6G7-F1-model_v4.cif
Q7WU28	4-298	374-576	AF-Q7WU28-F1-model_v4.cif
O68880	38-167	220-351	AF-O68880-F1-model_v4.cif
O29238	65-245	506-662	AF-O29238-F1-model_v4.cif
P47736	1-17	181-397	AF-P47736-F1-model_v4.cif
A0A3B6UEQ0	22-167	187-265	AF-A0A3B6UEQ0-F1-model_v4.cif
Q941M3	31-439	448-523	AF-Q941M3-F1-model_v4.cif
Q9RET4	60-236	331-595	AF-Q9RET4-F1-model_v4.cif
H6SG27	24-429	437-515	AF-H6SG27-F1-model_v4.cif
F2Z7K9	71-221	263-557	AF-F2Z7K9-F1-model_v4.cif
F2Z6J5	63-211	231-312	AF-F2Z6J5-F1-model_v4.cif
Q9I5E6	18-268	300-476	AF-Q9I5E6-F1-model_v4.cif
A0A0M3KKZ3	40-118	158-457	AF-A0A0M3KKZ3-F1-model_v4.cif
Q87I71	96-198	361-467	AF-Q87I71-F1-model_v4.cif
Q8X5N8	27-155	204-335	AF-Q8X5N8-F1-model_v4.cif
Q47NR5	33-441	450-525	AF-Q47NR5-F1-model_v4.cif
A0A0E8T757	632-691	692-750	AF-A0A0E8T757-F1-model_v4.cif
M4GWN4	9-409	418-493	AF-M4GWN4-F1-model_v4.cif
Q6NC13	22-429	437-512	AF-Q6NC13-F1-model_v4.cif
Q2G2X6	56-288	317-382	AF-Q2G2X6-F1-model_v4.cif
B1YSR8	70-218	259-555	AF-B1YSR8-F1-model_v4.cif
B9PW60	11-171	201-324	AF-B9PW60-F1-model_v4.cif
Q6NAE3	14-406	415-489	AF-Q6NAE3-F1-model_v4.cif
A0R0V0	52-462	472-546	AF-A0R0V0-F1-model_v4.cif
Q57540	56-288	317-382	AF-Q57540-F1-model_v4.cif
A0A0M3KKZ4	40-118	158-457	AF-A0A0M3KKZ4-F1-model_v4.cif
P83789	41-122	488-732	AF-P83789-F1-model_v4.cif
A0A0J1PJ79	59-204	224-302	AF-A0A0J1PJ79-F1-model_v4.cif
Q9L869	17-163	182-264	AF-Q9L869-F1-model_v4.cif
Q8RR30	71-221	263-557	AF-Q8RR30-F1-model_v4.cif
D3RV29	64-210	230-309	AF-D3RV29-F1-model_v4.cif
A0A066ZR71	79-227	247-328	AF-A0A066ZR71-F1-model_v4.cif
F3Y661	18-419	428-506	AF-F3Y661-F1-model_v4.cif
Q63QJ1	71-219	260-558	AF-Q63QJ1-F1-model_v4.cif
Q8KHY3	82-257	361-631	AF-Q8KHY3-F1-model_v4.cif
Q2TU34	13-198	203-332	AF-Q2TU34-F1-model_v4.cif
B7LGE4	59-204	224-302	AF-B7LGE4-F1-model_v4.cif
A9T230	92-291	295-424	AF-A9T230-F1-model_v4.cif
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif
P23687	1-426	427-710	AF-P23687-F1-model_v4.cif
O69275	1-226	227-427	AF-O69275-F1-model_v4.cif
Q7KLV9	1-223	224-392	AF-Q7KLV9-F1-model_v4.cif
H2E7Q8	1-80,452-730	81-451	AF-H2E7Q8-F1-model_v4.cif
P04958	1-250	251-451	AF-P04958-F1-model_v4.cif
P04807	75-209	210-458	AF-P04807-F1-model_v4.cif
O60729	44-198	214-374	AF-O60729-F1-model_v4.cif
P23694	1-246	257-471	AF-P23694-F1-model_v4.cif
Q49434	1-142	183-383	AF-Q49434-F1-model_v4.cif
P15873	1-117	135-258	AF-P15873-F1-model_v4.cif
Q9WZU0	10-198	199-419	AF-Q9WZU0-F1-model_v4.cif
P97784	3-132	215-430	AF-P97784-F1-model_v4.cif
P13797	123-329	267-378	AF-P13797-F1-model_v4.cif
Q2G1N7	1-154	157-250	AF-Q2G1N7-F1-model_v4.cif
Q9Y221	1-93	94-170	AF-Q9Y221-F1-model_v4.cif
P23258	1-273	287-451	AF-P23258-F1-model_v4.cif
P23470	849-1119	1150-1410	AF-P23470-F1-model_v4.cif
A7GBG3	864-1085	1086-1278	AF-A7GBG3-F1-model_v4.cif
B4XN22	10-113	127-320	AF-B4XN22-F1-model_v4.cif
A0A1C9J6A7	1-302	308-607	AF-A0A1C9J6A7-F1-model_v4.cif
P01730	1-98	99-178	AF-P01730-F1-model_v4.cif
P26882	19-183	214-370	AF-P26882-F1-model_v4.cif
P46680	13-335	342-615	AF-P46680-F1-model_v4.cif
Q8RR56	1-160	193-546	AF-Q8RR56-F1-model_v4.cif
