Protein name,Gene names,Protein length,Uniprot ID,Species,Autoinhibitory regions,References,Description (Refer to H and I),Evidence,Structure?,PDB
ALK tyrosine kinase receptor (EC 2.7.10.1) (Anaplastic lymphoma kinase) (CD antigen CD246),ALK,1620,Q9UM73,Homo sapiens (Human),1096-1103(?1'-sheet and ?2'-sheet);1271-1277(?-DFG),20695522,ALK is a receptor tyrosine kinase involved in the development of several human cancers. Its autoinhibition is mediated by an intramolecular interaction between beta-sheet (beta1' and beta2') and DFG helix in A-loop. ALK releases autoinhibited conformation by packing N-terminal ?-sheet the C-terminal end of the ?C helix. It is suggested that two phosphorylated tyrosines (Tyr1096 and Tyr1278) prevents ALKs from returning to their positions in the autoinhibited conformation.,Inferred by structure analysis without experimental evidences,,
BH3-interacting domain death agonist (p22 BID) (BID) [Cleaved into: BH3-interacting domain death agonist p15 (p15 BID); BH3-interacting domain death agonist p13 (p13 BID); BH3-interacting domain death agonist p11 (p11 BID)],BID,195,P55957,Homo sapiens (Human),14-41(N-terminal autoinhibitory region),10089877,BID is a proapoptotic member of the BCL2 family that shares only the BH3 domain homology with other members of the family in its amino acid sequence. The N-terminal segment may serve as an internal inhibitor of proapoptotic activity. The proapoptotic activity of BID is expected to require dissociaqtion of the N-terminal segment including H1(14-29) and H2(33-41).,Inferred by structure analysis without experimental evidences,,
Tyrosine-protein kinase Blk (EC 2.7.10.2) (B lymphocyte kinase) (p55-Blk),BLK,505,P51451,Homo sapiens (Human),58-118(SH3 domain);221-240(SH2-CD linker);376-402(Activation loop);495-505(C-terminal regulatory tail),15489910,"Tyrosine-protein kinase Blk plays an important role in transmitting signals through surface immunoglobulins and supports the pro-B to pre-B transition, as well as the signaling for growth arrest and apoptosis downstream of B-cell receptor (By similarity). It is included in Src family nonreceptor tyrosine kinases. Src kinase(family) share a conserved domain structure consisting of consecutive SH3, SH2, tyrosine kinase. So, it was inferred based on 3d sturcture and sequence similarity.",Inferred by structure analysis without experimental evidences,,
Calcium/calmodulin-dependent protein kinase type II subunit beta (CaM kinase II subunit beta) (CaMK-II subunit beta) (EC 2.7.11.17),CAMK2B CAM2 CAMK2 CAMKB,666,Q13554,Homo sapiens (Human),283-292(Autoinhibitory domain),20668654,CAMK2B is a Calcium/Calmodulin (CaM)-dependent kinase II (CaMKII or CAMK2) that plays as a molecular switch of cellular signalling by transmitting Ca2+ signals in human. The C-terminal helix bound to the substrate-binding site causes autoinhibited CaMKII. ,Inferred by structure analysis without experimental evidences,,
Calcium/calmodulin-dependent protein kinase type II subunit delta (CaM kinase II subunit delta) (CaMK-II subunit delta) (EC 2.7.11.17),CAMK2D CAMKD,499,Q13557,Homo sapiens (Human),283-292(Autoinhibitory domain),20668654,CAMK2D is a Calcium/Calmodulin (CaM)-dependent kinase II (CaMKII) that plays as a molecular switch of cellular signalling by transmitting Ca2+ signals in human. The C-terminal helix bound to the substrate-binding site causes autoinhibited CaMKII. ,Inferred by structure analysis without experimental evidences,,
Calcium/calmodulin-dependent protein kinase type II subunit gamma (CaM kinase II subunit gamma) (CaMK-II subunit gamma) (EC 2.7.11.17),CAMK2G CAMK CAMK-II CAMKG,558,Q13555,Homo sapiens (Human),283-292(Autoinhibitory domain),20668654,CAMK2G is a Calcium/Calmodulin (CaM)-dependent kinase II (CaMKII) that plays as a molecular switch of cellular signalling by transmitting Ca2+ signals in human. The C-terminal helix bound to the substrate-binding site causes autoinhibited CaMKII. ,Inferred by structure analysis without experimental evidences,,
Epidermal growth factor receptor (EC 2.7.10.1) (Proto-oncogene c-ErbB-1) (Receptor tyrosine-protein kinase erbB-1),EGFR ERBB ERBB1 HER1,1210,P00533,Homo sapiens (Human),26-100(Effector-binding domain),14659759,EcoRII is a type IIE restriction endonuclease that interacts with two copies of the DNA recognition sequence CCWGG and cleaves before C-1. EcoRII has two functional domains; N-terminal effector-binding domain and C-terminal catalytic domain. The N-terminal effector-binding domain has an autoinhibition and activation mechanism that could control EcoRII.,Inferred by structure analysis without experimental evidences,,
Fibroblast growth factor receptor 4 (FGFR-4) (EC 2.7.10.1) (CD antigen CD334),FGFR4 JTK2 TKF,802,P22455,Homo sapiens (Human),77-138(SH3 domain);242-262(SH2-CD linker);399-426(Activation loop);517-529(C-terminal regulatory tail),15489910,"Tyrosine-protein kinase FGF plays an important role in transmitting signals through surface immunoglobulins and supports the pro-B to pre-B transition, as well as the signaling for growth arrest and apoptosis downstream of B-cell receptor (By similarity). It is included in Src family nonreceptor tyrosine kinases.  Src kinase(family) share a conserved domain structure consisting of consecutive SH3, SH2, tyrosine kinase(SH1). So, it was inferred based on 3d sturcture and sequence similarity.",Inferred by structure analysis without experimental evidences,,
Forkhead box protein M1 (Forkhead-related protein FKHL16) (Hepatocyte nuclear factor 3 forkhead homolog 11) (HFH-11) (HNF-3/fork-head homolog 11) (M-phase phosphoprotein 2) (MPM-2 reactive phosphoprotein 2) (Transcription factor Trident) (Winged-helix factor from INS-1 cells),FOXM1 FKHL16 HFH11 MPP2 WIN,763,Q08050,Homo sapiens (Human),42-110(SH3 domain);209-233(SH2-CD linker);492-505(C-terminal regulatory tail),"15489910, 25302671","Tyrosine-protein kinase FRK(FYN-related kinase) plays an important role in transmitting signals through surface immunoglobulins and supports the pro-B to pre-B transition, as well as the signaling for growth arrest and apoptosis downstream of B-cell receptor (By similarity). It is included in Src family non-receptor tyrosine kinases.  Src kinase(family) share a conserved domain structure consisting of consecutive SH3, SH2, tyrosine kinase (SH1). So, it was inferred based on 3D sturcture and sequence similarity.",Inferred by structure analysis without experimental evidences,,
Diguanylate cyclase/phosphodiesterase,lapD Pfl01_0131,648,Q3KK31,Pseudomonas fluorescens (strain Pf0-1),61-121(SH3 domain);127-224(SH2-CD linker);381-408(Activation loop);499-509(C-terminal regulatory tail),"15489910, 10962552","Tyrosine-protein kinase Lck plays an important role in transmitting signals through surface immunoglobulins and supports the pro-B to pre-B transition, as well as the signaling for growth arrest and apoptosis downstream of B-cell receptor (By similarity). It is included in Src family nonreceptor tyrosine kinases.  Src kinase(family) share a conserved domain structure consisting of consecutive SH3, SH2, tyrosine kinase(SH1). So, it was inferred based on 3d sturcture and sequence similarity.  ======= Tyrosine-protein kinase Lck is a Src-family non-receptor tyrosine-protein kinase that plays an essential role in the selection and maturation of developing T-cells in the thymus and in the function of mature T-cells. The structural changes that alter the orientation of key residues within the catalytic domain regulate the activity of Src-family non-receptor tyrosine kinases. In case of Lck, the substitution of 5-7 residues amino terminal to the conserved activation loop tyrosine (Y394) increases kinase activity and oncogenic potential regardless of regulatory C-terminal tail phosphorylation levels. ",Inferred by structure analysis without experimental evidences,,
