uniprot	cluster	pdb	filename	region_1	region_2	conformation	state	chain	gt_len	gt_trim_len	pred_len	pred_trim_len	gt_perc	trim_perc
P53042	U10-000	4ja7	P53042_U10-000_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	28-129	495-499,200-494	Closed	Active	A	3747	3747	3999	3747	1.0	0.937
P53042	003	4ja7	P53042_003_unrelaxed_rank_005_alphafold2_multimer_v2_model_1_seed_000.pdb	28-129	495-499,200-494	Closed	Active	A	3747	3747	3999	3747	1.0	0.937
P53042	000	4ja7	P53042_000_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	28-129	495-499,200-494	Closed	Active	A	3747	3747	3999	3747	1.0	0.937
P53042	004	4ja7	P53042_004_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	28-129	495-499,200-494	Closed	Active	A	3747	3747	3999	3747	1.0	0.937
P53042	001	4ja7	P53042_001_unrelaxed_rank_003_alphafold2_multimer_v2_model_1_seed_000.pdb	28-129	495-499,200-494	Closed	Active	A	3747	3747	3999	3747	1.0	0.937
P53042	002	4ja7	P53042_002_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	28-129	495-499,200-494	Closed	Active	A	3747	3747	3999	3747	1.0	0.937
P53042	005	4ja7	P53042_005_unrelaxed_rank_002_alphafold2_multimer_v2_model_1_seed_000.pdb	28-129	495-499,200-494	Closed	Active	A	3747	3747	3999	3747	1.0	0.937
P53042	008	4ja7	P53042_008_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	28-129	495-499,200-494	Closed	Active	A	3747	3747	3999	3747	1.0	0.937
P53042	U100-000	4ja7	P53042_U100-000_unrelaxed_rank_002_alphafold2_multimer_v2_model_1_seed_000.pdb	28-129	495-499,200-494	Closed	Active	A	3747	3747	3999	3747	1.0	0.937
P53042	009	4ja7	P53042_009_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	28-129	495-499,200-494	Closed	Active	A	3747	3747	3999	3747	1.0	0.937
