index	uniprot	pdb	region_1	region_2	complex_rmsd	percent_region_1	percent_region_2	2_aligned	2_comp	conformation	state	organism	date	notes	percent_disorder_1	ar_disorder	region_1_mean_plddt	region_2_mean_plddt	mean_pae_1_1	mean_pae_1_2	mean_pae_2_2	smallest_dif
0	A0A0R4I961	6gtv	155-279	3-147	1.45	100.0	100.0	1.673	1.135	Open	Active	Escherichia coli F18+	['2018-06-19']		0.0	structured	97.625	96.532	2.348	5.398	2.657	8.0
4	B5XAZ0	7bfl	116-120	1-115	2.591	100.0	79.13043478	2.76	0.807	Closed	Autoinhibited	Salmo salar	['2021-01-04']		0.0	structured	98.148	92.557	0.8	3.13	5.386	1.0
5	D2AJU0	6lol	57-228	251-545	3.539	100.0	81.69491525	2.829	7.86	Open	Autoinhibited	Shigella flexneri 2002017	['2020-01-06']		0.0	structured	93.159	84.861	3.301	11.722	7.815	23.0
10	O00571	7liu	132-181	211-575	2.074	94.0	100.0	2.105	1.984	Closed	Active	Homo sapiens	['2021-01-27']		86.0	disordered	79.854	88.513	7.564	12.746	8.521	30.0
12	O08722	3g5b	541-687	688-828,853-942	0.922	99.31972789	99.56709957	0.959	0.927	Closed	Autoinhibited	Rattus norvegicus	['2009-02-04']		0.0	structured	90.429	90.016	4.752	7.621	7.76	1.0
13	O08967	2r09	251-265,383-395	77-206	3.179	92.85714286	96.92307692	0.968	1.593	Closed	Autoinhibited	Mus musculus	['2007-08-17']		46.429	structured	66.748	93.981	9.404	13.497	2.317	45.0
17	O60741	5u6p	401-479	480-604	1.182	100.0	100.0	0.917	1.29	Closed	Active	Homo sapiens	['2016-12-08']		0.0	structured	92.355	92.854	3.648	4.918	3.313	1.0
21	O76074	3lfv	403-539	156-331	3.163	74.45255474	100.0	2.695	3.791	Closed	Autoinhibited	Homo sapiens	['2010-01-18']	In comparison to cGMP-bound mouse PDE2A (12271124)	0.0	structured	84.03	86.114	8.575	18.877	5.774	72.0
23	O95267	4l9m	468-609	205-436	1.809	88.73239437	100.0	1.404	2.011	Closed	Autoinhibited	Homo sapiens	['2013-06-18']		0.0	structured	77.069	90.749	12.269	17.913	3.925	32.0
24	O95376	7od1	359-493	297-326	1.926	100.0	100.0	1.145	3.092	Closed	Autoinhibited	Homo sapiens	['2021-04-28']		11.852	structured	92.489	91.401	3.145	4.638	2.102	33.0
26	P00519	5mo4	67-113,127-217	242-493	1.719	100.0	91.26984127	2.084	0.996	Closed	Autoinhibited	Homo sapiens	['2016-12-13']		0.0	structured	94.332	92.174	4.683	7.658	4.113	25.0
27	P00520	1opk	1-60,61-121,127-217,218-241,383-400	242-493	1.679	75.19685039	92.46031746	2.076	1.654	Closed	Autoinhibited	Mus musculus	['2003-03-06']		24.409	structured	79.218	93.414	13.528	12.064	4.096	1.0
28	P00523	2ptk	148-245,246-266	81-142,521-533	1.737	100.0	89.33333333	1.921	3.093	Closed	Autoinhibited	Gallus gallus	['1997-06-17']		0.0	structured	93.143	86.684	5.052	7.124	10.377	6.0
29	P00579	4llg	2-80	379-449,458-534	13.459	64.55696203	100.0	1.75	45.352	Open	Active	Enterobacteria phage T7	['2013-07-09']		100.0	disordered	67.74	92.731	9.726	26.668	5.262	299.0
35	P04637	8f2h	364-393	102-292	30.431	100.0	100.0	3.065	70.729	Closed	Autoinhibited	"""Homo sapiens"""	['2022-11-08']		100.0	disordered	44.091	95.055	13.727	30.844	3.587	72.0
36	P04637	8f2i	364-393	102-292	30.431	100.0	100.0	3.065	70.729	Closed	Autoinhibited	"""Homo sapiens"""	['2022-11-08']		100.0	disordered	44.091	95.055	13.727	30.844	3.587	72.0
37	P06241	1g83	149-246,247-270	82-143,525-537	2.848	77.86885246	78.66666667	1.289	8.766	Closed	Autoinhibited	Homo sapiens	['2000-11-16']		0.0	structured	89.839	85.659	7.778	10.129	10.573	6.0
38	P07038	7nxf	892-917	562-625	4.914	100.0	100.0	1.812	12.107	Closed	Autoinhibited	"""Neurospora crassa"""	['2021-03-18']	“Phosphorylation of Ser913/Thr914 would disturb the contact between the R domain of one monomer and the adjacent P domain.”(34757782)	100.0	disordered	59.413	78.857	5.553	24.499	5.15	267.0
39	P07038	7ny1	892-917	562-625	4.914	100.0	100.0	1.812	12.107	Closed	Autoinhibited	"""Neurospora crassa"""	['2021-03-19']		100.0	disordered	59.413	78.857	5.553	24.499	5.15	267.0
52	P07949	7dua	900-909	724-899,910-1016	2.666	100.0	93.63957597	2.216	7.474	Open	Active	Homo sapiens	['2021-01-08']		0.0	structured	37.164	84.477	6.31	22.376	6.974	1.0
77	P08631	5h0b	142-239,240-259	76-136,425-514	2.212	100.0	96.68874172	1.415	1.292	Closed	Autoinhibited	Homo sapiens	['2016-10-04']		0.0	structured	93.424	94.011	5.067	7.308	5.698	6.0
83	P09769	7uy0	144-241,242-262	77-138,490-529	1.93	100.0	90.19607843	1.323	2.425	Closed	Autoinhibited	Homo sapiens	['2022-05-06']		0.0	structured	92.302	88.599	5.532	7.402	7.708	6.0
107	P11142	5aqo	263-287	225-262	3.904	100.0	100.0	1.395	1.104	Closed	Autoinhibited	HOMO SAPIENS	['2015-09-22']		0.0	structured	97.526	95.344	1.402	1.96	1.677	1.0
114	P11142	5aqv	263-287	225-262	3.762	100.0	100.0	1.398	1.108	Closed	Autoinhibited	HOMO SAPIENS	['2015-09-22']		0.0	structured	97.526	95.344	1.402	1.96	1.677	1.0
115	P11142	6b1n	263-287	225-262	3.091	100.0	100.0	0.873	0.827	Closed	Autoinhibited	Homo Sapiens	['2017-09-18']		0.0	structured	97.526	95.344	1.402	1.96	1.677	1.0
121	P12931	4k11	249-269,151-248	84-145,524-536	1.254	100.0	92.0	1.671	2.074	Closed	Autoinhibited	Homo sapiens	['2013-04-04']		0.0	structured	93.446	86.638	4.907	6.859	10.316	6.0
124	P13864	3pt6	649-695	1142-1601	7.752	95.74468085	99.7826087	1.101	34.613	Closed	Autoinhibited	Mus musculus	['2010-12-02']		0.0	structured	77.301	92.319	4.417	19.126	5.651	447.0
125	P14633	1na6	26-100	185-404	2.214	94.66666667	85.0	1.765	4.067	Closed	Autoinhibited	Escherichia coli	['2002-11-26']		0.0	structured	90.476	93.312	3.592	7.877	3.96	85.0
126	P14921	1gvj	280-330	335-415	12.171	66.66666667	100.0	1.208	25.345	Open	Active	HOMO SAPIENS	['2002-02-14']	Based on comparison to P27577.	0.0	structured	62.185	96.769	15.158	19.33	1.948	5.0
127	P15036	4bqa	325-359	363-443	9.352	88.57142857	100.0	1.054	20.233	Open	Active	HOMO SAPIENS	['2013-05-30']		0.0	structured	67.673	96.609	8.382	13.707	1.924	4.0
128	P15498	3ky9	131-178	194-373	3.514	66.66666667	100.0	1.392	6.16	Closed	Autoinhibited	Homo sapiens	['2009-12-04']		0.0	structured	70.376	94.068	11.846	17.607	2.856	16.0
131	P16298	4ora	417-423,474-496	22-357	2.697	73.33333333	100.0	0.946	6.849	Closed	Autoinhibited	Homo sapiens	['2014-02-11']		63.333	disordered	78.87	96.982	12.768	16.874	2.637	60.0
135	P18654	4mao	697-712	328-679	3.27	100.0	74.71590909	3.427	1.797	Closed	Autoinhibited	Mus musculus	['2013-08-16']		0.0	structured	71.772	78.564	3.012	12.461	12.714	18.0
