UNIPROT_AC,Autoinhibitory element,Target element,Relief mechanism
O81108,20-31 (N-terminal autoinhibitory region),434-805 (ATPase domain),Partner binding (Calmodulin)
P35609,259-307 (Pseudo-Z-repeat),747-894 (EF-hand domain),Ligand binding (Binding of Z-disk lipid phosphatidylinositol-bisphosphate to the actin-binding domain)
P19456,863-885 (Autoinhibitory domain I),309-537 (ATPase domain),Partner binding (Binding of 14-3-3 proteins to autoinhibitory domain I or II)
P19456,904-919 (Autoinhibitory domain II),309-537 (ATPase domain),Partner binding (Binding of 14-3-3 proteins to autoinhibitory domain I or II)
O14862,1-107 (PYD domain),144-343 (HIN domain),Ligand binding (DNA binding by HIN domain)
P39687,121-163 (Autoinhibitory domain),1-163 (Leucine-rich region),PTM (Phosphorylation of Ser158 or both Ser158 and Ser204); Others (C-terminal acidic region-mediated neutralization)
Q07960,"63-218 (Lipid binding domain, BCH domain)",244-431 (RhoGAP domain),Ligand binding (Lipid binding to BCH domain)
Q92619,281-356 (N-terminal BAR-domain),691-1136 (C1-GAP-tail domains),
Q9NZN5,765-782 (Autoinhibitory region),413-766 (DH-PH domains),Partner binding (Interaction between G  13-RH complex with RGS-DH linker)
Q9NZN5,240-394 (RGS-DH linker),413-766 (DH-PH domains),Partner binding (Interaction between G  13-RH complex with RGS-DH linker)
Q86VW2,348-466 (PH domain),155-347 (DH domain),Partner binding (Binding of activated G  q to the C-terminal extension of the PH domain)
Q9Y4X5,408-557 (Ariadne domain),276-347 (RING2 domain),Partner binding (Binding of Ariadne-binding partner proteins to Ariadne domain)
Q9ULH1,1-324 (BAR domain),326-413 (PH domain); 439-562 (Arf GAP domain),"Partner binding (Binding of FIP3, Rab11- and Arf5/6-binding proteins to BAR domain)"
Q9UQB8,1-178 (N-terminal autoinhibitory region),180-317 (Central region),Partner binding (Cdc42 binding to CRIB motif)
P28829,151-260 (regulatory domain),394-658 (Protein kinase domain),Partner binding (Ras1 binding to regulatory domain)
Q9BXL7,441-671 (Inhibitory domain),2-115 (CARD domain); 152-447 (Coiled-coil domain),"PTM (PKC  -mediated phosphorylation on Ser564, Ser657 and undetermined kinase-mediated phosphorylation on Ser577)"
O60563,402-701 (C-terminal autoinhibitory region),1-333 (N-terminal cyclin box),PTM (Autophosphorylation of Cdk9); Partner binding (Tat-SF1 binding to the C-terminal region of cyclin-T1)
P17676,88-165 (N-terminal autoinhibitory region),269-334 (DNA-binding domain (bZIP region)),Partner binding (Ras binding); PTM(Phosphorylation of Ser-273
Q02224,2333-2701 (C-terminal tail),4-337 (Kinesin motor domain),PTM (Phosphorylation of C-terminal tail by MPS1 and CDK1)
O14757,391-476 (C-terminal autoinhibitory region),9-265 (Protein kinase domain),Partner binding (Phosphorylated claspin to a phosphate-binding site in the kinase domain of CHEK1)
O43633,181-222 (C-terminal   6 domain),1-144 (N-terminal   1-  4 domains),Partner binding (Binding of Vps4 to C-terminal   6 domain)
Q8NI60,276-279 (KxGQ motif),"295-545 (Activator of bc1 complex, ABC1, kinases, also called aarF domain containing kinase 3)",PTM (Autophosphorylation)
Q64010,235-296 (cSH3 domain),135-189 (N-terminal Src Homology 3 domain of Ct10 Regulator of Kinase adaptor proteins),PTM (Phosphorylation at Tyr221)
P49674,306-416 (C-terminal domain),9-287 (Protein kinase domain),Cleavage (Proteolytic cleavage of C-terminal domain); PTM (Dephosphorylation)
O43739,252-264 (Sec7-PH linker),63-251 (Sec7 domain),Partner binding (Arf6-GTP binding to allosteric site including AiEs and PH domain)
O43739,380-399 (C-terminal helix/polybasic region),63-251 (Sec7 domain),Partner binding (Arf6-GTP binding to allosteric site including AiEs and PH domain)
Q9Y4D1,1023-1054 (DAD domain),41-477 (DID domain),Partner binding (Rho GTPase binding to GBD domain)
O95786,804-925 (C-terminal domain),1-187 (CARD domain),Ligand binding (RNA binding)
O95786,469-608 (HEL2i domain),1-187 (CARD domain),Ligand binding (RNA binding)
P31007,481-571 (PDZ 3 domain),760-948 (GK domain),Ligand binding (Physiological ligand binding to SH2 and SH3 domains)
P31007,581-681 (SH3 domain),760-948 (GK domain),Partner binding (Binding of CRIPT to PDZ domain); Others (Attachment of short linker from PDZ3 domain to SH3 domain)
Q63622,158-407 (PDZ 2 and 3 domains),503-724 (GK domain),Ligand binding (Physiological ligand binding to SH2 and SH3 domains); Others (SH3 L460P mutation)
Q63622,542-598 (SH3 domain),503-724 (GK domain),Others (SH3 L460P mutation)
Q04637,607-618 (eIF4E-binding domain),682-1085 (eIF4A-binding domain),Partner binding (eIF4E binding to eIF4E-binding domain
O43432,619-630 (eIF4E-binding domain),682-1105 (eIF4A-binding domain),Partner binding (eIF4E binding to eIF4E-binding domain)
