uniprot	pdb	region_1	region_2	complex_rmsd	percent_region_1	percent_region_2	2_aligned	2_comp	conformation	state	organism	date	notes
A0A0R4I961	6gtv	155-279	3-147	1.45	100	100	1.673	1.135	Open	Active	Escherichia coli F18+	['2018-06-19']	
A0A0R4I961	6gtz	155-279	3-147	1.631	100	100	1.648	3.014	Open	Active	Escherichia coli F18+	['2018-06-19']	
A0A0R4I961	6gu0	155-279	3-147	2.105	100	100	1.788	4.298	Open	Active	Escherichia coli F18+	['2018-06-19']	
B5XAZ0	7bfk	116-120	1-115	4.781	100	83.47826087	2.6	0.965	Closed	Autoinhibited	Salmo salar	['2021-01-04']	
B5XAZ0	7bfl	116-120	1-115	2.591	100	79.13043478	2.76	0.807	Closed	Autoinhibited	Salmo salar	['2021-01-04']	
D2AJU0	6lol	57-228	251-545	3.539	100	81.69491525	2.829	7.86	Closed	Autoinhibited	Shigella flexneri 2002017	['2020-01-06']	
O00571	4pxa	132-181	211-575	5.602	94	99.7260274	4.726	10.35	Closed	Active	Homo sapiens	['2014-03-22']	
O00571	5e7j	132-181	211-575	5.5	76	97.80821918	4.636	9.15	Closed	Active	Homo sapiens	['2015-10-12']	
O00571	5e7m	132-181	211-575	4.876	72	98.35616438	4.311	8.416	Closed	Active	Homo sapiens	['2015-10-12']	
O00571	6cz5	132-181	211-575	5.177	82	97.53424658	4.414	9.44	Closed	Active	Homo sapiens	['2018-04-08']	
O00571	7liu	132-181	211-575	2.074	94	100	2.105	1.984	Closed	Active	Homo sapiens	['2021-01-27']	
O00571	6o5f	132-181	211-575	23.194	76	94.52054795	21.158	13.693	Open	Active	Homo sapiens	['2019-03-02']	
O08722	3g5b	541-687	688-828,853-942	0.922	99.31972789	99.56709957	0.959	0.927	Closed	Autoinhibited	Rattus norvegicus	['2009-02-04']	
O08967	2r09	251-265,383-395	77-206	3.179	92.85714286	96.92307692	0.968	1.593	Closed	Autoinhibited	Mus musculus	['2007-08-17']	
O08967	2r0d	251-265,383-395	77-206	3.115	100	100	0.894	1.619	Closed	Autoinhibited	Mus musculus	['2007-08-18']	
O08967	6bbp	251-265,383-395	77-206	24.061	100	100	0.925	51.878	Open	Active	Mus musculus	['2017-10-19']	
