uniprot	region_1	region_2	region_1_len	region_2_len	pdb	pdb_length	resolution	model	chain	label_offset	pdb residues in region_1	pdb residues in region_2	percent_region_1	percent_region_2	gt_fn	af_filename
D9N168	3-169	336-543	167	208	3hpo	46	1.75	0	A	0	21	16	12.574850299401197	7.6923076923076925	3hpo.cif	AF-D9N168-F1-model_v4.cif
D9N168	3-169	336-543	167	208	3ht3	579	1.7	0	A	0	167	208	100.0	100.0	3ht3.cif	AF-D9N168-F1-model_v4.cif
D9N168	3-169	336-543	167	208	4o0i	577	2.203	0	A	1	167	207	100.0	99.51923076923077	4o0i.cif	AF-D9N168-F1-model_v4.cif
D9N168	3-169	336-543	167	208	6p5c	0	2.2	0	C	2	0	0	0.0	0.0	6p5c.cif	AF-D9N168-F1-model_v4.cif
D9N168	3-169	336-543	167	208	6ueu	577	1.8	0	A	1	167	206	100.0	99.03846153846155	6ueu.cif	AF-D9N168-F1-model_v4.cif
D9N168	3-169	336-543	167	208	6ur2	577	2.27	0	A	0	167	207	100.0	99.51923076923077	6ur2.cif	AF-D9N168-F1-model_v4.cif
D9N168	3-169	336-543	167	208	6ur4	577	2.25	0	A	0	167	207	100.0	99.51923076923077	6ur4.cif	AF-D9N168-F1-model_v4.cif
D9N168	3-169	336-543	167	208	6ur9	577	2.1	0	A	0	167	206	100.0	99.03846153846155	6ur9.cif	AF-D9N168-F1-model_v4.cif
D9N168	3-169	336-543	167	208	6us5	577	2.25	0	A	0	167	206	100.0	99.03846153846155	6us5.cif	AF-D9N168-F1-model_v4.cif
D9N168	3-169	336-543	167	208	8scg	577	2.0	0	A	0	167	206	100.0	99.03846153846155	8scg.cif	AF-D9N168-F1-model_v4.cif
D9N168	3-169	336-543	167	208	8sci	577	2.67	0	A	0	167	206	100.0	99.03846153846155	8sci.cif	AF-D9N168-F1-model_v4.cif
D9N168	3-169	336-543	167	208	8scj	577	2.68	0	A	0	167	206	100.0	99.03846153846155	8scj.cif	AF-D9N168-F1-model_v4.cif
D9N168	3-169	336-543	167	208	8sck	577	2.3	0	A	0	167	206	100.0	99.03846153846155	8sck.cif	AF-D9N168-F1-model_v4.cif
D9N168	3-169	336-543	167	208	8scl	577	2.44	0	A	0	167	206	100.0	99.03846153846155	8scl.cif	AF-D9N168-F1-model_v4.cif
D9N168	3-169	336-543	167	208	8scm	577	2.3	0	A	0	167	206	100.0	99.03846153846155	8scm.cif	AF-D9N168-F1-model_v4.cif
D9N168	3-169	336-543	167	208	8scn	577	2.3	0	A	0	167	206	100.0	99.03846153846155	8scn.cif	AF-D9N168-F1-model_v4.cif
D9N168	3-169	336-543	167	208	8sco	578	1.92	0	A	0	167	207	100.0	99.51923076923077	8sco.cif	AF-D9N168-F1-model_v4.cif
D9N168	3-169	336-543	167	208	8scp	578	2.08	0	A	0	167	207	100.0	99.51923076923077	8scp.cif	AF-D9N168-F1-model_v4.cif
D9N168	3-169	336-543	167	208	8scq	578	2.18	0	A	0	167	207	100.0	99.51923076923077	8scq.cif	AF-D9N168-F1-model_v4.cif
D9N168	3-169	336-543	167	208	8scr	578	2.0	0	A	0	167	207	100.0	99.51923076923077	8scr.cif	AF-D9N168-F1-model_v4.cif
D9N168	3-169	336-543	167	208	8scs	578	2.1	0	A	0	167	207	100.0	99.51923076923077	8scs.cif	AF-D9N168-F1-model_v4.cif
