uniprot	cluster	cf_filename	region_1	region_2	conformation	state	complex_mean_plddt	r1_mean_plddt	r2_mean_plddt
P60240	U10-004	P60240_U10-004_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	1-110	147-416,441-659	Open	Active	92.42	90.758	92.101
P60240	U100-000	P60240_U100-000_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	1-110	147-416,441-659	Open	Active	94.781	93.909	94.659
P60240	U100-009	P60240_U100-009_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	1-110	147-416,441-659	Open	Active	94.386	93.405	94.228
P60240	U10-009	P60240_U10-009_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	1-110	147-416,441-659	Open	Active	92.132	90.233	92.084
P60240	U10-000	P60240_U10-000_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	1-110	147-416,441-659	Open	Active	91.706	92.151	91.369
P60240	U100-004	P60240_U100-004_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	1-110	147-416,441-659	Open	Active	94.649	93.733	94.54
P60240	U100-005	P60240_U100-005_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	1-110	147-416,441-659	Open	Active	94.576	93.232	94.526
P60240	U10-001	P60240_U10-001_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	1-110	147-416,441-659	Open	Active	92.294	89.198	92.184
P60240	U100-001	P60240_U100-001_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	1-110	147-416,441-659	Open	Active	94.505	93.859	94.277
P60240	U10-005	P60240_U10-005_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	1-110	147-416,441-659	Open	Active	92.926	93.194	92.454
P60240	U10-008	P60240_U10-008_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	1-110	147-416,441-659	Open	Active	91.717	90.833	91.603
P60240	U100-008	P60240_U100-008_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	1-110	147-416,441-659	Open	Active	94.612	93.258	94.548
P60240	U100-007	P60240_U100-007_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	1-110	147-416,441-659	Open	Active	94.658	94.221	94.371
P60240	U10-003	P60240_U10-003_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	1-110	147-416,441-659	Open	Active	92.359	90.578	91.89
P60240	U10-007	P60240_U10-007_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	1-110	147-416,441-659	Open	Active	92.117	91.682	91.611
P60240	U100-003	P60240_U100-003_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	1-110	147-416,441-659	Open	Active	94.452	92.922	94.393
P60240	U10-006	P60240_U10-006_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	1-110	147-416,441-659	Open	Active	92.166	90.33	91.682
P60240	U100-002	P60240_U100-002_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	1-110	147-416,441-659	Open	Active	94.54	93.839	94.346
P60240	U10-002	P60240_U10-002_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	1-110	147-416,441-659	Open	Active	91.039	86.431	91.288
P60240	U100-006	P60240_U100-006_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	1-110	147-416,441-659	Open	Active	94.588	93.449	94.45
P60240	000	P60240_000_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	1-110	147-416,441-659	Open	Active	49.88	57.348	49.043
P35520	081	P35520_081_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	414-551	40-413	Open	Active	63.769	70.488	65.465
P35520	073	P35520_073_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	414-551	40-413	Open	Active	74.942	86.491	75.953
P35520	049	P35520_049_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	414-551	40-413	Open	Active	59.303	70.634	58.75
