uniprot	cluster	cf_filename	complex_rmsd	1.0_aligned	1.0_comp	1.1_aligned	1.1_comp	1.2_aligned	1.2_comp	2.0_aligned	2.0_comp	2.1_aligned	2.1_comp	2.2_aligned	2.2_comp	2.3_aligned	2.3_comp	1_aligned	1_comp	2_aligned	2_comp
D9N168	U10-006	D9N168_U10-006_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	1.342	0.836	1.53	0	0	0	0	1.105	1.867	0	0	0	0	0	0	0.836	1.53	1.105	1.867
D9N168	U100-004	D9N168_U100-004_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	1.354	0.797	1.414	0	0	0	0	0.944	1.068	0	0	0	0	0	0	0.797	1.414	0.944	1.068
D9N168	U100-000	D9N168_U100-000_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	1.288	0.847	1.742	0	0	0	0	0.933	1.089	0	0	0	0	0	0	0.847	1.742	0.933	1.089
D9N168	U10-002	D9N168_U10-002_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	1.412	0.907	1.516	0	0	0	0	1.048	1.416	0	0	0	0	0	0	0.907	1.516	1.048	1.416
D9N168	U100-009	D9N168_U100-009_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	1.302	0.849	1.218	0	0	0	0	0.914	0.998	0	0	0	0	0	0	0.849	1.218	0.914	0.998
D9N168	U10-003	D9N168_U10-003_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	1.334	1.142	2.266	0	0	0	0	1.005	1.621	0	0	0	0	0	0	1.142	2.266	1.005	1.621
D9N168	U100-001	D9N168_U100-001_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	1.329	0.748	1.331	0	0	0	0	0.926	0.98	0	0	0	0	0	0	0.748	1.331	0.926	0.98
D9N168	U100-008	D9N168_U100-008_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	1.421	0.831	1.555	0	0	0	0	1.021	1.148	0	0	0	0	0	0	0.831	1.555	1.021	1.148
D9N168	U10-007	D9N168_U10-007_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	1.378	0.993	1.804	0	0	0	0	1.054	1.299	0	0	0	0	0	0	0.993	1.804	1.054	1.299
D9N168	U100-005	D9N168_U100-005_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	1.407	0.813	1.475	0	0	0	0	0.941	1.043	0	0	0	0	0	0	0.813	1.475	0.941	1.043
D9N168	U10-008	D9N168_U10-008_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	1.314	0.845	2.571	0	0	0	0	1.0	1.497	0	0	0	0	0	0	0.845	2.571	1.0	1.497
D9N168	U100-003	D9N168_U100-003_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	1.325	0.868	1.675	0	0	0	0	0.921	1.129	0	0	0	0	0	0	0.868	1.675	0.921	1.129
D9N168	U10-001	D9N168_U10-001_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb	1.661	1.377	2.382	0	0	0	0	1.046	1.797	0	0	0	0	0	0	1.377	2.382	1.046	1.797
D9N168	U100-007	D9N168_U100-007_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	1.297	0.856	1.271	0	0	0	0	0.9	1.014	0	0	0	0	0	0	0.856	1.271	0.9	1.014
D9N168	U10-005	D9N168_U10-005_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	1.447	0.856	1.945	0	0	0	0	0.829	1.385	0	0	0	0	0	0	0.856	1.945	0.829	1.385
D9N168	U10-004	D9N168_U10-004_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	1.885	1.252	2.825	0	0	0	0	2.229	1.614	0	0	0	0	0	0	1.252	2.825	2.229	1.614
D9N168	U10-009	D9N168_U10-009_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	1.895	2.294	1.902	0	0	0	0	1.109	2.529	0	0	0	0	0	0	2.294	1.902	1.109	2.529
D9N168	U100-006	D9N168_U100-006_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	1.359	0.824	1.557	0	0	0	0	0.952	1.11	0	0	0	0	0	0	0.824	1.557	0.952	1.11
D9N168	U10-000	D9N168_U10-000_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	1.726	1.947	2.371	0	0	0	0	1.097	2.281	0	0	0	0	0	0	1.947	2.371	1.097	2.281
D9N168	U100-002	D9N168_U100-002_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	1.467	0.848	1.317	0	0	0	0	0.941	1.022	0	0	0	0	0	0	0.848	1.317	0.941	1.022
Q72AS4	U100-008	Q72AS4_U100-008_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	7.478	0.918	3.054	0	0	0	0	2.251	2.247	0	0	0	0	0	0	0.918	3.054	2.251	2.247
Q72AS4	160	Q72AS4_160_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	11.926	5.812	22.191	0	0	0	0	11.1	44.907	0	0	0	0	0	0	5.812	22.191	11.1	44.907
Q72AS4	012	Q72AS4_012_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	8.709	2.21	10.609	0	0	0	0	7.249	12.817	0	0	0	0	0	0	2.21	10.609	7.249	12.817
Q72AS4	153	Q72AS4_153_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	11.746	4.148	11.317	0	0	0	0	8.81	8.151	0	0	0	0	0	0	4.148	11.317	8.81	8.151
Q72AS4	003	Q72AS4_003_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	15.673	5.606	22.199	0	0	0	0	14.941	31.391	0	0	0	0	0	0	5.606	22.199	14.941	31.391
