Input,Match type,Approved symbol,Approved name,HGNC ID,Location
EGFR,Approved symbol,EGFR,epidermal growth factor receptor,HGNC:3236,7p11.2
SRC,Approved symbol,SRC,"SRC proto-oncogene, non-receptor tyrosine kinase",HGNC:11283,20q11.23
NOS3,Approved symbol,NOS3,nitric oxide synthase 3,HGNC:7876,7q36.1
BTK,Approved symbol,BTK,Bruton tyrosine kinase,HGNC:1133,Xq22.1
KPNA2,Approved symbol,KPNA2,karyopherin subunit alpha 2,HGNC:6395,17q24.2
RAN,Approved symbol,RAN,"RAN, member RAS oncogene family",HGNC:9846,12q24.33
GSK3B,Approved symbol,GSK3B,glycogen synthase kinase 3 beta,HGNC:4617,3q13.33
RELA,Approved symbol,RELA,"RELA proto-oncogene, NF-kB subunit",HGNC:9955,11q13.1
rpoD,Unmatched,,,,
SOS1,Approved symbol,SOS1,SOS Ras/Rac guanine nucleotide exchange factor 1,HGNC:11187,2p22.1
NOS1,Approved symbol,NOS1,nitric oxide synthase 1,HGNC:7872,12q24.22
SRC1,Previous symbol,SRC,"SRC proto-oncogene, non-receptor tyrosine kinase",HGNC:11283,20q11.23
apr,Alias symbol,PMAIP1,phorbol-12-myristate-13-acetate-induced protein 1,HGNC:9108,18q21.32
LCK,Approved symbol,LCK,"LCK proto-oncogene, Src family tyrosine kinase",HGNC:6524,1p35.2
KDR,Approved symbol,KDR,kinase insert domain receptor,HGNC:6307,4q12
FYN,Approved symbol,FYN,"FYN proto-oncogene, Src family tyrosine kinase",HGNC:4037,6q21
,,NOS3,,,
PCSK9,Approved symbol,PCSK9,proprotein convertase subtilisin/kexin type 9,HGNC:20001,1p32.3
INSR,Approved symbol,INSR,insulin receptor,HGNC:6091,19p13.2
NEIL1,Approved symbol,NEIL1,nei like DNA glycosylase 1,HGNC:18448,15q24.2
PDE4B,Approved symbol,PDE4B,phosphodiesterase 4B,HGNC:8781,1p31.3
PDE5A,Approved symbol,PDE5A,phosphodiesterase 5A,HGNC:8784,4q26
Dlg4,Approved symbol,DLG4,discs large MAGUK scaffold protein 4,HGNC:2903,17p13.1
HCK,Approved symbol,HCK,"HCK proto-oncogene, Src family tyrosine kinase",HGNC:4840,20q11.21
EP300,Approved symbol,EP300,E1A binding protein p300,HGNC:3373,22q13.2
VCL,Approved symbol,VCL,vinculin,HGNC:12665,10q22.2
ITK,Approved symbol,ITK,IL2 inducible T cell kinase,HGNC:6171,5q33.3
AKT1,Approved symbol,AKT1,AKT serine/threonine kinase 1,HGNC:391,14q32.33
VWF,Approved symbol,VWF,von Willebrand factor,HGNC:12726,12p13.31
Ptk2,Approved symbol,PTK2,protein tyrosine kinase 2,HGNC:9611,8q24.3
FGFR4,Approved symbol,FGFR4,fibroblast growth factor receptor 4,HGNC:3691,5q35.2
Mapre1,Approved symbol,MAPRE1,microtubule associated protein RP/EB family member 1,HGNC:6890,20q11.21
Raf1,Approved symbol,RAF1,"Raf-1 proto-oncogene, serine/threonine kinase",HGNC:9829,3p25.2
NSD3,Approved symbol,NSD3,nuclear receptor binding SET domain protein 3,HGNC:12767,8p11.23
Abl1,Approved symbol,ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase",HGNC:76,9q34.12
NOTCH1,Approved symbol,NOTCH1,notch receptor 1,HGNC:7881,9q34.3
PRKAR1A,Approved symbol,PRKAR1A,protein kinase cAMP-dependent type I regulatory subunit alpha,HGNC:9388,17q24.2
MLKL,Approved symbol,MLKL,mixed lineage kinase domain like pseudokinase,HGNC:26617,16q23.1
Prkaa1,Approved symbol,PRKAA1,protein kinase AMP-activated catalytic subunit alpha 1,HGNC:9376,5p13.1
PGR,Approved symbol,PGR,progesterone receptor,HGNC:8910,11q22.1
