gene_name	uniprot	protein_length	region_1	region_2	region_1_len	region_2_len	pdb	pdb_length	resolution	model	chain	label_offset	pdb residues in region_1	pdb residues in region_2	percent_region_1	percent_region_2
CHEK1	O14757	476	391-476	9-265	86	257	1ia8	454	1.7	0	A	0	0	254	0.0	98.83268482490273
CHEK1	O14757	476	391-476	9-265	86	257	1nvq	458	2.0	0	A	0	0	250	0.0	97.27626459143968
CHEK1	O14757	476	391-476	9-265	86	257	1nvr	477	1.8	0	A	0	0	250	0.0	97.27626459143968
CHEK1	O14757	476	391-476	9-265	86	257	1nvs	449	1.8	0	A	0	0	250	0.0	97.27626459143968
CHEK1	O14757	476	391-476	9-265	86	257	1zlt	478	1.74	0	A	0	0	254	0.0	98.83268482490273
CHEK1	O14757	476	391-476	9-265	86	257	1zys	607	1.7	0	A	0	0	257	0.0	100.0
CHEK1	O14757	476	391-476	9-265	86	257	2ayp	269	2.9	0	A	0	0	257	0.0	100.0
CHEK1	O14757	476	391-476	9-265	86	257	2br1	577	2.0	0	A	0	0	254	0.0	98.83268482490273
CHEK1	O14757	476	391-476	9-265	86	257	2brb	502	2.1	0	A	0	0	254	0.0	98.83268482490273
CHEK1	O14757	476	391-476	9-265	86	257	2brg	482	2.1	0	A	0	0	251	0.0	97.66536964980544
CHEK1	O14757	476	391-476	9-265	86	257	2brh	558	2.1	0	A	0	0	248	0.0	96.49805447470817
CHEK1	O14757	476	391-476	9-265	86	257	2brm	493	2.2	0	A	0	0	252	0.0	98.0544747081712
CHEK1	O14757	476	391-476	9-265	86	257	2brn	406	2.8	0	A	0	0	254	0.0	98.83268482490273
CHEK1	O14757	476	391-476	9-265	86	257	2bro	517	2.2	0	A	0	0	254	0.0	98.83268482490273
CHEK1	O14757	476	391-476	9-265	86	257	2c3j	478	2.1	0	A	0	0	249	0.0	96.88715953307393
CHEK1	O14757	476	391-476	9-265	86	257	2c3k	387	2.6	0	A	0	0	254	0.0	98.83268482490273
CHEK1	O14757	476	391-476	9-265	86	257	2c3l	500	2.35	0	A	0	0	250	0.0	97.27626459143968
CHEK1	O14757	476	391-476	9-265	86	257	2cgu	420	2.5	0	A	0	0	254	0.0	98.83268482490273
CHEK1	O14757	476	391-476	9-265	86	257	2cgv	426	2.6	0	A	0	0	254	0.0	98.83268482490273
CHEK1	O14757	476	391-476	9-265	86	257	2cgw	484	2.2	0	A	0	0	253	0.0	98.44357976653697
CHEK1	O14757	476	391-476	9-265	86	257	2cgx	454	2.2	0	A	0	0	254	0.0	98.83268482490273
CHEK1	O14757	476	391-476	9-265	86	257	2e9n	480	2.5	0	A	-1	0	257	0.0	100.0
CHEK1	O14757	476	391-476	9-265	86	257	2e9o	606	2.1	0	A	-1	0	257	0.0	100.0
CHEK1	O14757	476	391-476	9-265	86	257	2e9p	480	2.6	0	A	-1	0	257	0.0	100.0
CHEK1	O14757	476	391-476	9-265	86	257	2e9u	552	2.0	0	A	-1	0	257	0.0	100.0
CHEK1	O14757	476	391-476	9-265	86	257	2e9v	475	2.0	0	A	-1	0	257	0.0	100.0
CHEK1	O14757	476	391-476	9-265	86	257	2gdo	456	3.0	0	A	0	0	253	0.0	98.44357976653697
CHEK1	O14757	476	391-476	9-265	86	257	2ghg	359	3.5	0	A	-1	0	257	0.0	100.0
CHEK1	O14757	476	391-476	9-265	86	257	2hog	505	1.9	0	A	-1	0	250	0.0	97.27626459143968
CHEK1	O14757	476	391-476	9-265	86	257	2hxl	388	1.8	0	A	-1	0	254	0.0	98.83268482490273
CHEK1	O14757	476	391-476	9-265	86	257	2hxq	387	2.0	0	A	-1	0	254	0.0	98.83268482490273
CHEK1	O14757	476	391-476	9-265	86	257	2hy0	423	1.7	0	A	-1	0	250	0.0	97.27626459143968
CHEK1	O14757	476	391-476	9-265	86	257	2qhm	476	2.0	0	A	0	0	246	0.0	95.71984435797665
CHEK1	O14757	476	391-476	9-265	86	257	2qhn	500	1.7	0	A	0	0	246	0.0	95.71984435797665
CHEK1	O14757	476	391-476	9-265	86	257	2r0u	524	1.9	0	A	0	0	247	0.0	96.10894941634241
CHEK1	O14757	476	391-476	9-265	86	257	2wmq	302	2.48	0	A	0	0	240	0.0	93.3852140077821
CHEK1	O14757	476	391-476	9-265	86	257	2wmr	310	2.43	0	A	0	0	247	0.0	96.10894941634241
CHEK1	O14757	476	391-476	9-265	86	257	2wms	292	2.7	0	A	0	0	236	0.0	91.82879377431907
CHEK1	O14757	476	391-476	9-265	86	257	2wmt	299	2.55	0	A	0	0	242	0.0	94.16342412451361
CHEK1	O14757	476	391-476	9-265	86	257	2wmu	285	2.6	0	A	0	0	241	0.0	93.77431906614785
CHEK1	O14757	476	391-476	9-265	86	257	2wmv	374	2.009	0	A	0	0	244	0.0	94.94163424124513
CHEK1	O14757	476	391-476	9-265	86	257	2wmw	332	2.43	0	A	0	0	241	0.0	93.77431906614785
CHEK1	O14757	476	391-476	9-265	86	257	2wmx	309	2.45	0	A	0	0	242	0.0	94.16342412451361
CHEK1	O14757	476	391-476	9-265	86	257	2x8d	635	1.9	0	A	0	0	257	0.0	100.0
CHEK1	O14757	476	391-476	9-265	86	257	2x8e	325	2.5	0	A	0	0	254	0.0	98.83268482490273
CHEK1	O14757	476	391-476	9-265	86	257	2x8i	506	1.92	0	A	0	0	250	0.0	97.27626459143968
CHEK1	O14757	476	391-476	9-265	86	257	2xey	264	2.7	0	A	0	0	245	0.0	95.3307392996109
CHEK1	O14757	476	391-476	9-265	86	257	2xez	323	2.25	0	A	0	0	242	0.0	94.16342412451361
CHEK1	O14757	476	391-476	9-265	86	257	2xf0	301	2.4	0	A	0	0	241	0.0	93.77431906614785
CHEK1	O14757	476	391-476	9-265	86	257	2ydi	614	1.6	0	A	0	0	257	0.0	100.0
CHEK1	O14757	476	391-476	9-265	86	257	2ydj	477	1.85	0	A	0	0	247	0.0	96.10894941634241
CHEK1	O14757	476	391-476	9-265	86	257	2ydk	562	1.9	0	A	0	0	252	0.0	98.0544747081712
CHEK1	O14757	476	391-476	9-265	86	257	2yer	683	1.83	0	A	0	0	257	0.0	100.0
CHEK1	O14757	476	391-476	9-265	86	257	2yex	726	1.3	0	A	0	0	257	0.0	100.0
CHEK1	O14757	476	391-476	9-265	86	257	2ym3	435	2.007	0	A	0	0	241	0.0	93.77431906614785
CHEK1	O14757	476	391-476	9-265	86	257	2ym4	338	2.35	0	A	0	0	241	0.0	93.77431906614785
CHEK1	O14757	476	391-476	9-265	86	257	2ym5	454	2.03	0	A	0	0	242	0.0	94.16342412451361
CHEK1	O14757	476	391-476	9-265	86	257	2ym6	443	2.01	0	A	0	0	246	0.0	95.71984435797665
CHEK1	O14757	476	391-476	9-265	86	257	2ym7	502	1.81	0	A	0	0	240	0.0	93.3852140077821
CHEK1	O14757	476	391-476	9-265	86	257	2ym8	377	2.07	0	A	0	0	240	0.0	93.3852140077821
CHEK1	O14757	476	391-476	9-265	86	257	2ywp	270	2.9	0	A	-1	0	257	0.0	100.0
CHEK1	O14757	476	391-476	9-265	86	257	3f9n	513	1.9	0	A	-1	0	246	0.0	95.71984435797665
CHEK1	O14757	476	391-476	9-265	86	257	3jvr	464	1.76	0	A	-1	0	244	0.0	94.94163424124513
CHEK1	O14757	476	391-476	9-265	86	257	3jvs	501	1.9	0	A	-1	0	242	0.0	94.16342412451361
CHEK1	O14757	476	391-476	9-265	86	257	3nlb	416	1.9	0	A	0	0	252	0.0	98.0544747081712
CHEK1	O14757	476	391-476	9-265	86	257	3ot3	539	1.44	0	A	-1	0	249	0.0	96.88715953307393
CHEK1	O14757	476	391-476	9-265	86	257	3ot8	463	1.6455	0	A	-1	0	243	0.0	94.55252918287937
CHEK1	O14757	476	391-476	9-265	86	257	3pa3	511	1.4	0	A	-1	0	249	0.0	96.88715953307393
CHEK1	O14757	476	391-476	9-265	86	257	3pa4	506	1.59	0	A	-1	0	249	0.0	96.88715953307393
CHEK1	O14757	476	391-476	9-265	86	257	3pa5	454	1.7	0	A	-1	0	244	0.0	94.94163424124513
CHEK1	O14757	476	391-476	9-265	86	257	3tkh	487	1.79	0	A	0	0	247	0.0	96.10894941634241
CHEK1	O14757	476	391-476	9-265	86	257	3tki	496	1.6	0	A	0	0	250	0.0	97.27626459143968
CHEK1	O14757	476	391-476	9-265	86	257	3u9n	431	1.85	0	A	-1	0	249	0.0	96.88715953307393
