Gene name,IAS-range,Accession Number,Uniprot ID,Referecne (PMID/uniprot),Protein Length,Domain,Domain-range,Comments,ENST,Canonical_Source,Protein name,Gene names,Protein length,Species,Autoinhibitory regions,References,Description (Refer to H and I),Evidence,Structure?,PDB,
ALK,"1279-1288,1158-1173",ENSG00000171094,Q9UM73,20695522,1620,Kinase,"1116-1157,1174-1278,1289-1392",Uniprot,ENST00000389048,Uniprot,ALK tyrosine kinase receptor (EC 2.7.10.1) (Anaplastic lymphoma kinase) (CD antigen CD246),ALK,1620,Homo sapiens (Human),1096-1103(?1'-sheet and ?2'-sheet);1271-1277(?-DFG),20695522,ALK is a receptor tyrosine kinase involved in the development of several human cancers. Its autoinhibition is mediated by an intramolecular interaction between beta-sheet (beta1' and beta2') and DFG helix in A-loop. ALK releases autoinhibited conformation by packing N-terminal ?-sheet the C-terminal end of the ?C helix. It is suggested that two phosphorylated tyrosines (Tyr1096 and Tyr1278) prevents ALKs from returning to their positions in the autoinhibited conformation.,Inferred by structure analysis without experimental evidences,,,
BID,1-59,ENSG00000015475,P55957,27135163,195,,60-195,,ENST00000399774,Uniprot,BH3-interacting domain death agonist (p22 BID) (BID) [Cleaved into: BH3-interacting domain death agonist p15 (p15 BID); BH3-interacting domain death agonist p13 (p13 BID); BH3-interacting domain death agonist p11 (p11 BID)],BID,195,Homo sapiens (Human),14-41(N-terminal autoinhibitory region),10089877,BID is a proapoptotic member of the BCL2 family that shares only the BH3 domain homology with other members of the family in its amino acid sequence. The N-terminal segment may serve as an internal inhibitor of proapoptotic activity. The proapoptotic activity of BID is expected to require dissociaqtion of the N-terminal segment including H1(14-29) and H2(33-41).,Inferred by structure analysis without experimental evidences,,,
BLK,"64-240,491-505",ENSG00000136573,P51451,15489910,505,Kinase,241-490,Uniprot,ENST00000259089,Uniprot,Tyrosine-protein kinase Blk (EC 2.7.10.2) (B lymphocyte kinase) (p55-Blk),BLK,505,Homo sapiens (Human),58-118(SH3 domain);221-240(SH2-CD linker);376-402(Activation loop);495-505(C-terminal regulatory tail),15489910,"Tyrosine-protein kinase Blk plays an important role in transmitting signals through surface immunoglobulins and supports the pro-B to pre-B transition, as well as the signaling for growth arrest and apoptosis downstream of B-cell receptor (By similarity). It is included in Src family nonreceptor tyrosine kinases. Src kinase(family) share a conserved domain structure consisting of consecutive SH3, SH2, tyrosine kinase. So, it was inferred based on 3d sturcture and sequence similarity.",Inferred by structure analysis without experimental evidences,,,
CAMK2B,283-292,ENSG00000058404,Q13554,Uniprot/20668654,666,Kinase,14-272,Uniprot,ENST00000395749,Uniprot,Calcium/calmodulin-dependent protein kinase type II subunit beta (CaM kinase II subunit beta) (CaMK-II subunit beta) (EC 2.7.11.17),CAMK2B CAM2 CAMK2 CAMKB,666,Homo sapiens (Human),283-292(Autoinhibitory domain),20668654,CAMK2B is a Calcium/Calmodulin (CaM)-dependent kinase II (CaMKII or CAMK2) that plays as a molecular switch of cellular signalling by transmitting Ca2+ signals in human. The C-terminal helix bound to the substrate-binding site causes autoinhibited CaMKII. ,Inferred by structure analysis without experimental evidences,,,
CAMK2D,283-292,ENSG00000145349,Q13557,Uniprot/20668654,499,Kinase,14-272,Uniprot,ENST00000342666,Uniprot,Calcium/calmodulin-dependent protein kinase type II subunit delta (CaM kinase II subunit delta) (CaMK-II subunit delta) (EC 2.7.11.17),CAMK2D CAMKD,499,Homo sapiens (Human),283-292(Autoinhibitory domain),20668654,CAMK2D is a Calcium/Calmodulin (CaM)-dependent kinase II (CaMKII) that plays as a molecular switch of cellular signalling by transmitting Ca2+ signals in human. The C-terminal helix bound to the substrate-binding site causes autoinhibited CaMKII. ,Inferred by structure analysis without experimental evidences,,,
CAMK2G,283-292,ENSG00000148660,Q13555,Uniprot/20668654,558,Kinase,14-272,Uniprot,ENST00000351293,Uniprot,Calcium/calmodulin-dependent protein kinase type II subunit gamma (CaM kinase II subunit gamma) (CaMK-II subunit gamma) (EC 2.7.11.17),CAMK2G CAMK CAMK-II CAMKG,558,Homo sapiens (Human),283-292(Autoinhibitory domain),20668654,CAMK2G is a Calcium/Calmodulin (CaM)-dependent kinase II (CaMKII) that plays as a molecular switch of cellular signalling by transmitting Ca2+ signals in human. The C-terminal helix bound to the substrate-binding site causes autoinhibited CaMKII. ,Inferred by structure analysis without experimental evidences,,,
PDCD6IP,709-745,ENSG00000170248,Q8WUM4,27135163,868,BRO,3-392,,ENST00000307296,Uniprot,Programmed cell death 6-interacting protein (PDCD6-interacting protein) (ALG-2-interacting protein 1) (ALG-2-interacting protein X) (Hp95),PDCD6IP AIP1 ALIX KIAA1375,868,Homo sapiens (Human),166-281(UCR domain);646-736(C-terminal regulatory region),20062038,"PDE4B encodes for cAMP-specific 3',5'-cyclic phosphodiesterase 4B, involved in the hydrolysis of cAMP and cGMP that plays important roles in many physiological processes. Its catalytic domain is regulated intramolecularly by UCR domain and C-terminal region.",Inferred by structure analysis without experimental evidences,,,
SMYD3,280-428,ENSG00000185420,Q9H7B4,27135163,428,SET,4-240,Uniprot,ENST00000490107,Uniprot,Histone-lysine N-methyltransferase SMYD3 (EC 2.1.1.354) (SET and MYND domain-containing protein 3) (Zinc finger MYND domain-containing protein 1),SMYD3 ZMYND1 ZNFN3A1,428,Homo sapiens (Human),280-428(C-terminal domain),21167177,"SmyD3 belongs to a new family of chromatin regulators, which is characterized by the presence of SET and MYND domains. The SET domain is an evolutionarily conserved domain largely responsible for histone lysine methylation, while the zinc-finger MYND domain is a protein-protein interaction module that mediates specific protein interaction via a proline-rich sequence. The C-terminal autoinhibitory domain (CTD) prevents the binding of SymD3 to the substrate by interfering with the exposure of the binding site. The posttranslational activation and histone lysine methyltransferases activity are activated by the hinge motion of the C-terminal domain, releasing the substrate-binding cleft in the SET domain.",Inferred by structure analysis without experimental evidences,,,
ABL1,"67-113,127-217",ENSG00000097007,P00519,"11832214,UniProt",1130,Kinase,242-493,Uniprot,ENST00000318560,Uniprot,Tyrosine-protein kinase ABL1 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 1) (Abelson tyrosine-protein kinase 1) (Proto-oncogene c-Abl) (p150),ABL1 ABL JTK7,1130,Homo sapiens (Human),1-60(CAP);61-121(SH3 domain);127-217(SH2 domain);218-241(SH2-Tyrosine kinase linker),"11832214, 12654251","Abelson tyrosine kinase (Abl1) is a non-receptor tyrosine kinase that involved in many processes linked to cell growth and survival such as cytockeleton remodeling, cell motility and adhesion, receptor endocytosis, autophagy, DNA damage response and apoptosis. Abl protein contains a CAP-SH3-SH2-TK (Src homology 3-Src homology 2-tyrosine kinase) domain cassette, which confers autoregulated kinase activity. Structural and biochemical studies revealed the multiple autoinhibitory mechanisms. The tyrosine kinase activity of Abl1 is increased by disrupting these autoinhibitory interactions, such as the N-terminal CAP domain mutation, the SH3 domain mutation, the SH2 domain mutations, and the SH2-TK linker-region double mutation. Also, Abl1 has an activation loop in which Tyr393 is the major site of phosphorylation. ",Experimentally validated,,,
ACAP1,525-568,ENSG00000072818,Q15027,27135163,740,Arf-GAP,405-524,"Uniprot,unclear",ENST00000158762,Uniprot,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 1 (Centaurin-beta-1) (Cnt-b1)",ACAP1 CENTB1 KIAA0050,740,Homo sapiens (Human),525-568(Linker region),22645133,"ACAP1 (ArfGAP with coiled-coil, ankyrin repeat, and PH domains protein 1) is an ARF6 GAP that acts as a key component of a defined clathrin complex for endocytic recycling. A flexible linker region between the GAP and ANK domains acts to obstruct cargo binding, with a key residue within this region (Ser-554) regulating this obstruction. The excision of the linker region results in promoting cargo binding and integrin recycling.",Experimentally validated,,,
