uniprot	pdb	label	seq	old_uniprot	new_uniprot
	2ptk	db_align_beg	81		
	3ig3	db_align_beg			
	2d9f	db_align_beg			
	1a0n	db_align_beg			
	6amv				
	6amw				
	1hct	db_align_beg	144		
	4m8t	db_align_beg			
	4mao				
	6nr0				
	1na6				
	2ptk				
	2xp2				
	2dx1				
	4ped				
	2yfx				
	1p14				
	2ojj	db_align_beg	42		
	2oji	db_align_beg			
	7us1				
	1s9j				
	2v7o			Q8N4I3	Q13555
	2wel		13		
	2c0i	db_align_beg	81		
	2c0o	db_align_beg	81		
	1qkr				
	4r7h				
	7m8e				
	2src	db_align_beg	86		
	1ksw	db_align_beg	86		
	2h8h	db_align_beg	2		
	4wxx				
	1jpa	db_align_beg	587		
	1fmk	db_align_beg	86		
	6nbs				
	1opl	db_align_beg	-18		
	2fo0	db_align_beg	43	P00519-2	P00519
	5d7q				
	1tr2				
	1st6				
	1gnv	db_align_beg	117		
	3h2u			B4DTM7	P18206
	6nji	db_align_beg	380		
	6njj	db_align_beg	380		
	6njh	db_align_beg	380		
	6pst				P00579
	1g83				
	2ayo	db_align_beg	91		
	2ayn	db_align_beg	91		
	3fi7	db_align_beg	64		
	4zyn	db_align_beg	46		
	7am4	db_align_beg	10		
	7am8	db_align_beg	10		
	7am3	db_align_beg	10		
	5ox2	db_align_beg	10		
	7am5	db_align_beg	10		
	7am7	db_align_beg	10		
	7am6	db_align_beg	10		
	1dui	db_align_beg	10		
	1sue	db_align_beg	10		
	1gns	db_align_beg	13		
	1sua	db_align_beg	10		
	3t6p	db_align_beg	275		
	6lvs	db_align_beg	101		
