Gene_name,Uniprot_ID,Protein_length,region_1,region_2,region_1_len,region_2_len,PDB ID,PDB Length,Resolution,Model,Label_chain,Auth_chain,PDB residues in region_1,PDB residues in region_2,Percent residues in region_1,Percent residues in region_2
SRC,P00523,533,"148-245,246-266","81-142,521-533",119,75,2ptk,697,2.35,0,A,A,119,67,100.0,89.33333333
MAPK1,P28482,360,173-196,"25-172,197-313",24,265,3sa0,655,1.5947,0,A,A,24,262,100.0,98.86792453
MAPK1,P28482,360,173-196,"25-172,197-313",24,265,6g9d,817,1.8,0,A,A,24,264,100.0,99.62264151
MAPK1,P28482,360,173-196,"25-172,197-313",24,265,8ao2,677,1.796,0,A,A,24,264,100.0,99.62264151
MAPK1,P28482,360,173-196,"25-172,197-313",24,265,4zxt,656,2.0,0,A,A,24,262,100.0,98.86792453
MAPK1,P28482,360,173-196,"25-172,197-313",24,265,7e73,450,2.28,0,A,A,24,265,100.0,100.0
MAPK1,P28482,360,173-196,"25-172,197-313",24,265,8aod,666,1.62,0,A,A,24,260,100.0,98.11320755
MAPK1,P28482,360,173-196,"25-172,197-313",24,265,4fux,507,2.2,0,A,A,24,264,100.0,99.62264151
MAPK1,P28482,360,173-196,"25-172,197-313",24,265,6slg,538,1.33,0,A,A,24,265,100.0,100.0
MAPK1,P28482,360,173-196,"25-172,197-313",24,265,5wp1,685,1.4,0,A,A,24,262,100.0,98.86792453
MAPK1,P28482,360,173-196,"25-172,197-313",24,265,5nhp,544,1.99,0,A,A,24,265,100.0,100.0
MAPK1,P28482,360,173-196,"25-172,197-313",24,265,6qah,587,1.58,0,A,A,24,263,100.0,99.24528302
MAPK1,P28482,360,173-196,"25-172,197-313",24,265,6q7t,651,1.6,0,A,A,24,264,100.0,99.62264151
MAPK1,P28482,360,173-196,"25-172,197-313",24,265,6qaq,639,1.58,0,A,A,24,264,100.0,99.62264151
MAPK1,P28482,360,173-196,"25-172,197-313",24,265,6q7k,632,1.84,0,A,A,24,264,100.0,99.62264151
MAPK1,P28482,360,173-196,"25-172,197-313",24,265,4zzm,468,1.89,0,A,A,24,264,100.0,99.62264151
MAPK1,P28482,360,173-196,"25-172,197-313",24,265,4n0s,761,1.7992,0,A,A,24,261,100.0,98.49056604
