uniprot	pdb	region_1	region_2	complex_rmsd	percent_region_1	percent_region_2	2_aligned	2_comp	state	conformation	organism	date	notes	chain	af_filename
P04637	8f2h	364-393	102-292	30.431	100.0	100.0	3.065	70.729	Autoinhibited	Closed	"""Homo sapiens"""	['2022-11-08']		A	F-P04637-F1-model_v3.cif
P04637	8f2i	364-393	102-292	30.431	100.0	100.0	3.065	70.729	Autoinhibited	Closed	"""Homo sapiens"""	['2022-11-08']		A	F-P04637-F1-model_v3.cif
P07038	1mhs	892-917	562-625	14.225	100.0	100.0	8.246	22.815	Active	Closed	"""Neurospora crassa"""	['2002-08-21']		A	F-P07038-F1-model_v3.cif
P07038	7nxf	892-917	562-625	4.914	100.0	100.0	1.812	12.107	Autoinhibited	Closed	"""Neurospora crassa"""	['2021-03-18']	“Phosphorylation of Ser913/Thr914 would disturb the contact between the R domain of one monomer and the adjacent P domain.”(34757782)	A	F-P07038-F1-model_v3.cif
P07038	7ny1	892-917	562-625	4.914	100.0	100.0	1.812	12.107	Autoinhibited	Closed	"""Neurospora crassa"""	['2021-03-19']		A	F-P07038-F1-model_v3.cif
Q8NQJ3	2kb3	1-40	68-117	15.371	97.5	100.0	2.552	29.829	Autoinhibited	Closed	Corynebacterium glutamicum	['2008-11-20']		A	F-Q8NQJ3-F1-model_v3.cif
Q8NQJ3	2kb4	1-40	68-117	30.77	100.0	100.0	2.45	61.982	Active	Open	Corynebacterium glutamicum	['2008-11-20']		A	F-Q8NQJ3-F1-model_v3.cif
P00579	4llg	2-80	379-449,458-534	13.459	64.5569620253165	100.0	1.75	45.352	Active	Open	Enterobacteria phage T7	['2013-07-09']		F	F-P00579-F1-model_v3.cif
P60240	4s20	1-110	147-416,441-659	11.12	99.0909090909091	99.7955010224949	3.08	29.595	Autoinhibited	Closed	Escherichia coli	['2015-01-16']		K	F-P60240-F1-model_v3.cif
P60240	7m8e	1-110	147-416,441-659	5.106	99.0909090909091	100.0	2.338	11.303	Active	Open	Escherichia coli	['2021-03-29']		F	F-P60240-F1-model_v3.cif
P14633	1na6	26-100	185-404	2.214	94.6666666666667	85.0	1.765	4.067	Autoinhibited	Closed	Escherichia coli	['2002-11-26']		A	F-P14633-F1-model_v3.cif
A0A0R4I961	6gtv	155-279	3-147	1.45	100.0	100.0	1.673	1.135	Active	Closed	Escherichia coli F18+	['2018-06-19']		A	F-A0A0R4I961-F1-model_v3.cif
A0A0R4I961	6gtz	155-279	3-147	1.631	100.0	100.0	1.648	3.014	Active	Closed	Escherichia coli F18+	['2018-06-19']		A	F-A0A0R4I961-F1-model_v3.cif
A0A0R4I961	6gu0	155-279	3-147	2.105	100.0	100.0	1.788	4.298	Active	Closed	Escherichia coli F18+	['2018-06-19']		A	F-A0A0R4I961-F1-model_v3.cif
P00579	4lk1	2-80	379-449,458-534	13.988	79.746835443038	100.0	1.689	46.737	Active	Open	Escherichia coli K-12	['2013-07-05']		F	F-P00579-F1-model_v3.cif
P00579	7khi	2-80	379-449,458-534	18.08	94.9367088607595	100.0	1.653	51.763	Active	Open	Escherichia coli K-12	['2020-10-21']		F	F-P00579-F1-model_v3.cif
