uniprot,region_1,region_2,af_filename
A0A044RE18,42-116,159-447,AF-A0A044RE18-F1-model_v4.cif
A0A377U130,1-56,108-477,AF-A0A377U130-F1-model_v4.cif
A0A544CH04,112-139,1-101,AF-A0A544CH04-F1-model_v4.cif
A1X283,368-427,5-129,AF-A1X283-F1-model_v4.cif
A2A5C2,"417-480, 1-42","334-417, 334-417",AF-A2A5C2-F1-model_v4.cif
A9QM74,1-92,102-495,AF-A9QM74-F1-model_v4.cif
B1MTB0,186-215,8-163,AF-B1MTB0-F1-model_v4.cif
C8ZE58,604-741,855-886,AF-C8ZE58-F1-model_v4.cif
O15078,"1966-2479, 1-580","1-580, 1966-2479",AF-O15078-F1-model_v4.cif
O54992,308-350,22-304,AF-O54992-F1-model_v4.cif
O60282,916-928,6-335,AF-O60282-F1-model_v4.cif
O70481,1499-1757,1-1031,AF-O70481-F1-model_v4.cif
O75037,929-1010,6-378,AF-O75037-F1-model_v4.cif
O88933,339-372,1-68,AF-O88933-F1-model_v4.cif
O88942,170-183,267-269,AF-O88942-F1-model_v4.cif
O94532,"1391-1419, 353-406","759-1199, 759-1199",AF-O94532-F1-model_v4.cif
O94955,420-611,1-220,AF-O94955-F1-model_v4.cif
P00515,93-97,136-256,AF-P00515-F1-model_v4.cif
P04409,"101-151, 152-177, 159-242, 36-86","341-583, 341-583",AF-P04409-F1-model_v4.cif
P10105,385-410,505-569,AF-P10105-F1-model_v4.cif
P10911,286-348,687-811,AF-P10911-F1-model_v4.cif
P13508,1174-1295,797-858,AF-P13508-F1-model_v4.cif
P27715,"1140-1268, 1269-1470, 1035-1084","1471-1954, 1471-1954",AF-P27715-F1-model_v4.cif
P29294,964-992,696-951,AF-P29294-F1-model_v4.cif
P31322,111-115,154-274,AF-P31322-F1-model_v4.cif
P41971,152-209,1-89,AF-P41971-F1-model_v4.cif
P42685,"114-208, 209-233, 492-505, 42-110","234-491, 234-491",AF-P42685-F1-model_v4.cif
P45442,"204-215, 233-265, 308-402, 175-183","103-169, 103-169",AF-P45442-F1-model_v4.cif
P48608,"991-1051, 114-369","59-241, 59-241",AF-P48608-F1-model_v4.cif
P49138,318-338,5-311,AF-P49138-F1-model_v4.cif
P51178,444-487,316-656,AF-P51178-F1-model_v4.cif
P67999,424-525,91-352,AF-P67999-F1-model_v4.cif
Q04584,"352-538, 100-267","100-267, 352-538",AF-Q04584-F1-model_v4.cif
Q06413,"368-399, 279-367","1-61, 1-61",AF-Q06413-F1-model_v4.cif
Q09137,285-349,25-297,AF-Q09137-F1-model_v4.cif
Q12774,1093-1100,1174-1358,AF-Q12774-F1-model_v4.cif
Q12851,466-670,16-273,AF-Q12851-F1-model_v4.cif
Q15139,422-543,583-839,AF-Q15139-F1-model_v4.cif
Q15942,"384-570, 61-346","61-346, 384-570",AF-Q15942-F1-model_v4.cif
Q16720,1093-1124,354-1060,AF-Q16720-F1-model_v4.cif
Q2LKW6,625-709,126-435,AF-Q2LKW6-F1-model_v4.cif
Q39253,1-36,56-62,AF-Q39253-F1-model_v4.cif
Q5VT25,658-930,77-343,AF-Q5VT25-F1-model_v4.cif
Q62073,1-22,36-291,AF-Q62073-F1-model_v4.cif
Q65CL1,1-259,260-626,AF-Q65CL1-F1-model_v4.cif
Q6H1V1,356-362,1-486,AF-Q6H1V1-F1-model_v4.cif
Q6I750,"308-366, 367-420, 39-134","241-295, 241-295",AF-Q6I750-F1-model_v4.cif
Q6PDN3,787-806,1486-1741,AF-Q6PDN3-F1-model_v4.cif
Q7TNR9,1-46,78-262,AF-Q7TNR9-F1-model_v4.cif
Q7XEK4,2-68,439-812,AF-Q7XEK4-F1-model_v4.cif
Q8IZM6,"388-433, 256-260","186-189, 186-189",AF-Q8IZM6-F1-model_v4.cif
Q8IZQ8,1-149,700-938,AF-Q8IZQ8-F1-model_v4.cif
Q8K382,527-547,1-406,AF-Q8K382-F1-model_v4.cif
Q8K3Z0,658-1019,6-185,AF-Q8K3Z0-F1-model_v4.cif
Q8N5V2,175-182,273-457,AF-Q8N5V2-F1-model_v4.cif
Q93107,91-157,469-725,AF-Q93107-F1-model_v4.cif
Q94527,640-738,147-446,AF-Q94527-F1-model_v4.cif
Q95UN8,56-120,485-487,AF-Q95UN8-F1-model_v4.cif
Q96N96,98-206,561-652,AF-Q96N96-F1-model_v4.cif
Q9DG15,1-228,257-347,AF-Q9DG15-F1-model_v4.cif
Q9FJJ5,265-293,1-120,AF-Q9FJJ5-F1-model_v4.cif
Q9HC29,786-1009,26-218,AF-Q9HC29-F1-model_v4.cif
Q9HC98,108-114,31-41,AF-Q9HC98-F1-model_v4.cif
Q9HES9,895-927,9-342,AF-Q9HES9-F1-model_v4.cif
Q9JK25,1258-1314,60-278,AF-Q9JK25-F1-model_v4.cif
Q9N5D3,"1067-1493, 496-606, 244-448","893-1165, 893-1165",AF-Q9N5D3-F1-model_v4.cif
Q9NES8,15-155,156-495,AF-Q9NES8-F1-model_v4.cif
Q9NQ66,518-533,316-656,AF-Q9NQ66-F1-model_v4.cif
Q9P2E2,"847-1029, 764-772","3-343, 3-343",AF-Q9P2E2-F1-model_v4.cif
Q9UR24,6-16,273-498,AF-Q9UR24-F1-model_v4.cif
Q9VUC6,"1136-1169, 125-373","687-1132, 687-1132",AF-Q9VUC6-F1-model_v4.cif
Q9Y6R4,253-553,1343-1601,AF-Q9Y6R4-F1-model_v4.cif
