uniprot	region	af_filename	complex_mean_plddt	region_mean_plddt
P00734	44-89,108-186,213-291,364-618	AF-P00734-F1-model_v4.cif	84.752	90.03
P03372	311-547	AF-P03372-F1-model_v4.cif	66.904	91.893
P00742	41-85,86-122,125-165,235-467	AF-P00742-F1-model_v4.cif	79.848	90.237
P00533	712-979	AF-P00533-F1-model_v4.cif	76.521	84.857
Q9UIF8	739-810,1087-1152,2077-2147	AF-Q9UIF8-F1-model_v4.cif	55.872	92.143
P08709	61-105,106-142,147-188,213-452	AF-P08709-F1-model_v4.cif	82.74	87.896
P05067	28-189,291-341,374-565	AF-P05067-F1-model_v4.cif	68.157	89.467
P00749	27-63,70-151,179-424	AF-P00749-F1-model_v4.cif	82.303	87.713
P03069	225-281	AF-P03069-F1-model_v4.cif	67.021	93.547
Q00987	26-109	AF-Q00987-F1-model_v4.cif	62.998	95.329
P00974	40-90	AF-P00974-F1-model_v4.cif	84.301	98.134
Q92793	587-666,1103-1175,1323-1700	AF-Q92793-F1-model_v4.cif	54.295	86.426
P08581	27-515,563-655,657-739,742-836,1078-1345	AF-P08581-F1-model_v4.cif	79.588	86.702
P41182	32-99	AF-P41182-F1-model_v4.cif	50.11	43.53
P01024	693-728,1518-1661	AF-P01024-F1-model_v4.cif	79.812	81.603
P19793	227-458	AF-P19793-F1-model_v4.cif	76.512	90.567
P05106	30-76,135-377,436-498,499-548,549-585,586-629	AF-P05106-F1-model_v4.cif	87.496	91.848
Q8NBP7	77-149,155-461	AF-Q8NBP7-F1-model_v4.cif	84.857	90.95
P06213	624-726,757-842,853-947,1023-1298	AF-P06213-F1-model_v4.cif	78.487	79.441
P00740	47-92,93-129,130-171,227-459	AF-P00740-F1-model_v4.cif	80.05	88.117
P00735	44-90,109-187,214-292,367-621	AF-P00735-F1-model_v4.cif	83.321	88.925
P02751	50-90,95-138,139-182,184-228,229-273,306-345,355-403,415-463,468-511,516-558,559-602,610-702,722-812,813-904,909-998,999-1088,1089-1175,1176-1270,1271-1359,1360-1452,1453-1540,1541-1634,1635-1726,1727-1814,1815-1908,1909-1995,1996-2086,2194-2288,2295-2339,2340-2382,2384-2427	AF-P02751-F1-model_v4.cif	70.333	74.912
Q9UIF9	546-617,848-913,1810-1880	AF-Q9UIF9-F1-model_v4.cif	56.603	90.732
Q9UGL1	32-73,97-187,453-619	AF-Q9UGL1-F1-model_v4.cif	73.561	86.541
Q09472	566-645,1067-1139,1287-1663	AF-Q09472-F1-model_v4.cif	54.699	87.05
Q03181	211-439	AF-Q03181-F1-model_v4.cif	83.319	94.514
P04150	524-758	AF-P04150-F1-model_v4.cif	60.861	92.61
P11473	127-423	AF-P11473-F1-model_v4.cif	84.695	83.465
Q05769	18-55	AF-Q05769-F1-model_v4.cif	92.536	95.327
P62694	477-513	AF-P62694-F1-model_v4.cif	93.526	94.462
P00747	20-98,103-181,184-262,275-352,377-454,481-560,581-808	AF-P00747-F1-model_v4.cif	83.696	88.511
P08603	19-82,83-143,144-207,208-264,265-322,324-386,387-444,446-507,515-566,567-625,628-686,689-746,751-805,809-866,868-928,929-986,987-1045,1046-1104,1107-1165,1170-1230	AF-P08603-F1-model_v4.cif	79.112	79.811
P29375	19-60,84-174,437-603	AF-P29375-F1-model_v4.cif	70.566	87.876
P00268	1-54	AF-P00268-F1-model_v4.cif	96.811	96.811
P04626	720-987	AF-P04626-F1-model_v4.cif	74.909	84.472
P08069	491-609,610-708,735-828,834-927,999-1274	AF-P08069-F1-model_v4.cif	78.503	80.935
P01031	698-732,1532-1676	AF-P01031-F1-model_v4.cif	81.723	82.503
P84131	2-115,240-274	AF-P84131-F1-model_v4.cif	94.497	96.423
P04049	56-131,349-609	AF-P04049-F1-model_v4.cif	68.684	86.968
P68390	1-63,64-128,131-185	AF-P68390-F1-model_v4.cif	90.392	90.87
O15151	25-108	AF-O15151-F1-model_v4.cif	60.908	92.72
P14210	37-123,128-206,211-288,305-383,391-469,495-721	AF-P14210-F1-model_v4.cif	83.854	88.278
Q96T88	1-78,419-582	AF-Q96T88-F1-model_v4.cif	81.267	91.355
P29083	14-104	AF-P29083-F1-model_v4.cif	68.14	84.504
Q13888	60-236	AF-Q13888-F1-model_v4.cif	84.45	93.645
P05979	32-70	AF-P05979-F1-model_v4.cif	93.921	96.79
