uniprot	region_1	region_2	region_1_len	region_2_len	pdb	pdb_length	resolution	model	chain	label_offset	pdb residues in region_1	pdb residues in region_2	percent_region_1	percent_region_2	gt_fn	af_filename
P00533	166-309,482-618	712-979	281	268	1yy9	610	2.605	0	A	-24	279	0	99.28825622775801	0.0	1yy9.cif	F-P00533-F1-model_v3.cif
P00533	166-309,482-618	712-979	281	268	3njp	613	3.304	0	A	-24	280	0	99.644128113879	0.0	3njp.cif	F-P00533-F1-model_v3.cif
P00533	166-309,482-618	712-979	281	268	3qwq	613	2.75	0	A	0	281	0	100.0	0.0	3qwq.cif	F-P00533-F1-model_v3.cif
P00533	166-309,482-618	712-979	281	268	4kro	570	3.054	0	A	-24	257	0	91.45907473309609	0.0	4kro.cif	F-P00533-F1-model_v3.cif
P00533	166-309,482-618	712-979	281	268	4uip	612	2.95	0	A	-25	281	0	100.0	0.0	4uip.cif	F-P00533-F1-model_v3.cif
P00533	166-309,482-618	712-979	281	268	4uv7	596	2.1	0	A	-24	264	0	93.95017793594306	0.0	4uv7.cif	F-P00533-F1-model_v3.cif
P00533	166-309,482-618	712-979	281	268	5xwd	611	2.894	0	A	0	281	0	100.0	0.0	5xwd.cif	F-P00533-F1-model_v3.cif
P00533	166-309,482-618	712-979	281	268	6aru	607	3.2	0	A	-24	280	0	99.644128113879	0.0	6aru.cif	F-P00533-F1-model_v3.cif
P00533	166-309,482-618	712-979	281	268	7om4	614	6.05	0	A	-24	281	0	100.0	0.0	7om4.cif	F-P00533-F1-model_v3.cif
P00533	166-309,482-618	712-979	281	268	7syd	613	1.6	0	A	0	280	0	99.644128113879	0.0	7syd.cif	F-P00533-F1-model_v3.cif
P00533	166-309,482-618	712-979	281	268	7sye	613	1.6	0	A	0	280	0	99.644128113879	0.0	7sye.cif	F-P00533-F1-model_v3.cif
P00533	166-309,482-618	712-979	281	268	7sz0	613	1.6	0	A	0	280	0	99.644128113879	0.0	7sz0.cif	F-P00533-F1-model_v3.cif
P00533	166-309,482-618	712-979	281	268	7sz1	613	1.6	0	A	0	280	0	99.644128113879	0.0	7sz1.cif	F-P00533-F1-model_v3.cif
P00533	166-309,482-618	712-979	281	268	7sz5	613	1.6	0	A	0	280	0	99.644128113879	0.0	7sz5.cif	F-P00533-F1-model_v3.cif
P00533	166-309,482-618	712-979	281	268	7sz7	613	1.6	0	A	0	280	0	99.644128113879	0.0	7sz7.cif	F-P00533-F1-model_v3.cif
P00533	166-309,482-618	712-979	281	268	8hgs	593	3.404	0	A	0	281	0	100.0	0.0	8hgs.cif	F-P00533-F1-model_v3.cif
P04637	364-393	102-292	30	191	8f2h	393	2.5	0	A	0	30	191	100.0	100.0	8f2h.cif	F-P04637-F1-model_v3.cif
P04637	364-393	102-292	30	191	8f2i	393	2.5	0	A	0	30	191	100.0	100.0	8f2i.cif	F-P04637-F1-model_v3.cif
P00523	148-245,246-266	81-142,521-533	119	75	2ptk	425	2.35	0	A	-80	119	67	100.0	89.33333333333333	2ptk.cif	F-P00523-F1-model_v3.cif
O60674	758-807	849-1124	50	276	4fvp	271	2.01	0	A	-535	48	0	96.0	0.0	4fvp.cif	F-O60674-F1-model_v3.cif
O60674	758-807	849-1124	50	276	4fvq	271	1.75	0	A	-535	48	0	96.0	0.0	4fvq.cif	F-O60674-F1-model_v3.cif
O60674	758-807	849-1124	50	276	4fvr	271	2.0	0	A	-535	48	0	96.0	0.0	4fvr.cif	F-O60674-F1-model_v3.cif
O60674	758-807	849-1124	50	276	5i4n	268	1.54	0	A	-534	48	0	96.0	0.0	5i4n.cif	F-O60674-F1-model_v3.cif
O60674	758-807	849-1124	50	276	5usz	269	2.103	0	A	-535	48	0	96.0	0.0	5usz.cif	F-O60674-F1-model_v3.cif
O60674	758-807	849-1124	50	276	5ut0	269	2.102	0	A	-535	48	0	96.0	0.0	5ut0.cif	F-O60674-F1-model_v3.cif
O60674	758-807	849-1124	50	276	5ut1	269	1.95	0	A	-535	48	0	96.0	0.0	5ut1.cif	F-O60674-F1-model_v3.cif
O60674	758-807	849-1124	50	276	5ut2	270	1.75	0	A	-535	48	0	96.0	0.0	5ut2.cif	F-O60674-F1-model_v3.cif
O60674	758-807	849-1124	50	276	5ut3	269	1.501	0	A	-535	48	0	96.0	0.0	5ut3.cif	F-O60674-F1-model_v3.cif
O60674	758-807	849-1124	50	276	5ut4	270	2.0	0	A	-535	48	0	96.0	0.0	5ut4.cif	F-O60674-F1-model_v3.cif
O60674	758-807	849-1124	50	276	5ut5	269	1.9	0	A	-535	48	0	96.0	0.0	5ut5.cif	F-O60674-F1-model_v3.cif
O60674	758-807	849-1124	50	276	5ut6	269	1.645	0	A	-535	48	0	96.0	0.0	5ut6.cif	F-O60674-F1-model_v3.cif
O60674	758-807	849-1124	50	276	5wij	271	2.04	0	A	-535	48	0	96.0	0.0	5wij.cif	F-O60674-F1-model_v3.cif
O60674	758-807	849-1124	50	276	5wil	271	2.2	0	A	-535	48	0	96.0	0.0	5wil.cif	F-O60674-F1-model_v3.cif
O60674	758-807	849-1124	50	276	5wim	271	2.55	0	A	-535	48	0	96.0	0.0	5wim.cif	F-O60674-F1-model_v3.cif
O60674	758-807	849-1124	50	276	5win	271	2.38	0	A	-535	48	0	96.0	0.0	5win.cif	F-O60674-F1-model_v3.cif
O60674	758-807	849-1124	50	276	6brw	269	2.031	0	A	-535	48	0	96.0	0.0	6brw.cif	F-O60674-F1-model_v3.cif
O60674	758-807	849-1124	50	276	6bs0	269	1.541	0	A	-535	48	0	96.0	0.0	6bs0.cif	F-O60674-F1-model_v3.cif
O60674	758-807	849-1124	50	276	6bss	268	2.1	0	A	-535	48	0	96.0	0.0	6bss.cif	F-O60674-F1-model_v3.cif
O60674	758-807	849-1124	50	276	6m9h	270	1.79	0	A	-535	48	0	96.0	0.0	6m9h.cif	F-O60674-F1-model_v3.cif
O60674	758-807	849-1124	50	276	6oav	269	1.939	0	A	-535	48	0	96.0	0.0	6oav.cif	F-O60674-F1-model_v3.cif
O60674	758-807	849-1124	50	276	6obb	269	1.904	0	A	-535	48	0	96.0	0.0	6obb.cif	F-O60674-F1-model_v3.cif
O60674	758-807	849-1124	50	276	6obf	269	1.71	0	A	-535	48	0	96.0	0.0	6obf.cif	F-O60674-F1-model_v3.cif
O60674	758-807	849-1124	50	276	6obl	269	2.061	0	A	-535	48	0	96.0	0.0	6obl.cif	F-O60674-F1-model_v3.cif
O60674	758-807	849-1124	50	276	6occ	265	2.03	0	A	-535	48	0	96.0	0.0	6occ.cif	F-O60674-F1-model_v3.cif
O60674	758-807	849-1124	50	276	6xjk	262	2.02350796538	0	A	-535	48	0	96.0	0.0	6xjk.cif	F-O60674-F1-model_v3.cif
