uniprot,cluster,fnat,fnat_correct,fnat_total,fnonnat,fnonnat_nnative,fnonnat_model,irms,lrms,dockq,capri
Q72AS4,183,0.672,129,192,0.374,77,206,5.795,8.987,0.402,Acceptable
H6SG27,210,0.091,21,230,0.667,42,63,18.909,31.002,0.056,Incorrect
P23687,082,0.416,123,296,0.388,78,201,5.344,6.416,0.375,Acceptable
P0AG30,284,0.833,30,36,0.118,4,34,0.96,39.774,0.529,Medium
Q941M3,U10-003,0.788,197,250,0.151,35,232,9.315,19.848,0.323,Acceptable
P0AG30,254,0.667,24,36,0.25,8,32,1.647,25.068,0.408,Acceptable
O68880,055,0.895,154,172,0.12,21,175,1.402,1.566,0.799,Medium
E1K248,043,0.235,43,183,0.809,182,225,12.344,18.007,0.144,Incorrect
H6SG27,U100-004,0.883,203,230,0.098,22,225,1.766,4.201,0.702,Medium
Q7KLV9,009,0.822,37,45,0.14,6,43,2.833,19.718,0.399,Acceptable
F2Z6J5,222,0.452,89,197,0.536,103,192,11.531,20.338,0.206,Incorrect
P23687,359,0.101,30,296,0.84,158,188,13.219,17.056,0.104,Incorrect
Q7KLV9,023,0.356,16,45,0.704,38,54,12.901,24.106,0.16,Incorrect
P04807,097,0.875,98,112,0.197,24,122,1.719,5.051,0.682,Medium
F2Z6J5,012,0.619,122,197,0.408,84,206,11.06,38.931,0.228,Incorrect
O68880,004,0.924,159,172,0.097,17,176,1.436,1.48,0.806,High
P0AG30,220,0.833,30,36,0.062,2,32,1.129,30.802,0.514,Medium
H6SG27,081,0.078,18,230,0.798,71,89,18.112,28.307,0.056,Incorrect
A0A0F7R6G7,U100-005,0.915,204,223,0.209,54,258,2.5,11.529,0.511,Medium
A0A140DJY3,U100-005,0.732,205,280,0.093,21,226,8.644,20.328,0.303,Acceptable
P23687,077,0.189,56,296,0.559,71,127,7.999,10.109,0.212,Incorrect
G0WVH3,159,0.099,23,233,0.723,60,83,22.998,48.457,0.044,Incorrect
P04807,073,0.625,70,112,0.402,47,117,4.785,5.827,0.465,Acceptable
Q7KLV9,025,0.911,41,45,0.068,3,44,1.67,21.815,0.496,Medium
P0AG30,031,0.611,22,36,0.083,2,24,1.819,3.363,0.627,Medium
G0WVH3,U100-000,0.936,218,233,0.06,14,232,0.973,3.53,0.831,High
H6SG27,265,0.187,43,230,0.639,76,119,21.45,45.062,0.075,Incorrect
A0A0F7R6G7,U100-000,0.91,203,223,0.228,60,263,2.411,11.513,0.514,Medium
A0A3B6UEQ0,064,0.442,73,165,0.585,103,176,13.227,26.526,0.183,Incorrect
P0AG30,091,0.75,27,36,0.036,1,28,1.146,19.937,0.512,Medium
Q941M3,005,0.18,45,250,0.505,46,91,13.733,21.451,0.109,Incorrect
