uniprot	region_1	region_2	mean_pae_1_1	mean_pae_1_2	mean_pae_2_2	af_filename	cluster	cf_filename	complex_mean_plddt	r1_mean_plddt	r2_mean_plddt
D9N168	3-169	336-543	1.843	3.801	3.054	AF-D9N168-F1-model_v4.cif	U100-002	D9N168_U100-002_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	96.039	96.038	96.184
D9N168	3-169	336-543	1.843	3.801	3.054	AF-D9N168-F1-model_v4.cif	U10-004	D9N168_U10-004_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	95.172	94.51	95.477
D9N168	3-169	336-543	1.843	3.801	3.054	AF-D9N168-F1-model_v4.cif	U100-006	D9N168_U100-006_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	95.825	95.805	95.972
D9N168	3-169	336-543	1.843	3.801	3.054	AF-D9N168-F1-model_v4.cif	U10-009	D9N168_U10-009_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	94.569	92.292	95.857
D9N168	3-169	336-543	1.843	3.801	3.054	AF-D9N168-F1-model_v4.cif	U10-000	D9N168_U10-000_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	94.643	92.946	95.761
D9N168	3-169	336-543	1.843	3.801	3.054	AF-D9N168-F1-model_v4.cif	U10-008	D9N168_U10-008_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	95.47	95.315	95.771
D9N168	3-169	336-543	1.843	3.801	3.054	AF-D9N168-F1-model_v4.cif	U100-007	D9N168_U100-007_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	95.999	96.062	96.169
D9N168	3-169	336-543	1.843	3.801	3.054	AF-D9N168-F1-model_v4.cif	U100-003	D9N168_U100-003_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	95.998	95.982	96.178
D9N168	3-169	336-543	1.843	3.801	3.054	AF-D9N168-F1-model_v4.cif	U10-005	D9N168_U10-005_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	95.514	95.316	95.808
D9N168	3-169	336-543	1.843	3.801	3.054	AF-D9N168-F1-model_v4.cif	U10-001	D9N168_U10-001_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb	94.936	94.046	95.663
D9N168	3-169	336-543	1.843	3.801	3.054	AF-D9N168-F1-model_v4.cif	U10-003	D9N168_U10-003_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	95.311	94.971	95.757
D9N168	3-169	336-543	1.843	3.801	3.054	AF-D9N168-F1-model_v4.cif	U100-005	D9N168_U100-005_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	95.997	96.095	96.122
D9N168	3-169	336-543	1.843	3.801	3.054	AF-D9N168-F1-model_v4.cif	U100-001	D9N168_U100-001_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	96.029	95.991	96.161
D9N168	3-169	336-543	1.843	3.801	3.054	AF-D9N168-F1-model_v4.cif	U100-008	D9N168_U100-008_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	96.009	96.031	96.159
D9N168	3-169	336-543	1.843	3.801	3.054	AF-D9N168-F1-model_v4.cif	U10-007	D9N168_U10-007_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	95.285	94.672	95.805
D9N168	3-169	336-543	1.843	3.801	3.054	AF-D9N168-F1-model_v4.cif	U10-006	D9N168_U10-006_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	95.475	95.111	95.855
D9N168	3-169	336-543	1.843	3.801	3.054	AF-D9N168-F1-model_v4.cif	U100-000	D9N168_U100-000_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	96.057	96.189	96.165
D9N168	3-169	336-543	1.843	3.801	3.054	AF-D9N168-F1-model_v4.cif	U100-009	D9N168_U100-009_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	95.981	95.947	96.094
D9N168	3-169	336-543	1.843	3.801	3.054	AF-D9N168-F1-model_v4.cif	U10-002	D9N168_U10-002_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	95.363	95.071	95.797
D9N168	3-169	336-543	1.843	3.801	3.054	AF-D9N168-F1-model_v4.cif	U100-004	D9N168_U100-004_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	96.009	96.105	96.136
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	163	Q72AS4_163_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb	55.572	65.964	32.018
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	073	Q72AS4_073_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	67.383	73.356	53.643
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	108	Q72AS4_108_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	51.204	61.267	34.659
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	145	Q72AS4_145_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	60.605	70.863	46.963
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	058	Q72AS4_058_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	70.158	81.638	46.454
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	066	Q72AS4_066_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	59.005	68.465	36.592
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	044	Q72AS4_044_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb	57.017	68.157	35.234
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	026	Q72AS4_026_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb	80.842	88.137	63.931
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	090	Q72AS4_090_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	57.591	65.011	37.647
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	172	Q72AS4_172_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb	64.993	76.069	42.015
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	180	Q72AS4_180_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb	47.181	59.239	28.755
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	184	Q72AS4_184_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	56.826	64.927	39.394
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	040	Q72AS4_040_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	62.819	75.759	36.147
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	150	Q72AS4_150_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb	53.903	64.854	34.246
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	055	Q72AS4_055_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	61.047	73.312	36.483
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif	167	Q72AS4_167_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	49.951	55.131	35.48
