uniprot	cluster	cf_filename	complex_rmsd	1.0_aligned	1.0_comp	1.1_aligned	1.1_comp	1.2_aligned	1.2_comp	2.0_aligned	2.0_comp	2.1_aligned	2.1_comp	2.2_aligned	2.2_comp	2.3_aligned	2.3_comp	1_aligned	1_comp	2_aligned	2_comp
P04637	004	P04637_004_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	27.439	10.553	107.7	0	0	0	0	5.665	48.217	0	0	0	0	0	0	10.553	107.7	5.665	48.217
P04637	000	P04637_000_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	32.38	13.72	84.288	0	0	0	0	10.08	72.06	0	0	0	0	0	0	13.72	84.288	10.08	72.06
P04637	015	P04637_015_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	30.951	9.176	101.736	0	0	0	0	4.562	89.333	0	0	0	0	0	0	9.176	101.736	4.562	89.333
P04637	009	P04637_009_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	32.244	10.089	96.035	0	0	0	0	10.62	47.231	0	0	0	0	0	0	10.089	96.035	10.62	47.231
P04637	U100-003	P04637_U100-003_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	26.947	9.537	84.494	0	0	0	0	1.642	59.502	0	0	0	0	0	0	9.537	84.494	1.642	59.502
P04637	U100-007	P04637_U100-007_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	33.084	12.671	78.449	0	0	0	0	1.608	60.43	0	0	0	0	0	0	12.671	78.449	1.608	60.43
P04637	018	P04637_018_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	34.846	8.118	64.706	0	0	0	0	10.024	56.825	0	0	0	0	0	0	8.118	64.706	10.024	56.825
P04637	U10-006	P04637_U10-006_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	26.78	9.065	87.702	0	0	0	0	3.496	28.234	0	0	0	0	0	0	9.065	87.702	3.496	28.234
P04637	U10-002	P04637_U10-002_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	32.585	8.182	81.589	0	0	0	0	9.554	98.218	0	0	0	0	0	0	8.182	81.589	9.554	98.218
P04637	022	P04637_022_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	25.053	9.309	102.96	0	0	0	0	3.919	74.289	0	0	0	0	0	0	9.309	102.96	3.919	74.289
P04637	011	P04637_011_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	36.899	10.446	68.13	0	0	0	0	5.6	57.627	0	0	0	0	0	0	10.446	68.13	5.6	57.627
P04637	005	P04637_005_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	30.933	7.796	102.127	0	0	0	0	12.529	106.433	0	0	0	0	0	0	7.796	102.127	12.529	106.433
P04637	U100-002	P04637_U100-002_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	31.937	13.501	122.641	0	0	0	0	1.547	60.497	0	0	0	0	0	0	13.501	122.641	1.547	60.497
P04637	U100-006	P04637_U100-006_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	35.906	12.966	124.341	0	0	0	0	1.616	85.092	0	0	0	0	0	0	12.966	124.341	1.616	85.092
P04637	001	P04637_001_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	34.254	11.423	71.01	0	0	0	0	16.111	71.137	0	0	0	0	0	0	11.423	71.01	16.111	71.137
P04637	U10-003	P04637_U10-003_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	48.641	10.199	109.78	0	0	0	0	4.332	157.845	0	0	0	0	0	0	10.199	109.78	4.332	157.845
P04637	U10-007	P04637_U10-007_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	30.083	13.502	117.921	0	0	0	0	4.005	90.79	0	0	0	0	0	0	13.502	117.921	4.005	90.79
P04637	019	P04637_019_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	25.038	7.755	100.342	0	0	0	0	13.126	56.253	0	0	0	0	0	0	7.755	100.342	13.126	56.253
P04637	023	P04637_023_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	33.044	6.642	85.247	0	0	0	0	12.568	19.37	0	0	0	0	0	0	6.642	85.247	12.568	19.37
P04637	008	P04637_008_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	29.429	9.943	96.865	0	0	0	0	11.983	35.945	0	0	0	0	0	0	9.943	96.865	11.983	35.945
P04637	014	P04637_014_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	31.358	11.161	73.032	0	0	0	0	17.685	36.843	0	0	0	0	0	0	11.161	73.032	17.685	36.843
P04637	010	P04637_010_unrelaxed_rank_001_alphafold2_multimer_v2_model_2_seed_000.pdb	34.745	6.59	96.098	0	0	0	0	11.342	59.558	0	0	0	0	0	0	6.59	96.098	11.342	59.558
P04637	U100-009	P04637_U100-009_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	25.023	11.587	68.095	0	0	0	0	1.581	46.276	0	0	0	0	0	0	11.587	68.095	1.581	46.276
P04637	012	P04637_012_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	30.994	10.392	100.133	0	0	0	0	7.763	35.974	0	0	0	0	0	0	10.392	100.133	7.763	35.974
P04637	007	P04637_007_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	31.896	13.317	118.643	0	0	0	0	6.095	64.865	0	0	0	0	0	0	13.317	118.643	6.095	64.865
P04637	U10-001	P04637_U10-001_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb	30.886	10.926	56.048	0	0	0	0	3.478	47.722	0	0	0	0	0	0	10.926	56.048	3.478	47.722
