uniprot	region_1	region_2	mean_pae_1_1	mean_pae_1_2	mean_pae_2_2	af_filename
D9N168	3-169	336-543	1.843	3.801	3.054	AF-D9N168-F1-model_v4.cif
Q72AS4	52-205	237-315	1.767	2.545	1.453	AF-Q72AS4-F1-model_v4.cif
Q7CRA4	113-301	425-657	6.442	23.053	2.48	AF-Q7CRA4-F1-model_v4.cif
P14677	632-691	692-750	1.65	2.739	2.194	AF-P14677-F1-model_v4.cif
P00582	1-323	324-517	8.028	26.998	2.523	AF-P00582-F1-model_v4.cif
A0A0H2WY27	56-288	317-382	1.845	3.088	1.887	AF-A0A0H2WY27-F1-model_v4.cif
P77933	524-665	1132-1265	5.66	28.587	3.838	AF-P77933-F1-model_v4.cif
Q8GN86	9-366	416-492	2.921	7.666	2.402	AF-Q8GN86-F1-model_v4.cif
Q51504	58-206	247-546	4.079	8.347	3.301	AF-Q51504-F1-model_v4.cif
O16025	374-490	491-1066	2.869	6.621	3.206	AF-O16025-F1-model_v4.cif
A0A140DJY3	32-394	445-522	3.101	10.142	2.965	AF-A0A140DJY3-F1-model_v4.cif
F2Z7K9	71-220	263-557	5.357	9.522	2.948	AF-F2Z7K9-F1-model_v4.cif
G0WVH3	10-368	425-500	3.437	8.348	3.855	AF-G0WVH3-F1-model_v4.cif
Q95VR4	11-110	146-325	2.957	27.854	3.212	AF-Q95VR4-F1-model_v4.cif
E1K248	67-210	229-311	1.83	2.692	1.43	AF-E1K248-F1-model_v4.cif
A0A0A0V031	11-372	422-496	2.49	6.547	2.336	AF-A0A0A0V031-F1-model_v4.cif
P59676	632-691	692-750	1.669	2.775	2.25	AF-P59676-F1-model_v4.cif
A0A0F7R6G7	27-384	443-519	4.136	10.238	3.747	AF-A0A0F7R6G7-F1-model_v4.cif
Q7WU28	4-298	367-576	10.59	20.415	2.626	AF-Q7WU28-F1-model_v4.cif
O68880	38-167	220-351	2.202	3.503	2.237	AF-O68880-F1-model_v4.cif
P47736	1-17	181-397	7.412	29.644	3.503	AF-P47736-F1-model_v4.cif
A0A3B6UEQ0	22-167	187-264	1.903	2.864	1.478	AF-A0A3B6UEQ0-F1-model_v4.cif
Q2G2X6	56-288	317-382	1.873	3.135	1.915	AF-Q2G2X6-F1-model_v4.cif
Q941M3	31-397	448-523	3.61	14.566	2.633	AF-Q941M3-F1-model_v4.cif
Q9RET4	61-237	332-601	4.83	19.787	3.206	AF-Q9RET4-F1-model_v4.cif
H6SG27	24-376	438-515	4.213	11.213	4.162	AF-H6SG27-F1-model_v4.cif
F2Z6J5	63-211	231-312	2.38	3.576	1.664	AF-F2Z6J5-F1-model_v4.cif
Q9I5E6	18-267	300-476	2.116	3.959	2.632	AF-Q9I5E6-F1-model_v4.cif
A0A0M3KKZ3	9-117	158-457	6.208	11.791	3.481	AF-A0A0M3KKZ3-F1-model_v4.cif
Q87I71	95-204	361-467	2.473	4.517	2.07	AF-Q87I71-F1-model_v4.cif
Q8X5N8	27-155	204-335	2.313	3.602	2.303	AF-Q8X5N8-F1-model_v4.cif
Q47NR5	33-399	450-525	3.089	11.547	2.673	AF-Q47NR5-F1-model_v4.cif
A0A0E8T757	632-691	692-750	1.639	2.729	2.219	AF-A0A0E8T757-F1-model_v4.cif
M4GWN4	7-368	418-493	5.468	12.606	3.57	AF-M4GWN4-F1-model_v4.cif
Q6NC13	22-387	437-512	2.507	5.85	2.697	AF-Q6NC13-F1-model_v4.cif
B1YSR8	70-218	259-555	5.637	10.402	3.667	AF-B1YSR8-F1-model_v4.cif
B9PW60	11-171	201-324	5.173	5.77	1.961	AF-B9PW60-F1-model_v4.cif
Q6NAE3	14-363	415-489	3.232	10.309	2.482	AF-Q6NAE3-F1-model_v4.cif
A0R0V0	52-416	472-546	3.406	14.39	2.632	AF-A0R0V0-F1-model_v4.cif
Q57540	56-288	317-382	1.881	3.17	1.956	AF-Q57540-F1-model_v4.cif
A0A0M3KKZ4	9-117	158-457	6.611	12.103	3.494	AF-A0A0M3KKZ4-F1-model_v4.cif
P83789	41-122	488-732	1.709	15.656	2.88	AF-P83789-F1-model_v4.cif
A0A0J1PJ79	59-204	224-301	1.864	2.807	1.477	AF-A0A0J1PJ79-F1-model_v4.cif
Q9L869	17-163	182-264	1.966	2.905	1.584	AF-Q9L869-F1-model_v4.cif
Q8RR30	71-220	263-557	5.373	9.346	3.055	AF-Q8RR30-F1-model_v4.cif
D3RV29	64-210	230-309	2.381	3.639	1.833	AF-D3RV29-F1-model_v4.cif
A0A066ZR71	79-227	247-328	2.531	3.781	1.672	AF-A0A066ZR71-F1-model_v4.cif
F3Y661	17-378	428-506	3.383	12.096	2.601	AF-F3Y661-F1-model_v4.cif
Q63QJ1	71-219	260-558	5.829	10.694	4.006	AF-Q63QJ1-F1-model_v4.cif
Q8KHY3	82-257	361-631	5.43	16.176	2.49	AF-Q8KHY3-F1-model_v4.cif
Q2TU34	13-198	203-332	3.376	4.125	1.892	AF-Q2TU34-F1-model_v4.cif
B7LGE4	59-204	224-301	1.829	2.725	1.456	AF-B7LGE4-F1-model_v4.cif
A9T230	93-291	295-424	7.077	8.106	2.149	AF-A9T230-F1-model_v4.cif
