uniprot	region_1	region_2	complex_rmsd	percent_region_1	percent_region_2	2_aligned	2_comp	conformation	state	organism	date	notes	percent_disorder_1	ar_disorder	region_1_mean_plddt	region_2_mean_plddt	mean_pae_1_1	mean_pae_1_2	mean_pae_2_2	sasa	pdb
A0A0R4I961	155-279	3-147	1.45	100	100	1.673	1.135	Open	Active	Escherichia coli F18+	['2018-06-19']		0	structured	97.625	96.532	2.348	5.398	2.657	13628.66	6gtv
A0A0R4I961	155-279	3-147	1.631	100	100	1.648	3.014	Open	Active	Escherichia coli F18+	['2018-06-19']		0	structured	97.625	96.532	2.348	5.398	2.657	13601.86	6gtz
A0A0R4I961	155-279	3-147	2.105	100	100	1.788	4.298	Open	Active	Escherichia coli F18+	['2018-06-19']		0	structured	97.625	96.532	2.348	5.398	2.657	13556.73	6gu0
B5XAZ0	116-120	1-115	4.781	100	83.47826087	2.6	0.965	Closed	Autoinhibited	Salmo salar	['2021-01-04']		0	structured	98.148	92.557	0.8	3.13	5.386	7097.2	7bfk
B5XAZ0	116-120	1-115	2.591	100	79.13043478	2.76	0.807	Closed	Autoinhibited	Salmo salar	['2021-01-04']		0	structured	98.148	92.557	0.8	3.13	5.386	7023.31	7bfl
D2AJU0	57-228	251-545	3.539	100	81.69491525	2.829	7.86	Open	Autoinhibited	Shigella flexneri 2002017	['2020-01-06']		0	structured	93.159	84.861	3.301	11.722	7.815	25358.63	6lol
O00571	132-181	211-575	5.602	94	99.7260274	4.726	10.35	Closed	Active	Homo sapiens	['2014-03-22']		86	disordered	79.854	88.513	7.564	12.746	8.521	20984.31	4pxa
O00571	132-181	211-575	5.5	76	97.80821918	4.636	9.15	Closed	Active	Homo sapiens	['2015-10-12']		86	disordered	79.854	88.513	7.564	12.746	8.521	21037.07	5e7j
O00571	132-181	211-575	4.876	72	98.35616438	4.311	8.416	Closed	Active	Homo sapiens	['2015-10-12']		86	disordered	79.854	88.513	7.564	12.746	8.521	19972.62	5e7m
O00571	132-181	211-575	5.177	82	97.53424658	4.414	9.44	Closed	Active	Homo sapiens	['2018-04-08']		86	disordered	79.854	88.513	7.564	12.746	8.521	20210.92	6cz5
O00571	132-181	211-575	2.074	94	100	2.105	1.984	Closed	Active	Homo sapiens	['2021-01-27']		86	disordered	79.854	88.513	7.564	12.746	8.521	19961.66	7liu
O00571	132-181	211-575	23.194	76	94.52054795	21.158	13.693	Open	Active	Homo sapiens	['2019-03-02']		86	disordered	79.854	88.513	7.564	12.746	8.521	20687.68	6o5f
O08722	541-687	688-828,853-942	0.922	99.31972789	99.56709957	0.959	0.927	Closed	Autoinhibited	Rattus norvegicus	['2009-02-04']		0	structured	90.429	90.016	4.752	7.621	7.76	17793.51	3g5b
O08967	251-265,383-395	77-206	3.179	92.85714286	96.92307692	0.968	1.593	Closed	Autoinhibited	Mus musculus	['2007-08-17']		46.429	structured	66.748	93.981	9.404	13.497	2.317	18691.13	2r09
O08967	251-265,383-395	77-206	3.115	100	100	0.894	1.619	Closed	Autoinhibited	Mus musculus	['2007-08-18']		46.429	structured	66.748	93.981	9.404	13.497	2.317	18497.83	2r0d
O08967	251-265,383-395	77-206	24.061	100	100	0.925	51.878	Open	Active	Mus musculus	['2017-10-19']		46.429	structured	66.748	93.981	9.404	13.497	2.317	19400.27	6bbp
O08967	251-265,383-395	77-206	24.786	100	100	0.926	54.034	Open	Active	Mus musculus	['2017-10-19']		46.429	structured	66.748	93.981	9.404	13.497	2.317	19759.65	6bbq
O60741	401-479	480-604	1.182	100	100	0.917	1.29	Closed	Active	Homo sapiens	['2016-12-08']		0	structured	92.355	92.854	3.648	4.918	3.313	28911.46	5u6p
O60741	401-479	480-604	3.54	100	100	1.051	1.579	Closed	Active	Homo sapiens	['2019-10-19']		0	structured	92.355	92.854	3.648	4.918	3.313	31124.57	6uqf
O60741	401-479	480-604	1.784	100	100	1.078	1.534	Closed	Active	Homo sapiens	['2019-10-19']		0	structured	92.355	92.854	3.648	4.918	3.313	30861	6uqg
O60741	401-479	480-604	1.516	100	85.6	2.21	2.148	Open	Autoinhibited	Homo sapiens	['2016-12-08']	In the case of HCN-1, the channel is formed by tetramerization of the cytoplasmic C-linker. In its autoinhibited state, the pore is closed. However, I note the conformation here as being 'open' because I am referring only to the conformation taken by the cAMP binding domain (CBD).	0	structured	92.355	92.854	3.648	4.918	3.313	27906.06	5u6o
O76074	403-539	156-331	3.163	74.45255474	100	2.695	3.791	Closed	Autoinhibited	Homo sapiens	['2010-01-18']	In comparison to cGMP-bound mouse PDE2A (12271124)	0	structured	84.03	86.114	8.575	18.877	5.774	22117.23	3lfv
O76074	403-539	156-331	3.048	74.45255474	100	2.658	3.89	Closed	Autoinhibited	Homo sapiens	['2010-04-01']		0	structured	84.03	86.114	8.575	18.877	5.774	21456.03	3mf0
O95267	468-609	205-436	1.809	88.73239437	100	1.404	2.011	Closed	Autoinhibited	Homo sapiens	['2013-06-18']		0	structured	77.069	90.749	12.269	17.913	3.925	28019.23	4l9m
O95376	359-493	297-326	1.926	100	100	1.145	3.092	Closed	Autoinhibited	Homo sapiens	['2021-04-28']		11.852	structured	92.489	91.401	3.145	4.638	2.102	23071.05	7od1
P00519	67-113,127-217	242-493	1.72	100	99.6031746	2.091	1.211	Closed	Autoinhibited	Homo sapiens	['2003-03-06']		0	structured	94.332	92.174	4.683	7.658	4.113	22193.21	1opl
P00519	67-113,127-217	242-493	1.719	100	91.26984127	2.084	0.996	Closed	Autoinhibited	Homo sapiens	['2016-12-13']		0	structured	94.332	92.174	4.683	7.658	4.113	20960.83	5mo4
P00520	1-60,61-121,127-217,218-241,383-400	242-493	1.679	75.19685039	92.46031746	2.076	1.654	Closed	Autoinhibited	Mus musculus	['2003-03-06']		24.409	structured	79.218	93.414	13.528	12.064	4.096	22032.78	1opk
P00523	148-245,246-266	81-142,521-533	1.737	100	89.33333333	1.921	3.093	Closed	Autoinhibited	Gallus gallus	['1997-06-17']		0	structured	93.143	86.684	5.052	7.124	10.377	21882.19	2ptk
P00579	2-80	379-449,458-534	13.459	64.55696203	100	1.75	45.352	Open	Active	Enterobacteria phage T7	['2013-07-09']		100	disordered	67.74	92.731	9.726	26.668	5.262	35361.14	4llg
P00579	2-80	379-449,458-534	18.08	94.93670886	100	1.653	51.763	Open	Active	Escherichia coli K-12	['2020-10-21']		100	disordered	67.74	92.731	9.726	26.668	5.262	37923.75	7khi
P00579	2-80	379-449,458-534	13.988	79.74683544	100	1.689	46.737	Open	Active	Escherichia coli K-12	['2013-07-05']		100	disordered	67.74	92.731	9.726	26.668	5.262	36338	4lk1
P00579	2-80	379-449,458-534	13.987	79.74683544	100	1.687	46.736	Open	Active	Escherichia coli K-13	['2015-04-24']		100	disordered	67.74	92.731	9.726	26.668	5.262	36186.81	4zh2
P00579	2-80	379-449,458-534	13.986	79.74683544	100	1.687	46.745	Open	Active	Escherichia coli K-14	['2015-04-24']		100	disordered	67.74	92.731	9.726	26.668	5.262	36158.99	4zh3
P00579	2-80	379-449,458-534	13.986	79.74683544	100	1.687	46.772	Open	Active	Escherichia coli K-15	['2015-04-24']		100	disordered	67.74	92.731	9.726	26.668	5.262	36231.29	4zh4
P04637	364-393	102-292	30.431	100	100	3.065	70.729	Closed	Autoinhibited	"""Homo sapiens"""	['2022-11-08']		100	disordered	44.091	95.055	13.727	30.844	3.587	24057.75	8f2h
P04637	364-393	102-292	30.431	100	100	3.065	70.729	Closed	Autoinhibited	"""Homo sapiens"""	['2022-11-08']		100	disordered	44.091	95.055	13.727	30.844	3.587	24013.17	8f2i
P06241	149-246,247-270	82-143,525-537	2.848	77.86885246	78.66666667	1.289	8.766	Closed	Autoinhibited	Homo sapiens	['2000-11-16']		0	structured	89.839	85.659	7.778	10.129	10.573	10115.41	1g83
P07038	892-917	562-625	4.914	100	100	1.812	12.107	Closed	Autoinhibited	"""Neurospora crassa"""	['2021-03-18']	“Phosphorylation of Ser913/Thr914 would disturb the contact between the R domain of one monomer and the adjacent P domain.”(34757782)	100	disordered	59.413	78.857	5.553	24.499	5.15	40017.6	7nxf
P07038	892-917	562-625	4.914	100	100	1.812	12.107	Closed	Autoinhibited	"""Neurospora crassa"""	['2021-03-19']		100	disordered	59.413	78.857	5.553	24.499	5.15	40017.6	7ny1
P07038	892-917	562-625	14.225	100	100	8.246	22.815	Open	Active	"""Neurospora crassa"""	['2002-08-21']		100	disordered	59.413	78.857	5.553	24.499	5.15	50353.56	1mhs
P07949	900-909	724-899,910-1016	3.09	80	91.87279152	2.25	8.035	Open	Active	HOMO SAPIENS	['2014-01-06']	“Taken together, these structural and biochemical data indicate that the closed conformer of the GRL contribute to a cis autoinhibitory mechanism.” This refers to the position of predominantly Y735 as either “inward” or “outward”.  (24560924). This may require redefining regions 1 and 2.	0	structured	37.164	84.477	6.31	22.376	6.974	14126.25	4cki
P07949	900-909	724-899,910-1016	2.949	90	91.51943463	2.128	7.554	Open	Active	HOMO SAPIENS	['2014-01-06']		0	structured	37.164	84.477	6.31	22.376	6.974	13874.26	4ckj
P07949	900-909	724-899,910-1016	1.708	80	88.69257951	1.258	7.888	Open	Active	HOMO SAPIENS	['2015-10-30']		0	structured	37.164	84.477	6.31	22.376	6.974	13625.5	5fm2
P07949	900-909	724-899,910-1016	1.847	80	88.69257951	1.26	8.108	Open	Active	HOMO SAPIENS	['2015-10-30']		0	structured	37.164	84.477	6.31	22.376	6.974	13960	5fm3
P07949	900-909	724-899,910-1016	3.061	90	90.81272085	2.207	7.508	Open	Active	Homo sapiens	['2018-11-19']		0	structured	37.164	84.477	6.31	22.376	6.974	14725.95	6i83
P07949	900-909	724-899,910-1016	3.178	80	91.87279152	2.317	8.006	Open	Active	Homo sapiens	['2018-12-17']		0	structured	37.164	84.477	6.31	22.376	6.974	14583.99	6ne7
P07949	900-909	724-899,910-1016	2.801	100	93.99293286	2.278	7.987	Open	Active	Homo sapiens	['2018-12-17']		0	structured	37.164	84.477	6.31	22.376	6.974	13968.92	6nec
