Gene_name,Uniprot_ID,Protein_length,region_1,region_2,PDB
Nos1,P29476,1429,815-870,757-949,1B8Q 1CMI 1F20 1K2R 1K2S 1K2T 1K2U 1LZX 1LZZ 1M00 1MMV 1MMW 1OM4 1OM5 1P6H 1P6I 1P6J 1P6K 1QAU 1QAV 1QW6 1QWC 1RS6 1RS7 1TLL 1VAG 1ZVI 1ZVL 1ZZQ 1ZZR 1ZZU 2G6H 2G6I 2G6J 2G6K 2G6L 2G6M 2G6N 2HX3 2HX4 3B3M 3B3N 3B3O 3B3P 3DQR 3FC5 3HSN 3HSO 3HSP 3JT3 3JT4 3JT5 3JT6 3JT7 3JT8 3JT9 3JTA 3JWS 3JWT 3JWU 3JWV 3JX0 3JX1 3JX2 3JX3 3JX4 3JX5 3JX6 3N2R 3N5V 3N5W 3N5X 3N5Y 3N5Z 3N60 3N61 3N62 3N63 3N64 3N65 3N66 3N67 3N68 3N69 3N6A 3N6B 3N6C 3N6D 3N6E 3N6F 3N6G 3NLJ 3NLK 3NLM 3NLN 3NLO 3NLP 3NLQ 3NLR 3NLV 3NLW 3NLX 3NLY 3NLZ 3NM0 3NNY 3NNZ 3PNE 3PNF 3PNG 3Q99 3Q9A 3RQJ 3RQK 3RQL 3RQM 3RQN 3SVP 3SVQ 3TYL 3TYM 3TYN 3TYO 3UFO 3UFP 3UFQ 3UFR 3UFS 3UFT 3UFU 3UFV 3UFW 4C39 4CAM 4CAN 4CAO 4CAP 4CAQ 4CDT 4CTP 4CTQ 4CTR 4CTT 4CTU 4CTV 4CTW 4CTX 4CX3 4CX4 4CX5 4CX6 4D2Y 4D2Z 4D30 4D31 4D32 4D3B 4D7O 4EUX 4FVW 4FVX 4FVY 4FVZ 4FW0 4GQE 4HOP 4IMS 4IMT 4IMU 4IMW 4JSE 4JSF 4JSG 4JSH 4JSI 4JSJ 4K5D 4K5E 4K5F 4K5G 4KCH 4KCI 4KCJ 4KCK 4KCL 4KCM 4KCN 4KCO 4LUX 4UGZ 4UH0 4UH1 4UH2 4UH3 4UH4 4UPM 4UPN 4UPO 4UPP 4V3V 4V3W 4V3X 4V3Y 4V3Z 5AD4 5AD5 5AD6 5AD7 5AD8 5AD9 5ADA 5ADB 5ADC 5ADD 5ADE 5AGK 5AGL 5AGM 5AGN 5AGO 5AGP 5FVO 5FVP 5FVQ 5FVR 5FVS 5FVT 5FW0 5G0N 5G0O 5G0P 5UNR 5UNS 5UNT 5UNU 5UNV 5UNW 5UNX 5UNY 5UNZ 5UO0 5VUI 5VUJ 5VUK 5VUL 5VUM 5VUN 5VUO 5VUP 5VUQ 5VUR 5VUS 5VUT 5VUU 6AUQ 6AUR 6AUS 6AUT 6AUU 6AUV 6AUW 6AUX 6NGJ 6NGK 6NGL 6NGM 6NGN 6NGP 6NGQ 6NGR 6NGS 6NGT 6NGU 6NGV 6NGW 6NGX 6NGY 6NGZ 6NH0 6NHD 6NHE 6PMV 6PMW 6PMX 6PMY 6PMZ 6PN0 6PN1 6PN2 6PN3 6PN4 6PN5 6PN6 6PN7 6PN8 6PN9
PTPN1,P18031,435,353-387,2-277,1A5Y 1AAX 1BZC 1BZH 1BZJ 1C83 1C84 1C85 1C86 1C87 1C88 1ECV 1EEN 1EEO 1G1F 1G1G 1G1H 1G7F 1G7G 1GFY 1I57 1JF7 1KAK 1KAV 1L8G 1LQF 1NL9 1NNY 1NO6 1NWE 1NWL 1NZ7 1OEM 1OEO 1OES 1OET 1OEU 1OEV 1ONY 1ONZ 1PA1 1PH0 1PTT 1PTU 1PTV 1PTY 1PXH 1PYN 1Q1M 1Q6J 1Q6M 1Q6N 1Q6P 1Q6S 1Q6T 1QXK 1SUG 1T48 1T49 1T4J 1WAX 1XBO 2AZR 2B07 2B4S 2BGD 2BGE 2CM2 2CM3 2CM7 2CM8 2CMA 2CMB 2CMC 2CNE 2CNF 2CNG 2CNH 2CNI 2F6F 2F6T 2F6V 2F6W 2F6Y 2F6Z 2F70 2F71 2FJM 2FJN 2H4G 2H4K 2HB1 2HNP 2HNQ 2NT7 2NTA 2QBP 2QBQ 2QBR 2QBS 2VEU 2VEV 2VEW 2VEX 2VEY 2ZMM 2ZN7 3A5J 3A5K 3CWE 3D9C 3EAX 3EB1 3EU0 3I7Z 3I80 3QKP 3QKQ 3SME 3ZMP 3ZMQ 3ZV2 4BJO 4I8N 4QAH 4QAP 4QBE 4QBW 4Y14 4ZRT 5K9V 5K9W 5KA0 5KA1 5KA2 5KA3 5KA4 5KA7 5KA8 5KA9 5KAA 5KAB 5KAC 5KAD 5QDE 5QDF 5QDG 5QDH 5QDI 5QDJ 5QDK 5QDL 5QDM 5QDN 5QDO 5QDP 5QDQ 5QDR 5QDS 5QDT 5QDU 5QDV 5QDW 5QDX 5QDY 5QDZ 5QE0 5QE1 5QE2 5QE3 5QE4 5QE5 5QE6 5QE7 5QE8 5QE9 5QEA 5QEB 5QEC 5QED 5QEE 5QEF 5QEG 5QEH 5QEI 5QEJ 5QEK 5QEL 5QEM 5QEN 5QEO 5QEP 5QEQ 5QER 5QES 5QET 5QEU 5QEV 5QEW 5QEX 5QEY 5QEZ 5QF0 5QF1 5QF2 5QF3 5QF4 5QF5 5QF6 5QF7 5QF8 5QF9 5QFA 5QFB 5QFC 5QFD 5QFE 5QFF 5QFG 5QFH 5QFI 5QFJ 5QFK 5QFL 5QFM 5QFN 5QFO 5QFP 5QFQ 5QFR 5QFS 5QFT 5QFU 5QFV 5QFW 5QFX 5QFY 5QFZ 5QG0 5QG1 5QG2 5QG3 5QG4 5QG5 5QG6 5QG7 5QG8 5QG9 5QGA 5QGB 5QGC 5QGD 5QGE 5QGF 5T19 6B8E 6B8T 6B8X 6B8Z 6B90 6B95 6BAI 6CWU 6CWV 6NTP 6OL4 6OLQ 6OLV 6OMY 6PFW 6PG0 6PGT 6PHA 6PHS 6PM8 6W30 6XE8 6XEA 6XED 6XEE 6XEF 6XEG 7KEN 7KEY 7KLX 7L0C 7L0H 7LFO 7MM1 7RIN
EGFR,P00533,1210,"166-309,482-618",712-979,1IVO 1M14 1M17 1MOX 1NQL 1XKK 1YY9 1Z9I 2EB2 2EB3 2GS2 2GS6 2GS7 2ITN 2ITO 2ITP 2ITQ 2ITT 2ITU 2ITV 2ITW 2ITX 2ITY 2ITZ 2J5E 2J5F 2J6M 2JIT 2JIU 2JIV 2KS1 2M0B 2M20 2N5S 2RF9 2RFD 2RFE 2RGP 3B2U 3B2V 3BEL 3BUO 3C09 3G5V 3G5Y 3GOP 3GT8 3IKA 3LZB 3NJP 3OB2 3OP0 3P0Y 3PFV 3POZ 3QWQ 3UG1 3UG2 3VJN 3VJO 3VRP 3VRR 3W2O 3W2P 3W2Q 3W2R 3W2S 3W32 3W33 4G5J 4G5P 4HJO 4I1Z 4I20 4I21 4I22 4I23 4I24 4JQ7 4JQ8 4JR3 4JRV 4KRL 4KRM 4KRO 4KRP 4LI5 4LL0 4LQM 4LRM 4R3P 4R3R 4R5S 4RIW 4RIX 4RIY 4RJ4 4RJ5 4RJ6 4RJ7 4RJ8 4TKS 4UIP 4UV7 4WD5 4WKQ 4WRG 4ZAU 4ZJV 4ZSE 5C8K 5C8M 5C8N 5CAL 5CAN 5CAO 5CAP 5CAQ 5CAS 5CAU 5CAV 5CNN 5CNO 5CZH 5CZI 5D41 5EDP 5EDQ 5EDR 5EM5 5EM6 5EM7 5EM8 5FED 5FEE 5FEQ 5GMP 5GNK 5GTY 5GTZ 5HCX 5HCY 5HCZ 5HG5 5HG7 5HG8 5HG9 5HIB 5HIC 5J9Y 5J9Z 5JEB 5LV6 5SX4 5SX5 5U8L 5UG8 5UG9 5UGA 5UGB 5UGC 5UWD 5WB7 5WB8 5X26 5X27 5X28 5X2A 5X2C 5X2F 5X2K 5XDK 5XDL 5XGM 5XGN 5XWD 5Y25 5Y9T 5YU9 5ZTO 5ZWJ 6ARU 6B3S 6D8E 6DUK 6JRJ 6JRK 6JRX 6JWL 6JX0 6JX4 6JXT 6JZ0 6LUB 6LUD 6P1D 6P1L 6P8Q 6S89 6S8A 6S9B 6S9C 6S9D 6TFU 6TFV 6TFW 6TFY 6TFZ 6TG0 6TG1 6V5N 6V5P 6V66 6V6K 6V6O 6VH4 6VHN 6VHP 6WA2 6WAK 6WXN 6XL4 6Z4B 6Z4D 7A2A 7AEI 7AEM 7JXI 7JXK 7JXL 7JXM 7JXP 7JXQ 7JXW 7K1H 7K1I 7KXZ 7KY0 7LEN 7LFR 7LFS 7LGS 7OXB 7SYD 7SYE 7SZ0 7SZ1 7SZ5 7SZ7
TP53,P04637,393,364-393,102-292,1A1U 1AIE 1C26 1DT7 1GZH 1H26 1HS5 1JSP 1KZY 1MA3 1OLG 1OLH 1PES 1PET 1SAE 1SAF 1SAK 1SAL 1TSR 1TUP 1UOL 1XQH 1YC5 1YCQ 1YCR 1YCS 2AC0 2ADY 2AHI 2ATA 2B3G 2BIM 2BIN 2BIO 2BIP 2BIQ 2F1X 2FEJ 2FOJ 2FOO 2GS0 2H1L 2H2D 2H2F 2H4F 2H4H 2H4J 2H59 2J0Z 2J10 2J11 2J1W 2J1X 2J1Y 2J1Z 2J20 2J21 2K8F 2L14 2LY4 2MEJ 2MWO 2MWP 2MWY 2MZD 2OCJ 2PCX 2RUK 2VUK 2WGX 2X0U 2X0V 2X0W 2XWR 2YBG 2YDR 2Z5S 2Z5T 3D05 3D06 3D07 3D08 3D09 3D0A 3DAB 3DAC 3IGK 3IGL 3KMD 3KZ8 3LW1 3OQ5 3PDH 3Q01 3Q05 3Q06 3SAK 3TG5 3TS8 3ZME 4AGL 4AGM 4AGN 4AGO 4AGP 4AGQ 4BUZ 4BV2 4HFZ 4HJE 4IBQ 4IBS 4IBT 4IBU 4IBV 4IBW 4IBY 4IBZ 4IJT 4KVP 4LO9 4LOE 4LOF 4MZI 4MZR 4QO1 4RP6 4RP7 4X34 4XR8 4ZZJ 5A7B 5AB9 5ABA 5AOI 5AOJ 5AOK 5AOL 5AOM 5BUA 5ECG 5G4M 5G4N 5G4O 5HOU 5HP0 5HPD 5LAP 5LGY 5MCT 5MCU 5MCV 5MCW 5MF7 5MG7 5MHC 5MOC 5O1A 5O1B 5O1C 5O1D 5O1E 5O1F 5O1G 5O1H 5O1I 5OL0 5UN8 5XZC 6FF9 6FJ5 6GGA 6GGB 6GGC 6GGD 6GGE 6GGF 6LHD 6R5L 6RJZ 6RK8 6RKI 6RKK 6RKM 6RL3 6RL4 6RL6 6RM5 6RM7 6RWH 6RWI 6RWS 6RWU 6RX2 6RZ3 6S39 6S3C 6S40 6S9Q 6SHZ 6SI0 6SI1 6SI2 6SI3 6SI4 6SIN 6SIO 6SIP 6SIQ 6SL6 6SLV 6T58 6V4F 6V4H 6VQO 6VR1 6VR5 6VRM 6VRN 6W51 6XRE 6ZNC 7B46 7B47 7B48 7B49 7B4A 7B4B 7B4C 7B4D 7B4E 7B4F 7B4G 7B4H 7B4N 7BWN 7DHY 7DHZ 7DVD 7EL4
CHEK1,O14757,476,391-476,9-265,1IA8 1NVQ 1NVR 1NVS 1ZLT 1ZYS 2AYP 2BR1 2BRB 2BRG 2BRH 2BRM 2BRN 2BRO 2C3J 2C3K 2C3L 2CGU 2CGV 2CGW 2CGX 2E9N 2E9O 2E9P 2E9U 2E9V 2GDO 2GHG 2HOG 2HXL 2HXQ 2HY0 2QHM 2QHN 2R0U 2WMQ 2WMR 2WMS 2WMT 2WMU 2WMV 2WMW 2WMX 2X8D 2X8E 2X8I 2XEY 2XEZ 2XF0 2YDI 2YDJ 2YDK 2YER 2YEX 2YM3 2YM4 2YM5 2YM6 2YM7 2YM8 2YWP 3F9N 3JVR 3JVS 3NLB 3OT3 3OT8 3PA3 3PA4 3PA5 3TKH 3TKI 3U9N 4FSM 4FSN 4FSQ 4FSR 4FST 4FSU 4FSW 4FSY 4FSZ 4FT0 4FT3 4FT5 4FT7 4FT9 4FTA 4FTC 4FTI 4FTJ 4FTK 4FTL 4FTM 4FTN 4FTO 4FTQ 4FTR 4FTT 4FTU 4GH2 4HYH 4HYI 4JIK 4QYE 4QYF 4QYG 4QYH 4RVK 4RVL 4RVM 5DLS 5F4N 5OOP 5OOR 5OOT 5OP2 5OP4 5OP5 5OP7 5OPB 5OPR 5OPS 5OPU 5OPV 5OQ5 5OQ6 5OQ7 5OQ8 5WI2 6FC8 6FCF 6FCK 7AKM 7AKO 7BJD 7BJE 7BJH 7BJJ 7BJM 7BJO 7BJR 7BJX 7BK1 7BK2 7BK3 7BKN 7BKO 7MCK 7SUF 7SUG 7SUH 7SUI 7SUJ
SRC,P00523,533,"148-245,246-266","81-142,521-533",1F1W 1F2F 1NLO 1NLP 1P13 1PRL 1PRM 1RLP 1RLQ 1SRL 1SRM 2HWO 2HWP 2OIQ 2PTK 2QI8 2QLQ 2QQ7 3D7T 3D7U 3DQW 3DQX 3EL7 3EL8 3EN4 3EN5 3EN6 3EN7 3F3T 3F3U 3F3V 3F3W 3F6X 3FJ5 3G5D 3G6G 3G6H 3GEQ 3LOK 3OEZ 3OF0 3QLF 3QLG 3SVV 3TZ7 3TZ8 3TZ9 3U4W 3U51 3UQF 3UQG 4AGW 4DGG 4FIC 4HVU 4HVV 4HVW 4JZ3 4JZ4 4LE9 4LGG 4LGH 4MCV 4O2P 4OML 4OMM 4OMN 4OMO 4OMP 4OMQ 4QT7 4RTU 4RTV 4RTW 4RTX 4RTY 4RTZ 4U5J 4YBJ 4YBK 5BMM 5D10 5D11 5D12 5EC7 5ECA 5I11 5J5S 5K9I 5OAV 5OB0 5OB1 5OB2 5SWH 5SYS 5T0P 5TEH 5XP5 5XP7 6HVE 6HVF 6L8L 6WIW 6XVM 6XVN 6XVO 6XX2 6XX3 6XX4 6XX5 7A30 7A31 7A32 7A33 7A34 7A35 7A36 7A37 7A38 7A39 7A3A 7A3B 7A3C 7A3D 7A3E 7AH3 7D57 7D5O 7NER 7NES 7NET
NOS3,P29473,1205,593-637,522-795,1D0C 1D0O 1D1V 1D1W 1D1X 1D1Y 1DM6 1DM7 1DM8 1DMI 1DMJ 1DMK 1ED4 1ED5 1ED6 1FOI 1FOJ 1FOL 1FOO 1FOP 1I83 1NSE 1P6L 1P6M 1P6N 1Q2O 1RS8 1RS9 1ZZS 1ZZT 2G6O 2HX2 2NSE 3DQS 3DQT 3E7S 3JWW 3JWX 3JWY 3JWZ 3N5P 3N5Q 3N5R 3N5S 3N5T 3NLD 3NLE 3NLF 3NLG 3NLH 3NLI 3NLT 3NLU 3NSE 3PNH 3RQO 3RQP 4C3A 4CAR 4CFT 4CTY 4CTZ 4CU0 4CU1 4CUL 4CUM 4CUN 4CVG 4CWV 4CWW 4CWX 4CWY 4CWZ 4CX0 4CX1 4CX2 4D33 4D34 4D35 4D36 4D37 4D38 4D39 4D3A 4IMX 4JSK 4JSL 4JSM 4K5H 4K5I 4K5J 4K5K 4KCP 4KCQ 4KCR 4KCS 4LUW 4NSE 4UH7 4UH8 4UH9 4UHA 4UPQ 4UPR 4UPS 4UPT 5ADJ 5ADK 5ADL 5ADM 5ADN 5FJ2 5FJ3 5FVY 5FVZ 5NSE 5UOD 5VV6 5VV7 5VV8 5VV9 5VVA 5VVG 5VVN 6NSE 7NSE 8NSE 9NSE
JAK2,O60674,1132,758-807,849-1124,2B7A 2W1I 2XA4 3E62 3E63 3E64 3FUP 3IO7 3IOK 3JY9 3KCK 3KRR 3LPB 3Q32 3RVG 3TJC 3TJD 3UGC 3ZMM 4AQC 4BBE 4BBF 4C61 4C62 4D0W 4D0X 4D1S 4E4M 4E6D 4E6Q 4F08 4F09 4FVP 4FVQ 4FVR 4GFM 4GMY 4HGE 4IVA 4JI9 4JIA 4P7E 4YTC 4YTF 4YTH 4YTI 4Z32 4ZIM 5AEP 5CF4 5CF5 5CF6 5CF8 5HEZ 5I4N 5L3A 5TQ3 5TQ4 5TQ5 5TQ6 5TQ7 5TQ8 5USY 5USZ 5UT0 5UT1 5UT2 5UT3 5UT4 5UT5 5UT6 5WEV 5WIJ 5WIK 5WIL 5WIM 5WIN 6AAJ 6BBV 6BRW 6BS0 6BSS 6D2I 6DRW 6E2P 6E2Q 6G3C 6M9H 6OAV 6OBB 6OBF 6OBL 6OCC 6TPD 6VGL 6VN8 6VNB 6VNC 6VNE 6VNF 6VNG 6VNH 6VNI 6VNJ 6VNK 6VNL 6VNM 6VS3 6VSN 6WTN 6WTO 6WTP 6WTQ 6X8E 6XJK 7JYO 7JYQ 7LL4 7LL5 7REE 7RN6
MAPK1,P28482,360,173-196,"25-172,197-313",1PME 1TVO 1WZY 2OJG 2OJI 2OJJ 2Y9Q 3D42 3D44 3I5Z 3I60 3SA0 3TEI 3W55 4FMQ 4FUX 4FUY 4FV0 4FV1 4FV2 4FV3 4FV4 4FV5 4FV6 4FV7 4FV8 4FV9 4G6N 4G6O 4H3P 4H3Q 4IZ5 4IZ7 4IZA 4N0S 4NIF 4O6E 4QP1 4QP2 4QP3 4QP4 4QP6 4QP7 4QP8 4QP9 4QPA 4QTA 4QTE 4XJ0 4ZXT 4ZZM 4ZZN 4ZZO 5AX3 5BUE 5BUI 5BUJ 5BVD 5BVE 5BVF 5K4I 5LCJ 5LCK 5NGU 5NHF 5NHH 5NHJ 5NHL 5NHO 5NHP 5NHV 5V60 5V61 5V62 5WP1 6D5Y 6DMG 6G54 6G8X 6G91 6G92 6G93 6G97 6G9A 6G9D 6G9H 6G9J 6G9K 6G9M 6G9N 6GDM 6GDQ 6GE0 6GJB 6GJD 6NBS 6OPG 6OPH 6OPI 6Q7K 6Q7S 6Q7T 6QA1 6QA3 6QA4 6QAG 6QAH 6QAL 6QAQ 6QAW 6RQ4 6SLG 7AUV 7NQQ 7NQW 7NR3 7NR5 7NR8 7NR9
BTK,Q06187,659,3-133,402-655,1AWW 1AWX 1B55 1BTK 1BWN 1K2P 1QLY 2GE9 2Z0P 3GEN 3K54 3OCS 3OCT 3P08 3PIX 3PIY 3PIZ 3PJ1 3PJ2 3PJ3 4NWM 4OT5 4OT6 4OTF 4OTQ 4OTR 4RFY 4RFZ 4RG0 4RX5 4YHF 4Z3V 4ZLY 4ZLZ 5BPY 5BQ0 5FBN 5FBO 5J87 5JRS 5KUP 5P9F 5P9G 5P9H 5P9I 5P9J 5P9K 5P9L 5P9M 5T18 5U9D 5VFI 5VGO 5XYZ 5ZZ4 6AUA 6AUB 6BIK 6BKE 6BKH 6BKW 6BLN 6DI0 6DI1 6DI3 6DI5 6DI9 6E4F 6EP9 6HRP 6HRT 6HTF 6J6M 6N9P 6NFH 6NFI 6NZM 6O8I 6OMU 6S90 6TFP 6TSE 6TT2 6TUH 6TVN 6VXQ 6W06 6W07 6W7O 6W8I 6X3N 6X3O 6X3P 6XE4 6YYF 6YYG 6YYK 7KXL 7KXM 7KXN 7KXO 7KXP 7KXQ 7LTY 7LTZ 7N5O 7N5R 7N5X 7N5Y 7R60 7R61
