uniprot,state,conformation,cluster,filename,uniref,taxonId,lineage_score
O08967,Autoinhibited,Closed,U10-005,O08967_U10-005.a3m,UniRef100_A0A812VSQ5,2952,2
O08967,Autoinhibited,Closed,U10-005,O08967_U10-005.a3m,UniRef100_A0A2G8JTM8,307972,7
O08967,Autoinhibited,Closed,U10-005,O08967_U10-005.a3m,UniRef100_UPI001469F9E4,52239,13
O08967,Autoinhibited,Closed,U10-005,O08967_U10-005.a3m,UniRef100_A0A8C7Z9G0,183150,13
O08967,Autoinhibited,Closed,U10-005,O08967_U10-005.a3m,UniRef100_UPI001E1BC1D8,35525,6
O08967,Autoinhibited,Closed,U10-005,O08967_U10-005.a3m,UniRef100_A0A814HDE6,1234261,6
O08967,Autoinhibited,Closed,U10-005,O08967_U10-005.a3m,UniRef100_A0A7S2NR26,156173,2
O08967,Autoinhibited,Closed,031,O08967_031.a3m,UniRef100_A0A024UJ15,157072,2
O08967,Autoinhibited,Closed,031,O08967_031.a3m,UniRef100_W4FH40,112090,2
O08967,Autoinhibited,Closed,U10-001,O08967_U10-001.a3m,UniRef100_A0A553MZ66,623744,13
O08967,Autoinhibited,Closed,U10-001,O08967_U10-001.a3m,UniRef100_UPI000C790C5F,1294199,6
O08967,Autoinhibited,Closed,U10-001,O08967_U10-001.a3m,UniRef100_UPI000623AF91,83485,6
O08967,Autoinhibited,Closed,U10-001,O08967_U10-001.a3m,UniRef100_UPI000C76D0A1,1294199,6
O08967,Autoinhibited,Closed,U10-001,O08967_U10-001.a3m,UniRef100_A0A8D3E633,52904,13
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_A0A8J2JGN7,39272,6
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_A0A7S0ZU18,2966,2
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_A0A6J2Y6I8,7048,6
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_A0A3B5LPN3,32473,13
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_F1RBL6,7955,13
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_A0A1J1HSH3,568069,6
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_A0A653CI30,64391,6
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_A0A6I9XB25,35019,17
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_A0A7L1M488,9126,17
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_A0A8C7HQB4,8019,13
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_UPI001CBA15AD,7243,6
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_A0A452G062,9925,21
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_A0A8K9UPC9,8016,13
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_A0A6I9Z0C3,35019,17
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_H3AN42,7897,14
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_UPI002166B016,2921223,6
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_UPI001471030E,390379,13
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_UPI000F0787A0,7234,6
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_A0A8S1N8F1,65129,2
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_A0A8C6Z256,30464,17
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_UPI000644ADAD,1410327,2
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_UPI000333905C,9371,20
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_T1ELT5,6412,6
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_A0A3Q3AG83,37003,13
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_A0A2P2I0Q2,1518452,6
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_A0A6J2Q796,56716,13
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_A0A8J6A9S9,202257,21
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_A0A7K5YPJ0,2585816,17
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_UPI001C91E9BD,1232801,6
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_A0A821NVK8,392032,6
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_UPI001E27EC1B,72248,6
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_A0A4W6G2H4,8187,13
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_A0A3B3DA06,30732,13
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_A0A3B3SSW0,1676925,13
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_A0A671LJ69,1608454,13
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_A0A6P8WBY1,7291,6
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_UPI0022B20981,558553,6
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_UPI001FABF01A,208333,13
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_A0A670K229,64176,17
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_G5BS49,10181,24
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_A0A6J8DBG4,42192,6
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_A0A3S1BVI3,188477,6
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_UPI00106B347F,151771,5
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_UPI000C77B90E,1294199,6
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_A0A8C8FEX5,74940,13
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_A0A452SFG1,9643,21
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_UPI0009E3BCAC,48498,5
O08967,Autoinhibited,Closed,U100-004,O08967_U100-004.a3m,UniRef100_A0A674MMR9,31033,13
