Gene_name	Uniprot_ID	Protein_length	region_1	region_2	region_1_len	region_2_len	PDB ID	PDB Length	Resolution	Model	Chain	PDB residues in region_1	PDB residues in region_2	Percent residues in region_1	Percent residues in region_2
Nos1	P29476	1429.0	815-870	757-949	56	193	1zvi	570	2.0	0	A	0	0	0.0	0.0
Nos1	P29476	1429.0	815-870	757-949	56	193	1b8q	127		0	A	0	0	0.0	0.0
Nos1	P29476	1429.0	815-870	757-949	56	193	1b8q	7		0	B	0	0	0.0	0.0
Nos1	P29476	1429.0	815-870	757-949	56	193	1b8q	127		1	A	0	0	0.0	0.0
Nos1	P29476	1429.0	815-870	757-949	56	193	1b8q	7		1	B	0	0	0.0	0.0
Nos1	P29476	1429.0	815-870	757-949	56	193	1b8q	127		2	A	0	0	0.0	0.0
Nos1	P29476	1429.0	815-870	757-949	56	193	1b8q	7		2	B	0	0	0.0	0.0
Nos1	P29476	1429.0	815-870	757-949	56	193	1b8q	127		3	A	0	0	0.0	0.0
Nos1	P29476	1429.0	815-870	757-949	56	193	1b8q	7		3	B	0	0	0.0	0.0
Nos1	P29476	1429.0	815-870	757-949	56	193	1b8q	127		4	A	0	0	0.0	0.0
Nos1	P29476	1429.0	815-870	757-949	56	193	1b8q	7		4	B	0	0	0.0	0.0
Nos1	P29476	1429.0	815-870	757-949	56	193	1b8q	127		5	A	0	0	0.0	0.0
Nos1	P29476	1429.0	815-870	757-949	56	193	1b8q	7		5	B	0	0	0.0	0.0
Nos1	P29476	1429.0	815-870	757-949	56	193	1b8q	127		6	A	0	0	0.0	0.0
Nos1	P29476	1429.0	815-870	757-949	56	193	1b8q	7		6	B	0	0	0.0	0.0
Nos1	P29476	1429.0	815-870	757-949	56	193	1b8q	127		7	A	0	0	0.0	0.0
Nos1	P29476	1429.0	815-870	757-949	56	193	1b8q	7		7	B	0	0	0.0	0.0
Nos1	P29476	1429.0	815-870	757-949	56	193	1b8q	127		8	A	0	0	0.0	0.0
Nos1	P29476	1429.0	815-870	757-949	56	193	1b8q	7		8	B	0	0	0.0	0.0
Nos1	P29476	1429.0	815-870	757-949	56	193	1b8q	127		9	A	0	0	0.0	0.0
Nos1	P29476	1429.0	815-870	757-949	56	193	1b8q	7		9	B	0	0	0.0	0.0
Nos1	P29476	1429.0	815-870	757-949	56	193	1b8q	127		10	A	0	0	0.0	0.0
Nos1	P29476	1429.0	815-870	757-949	56	193	1b8q	7		10	B	0	0	0.0	0.0
Nos1	P29476	1429.0	815-870	757-949	56	193	1b8q	127		11	A	0	0	0.0	0.0
Nos1	P29476	1429.0	815-870	757-949	56	193	1b8q	7		11	B	0	0	0.0	0.0
Nos1	P29476	1429.0	815-870	757-949	56	193	1b8q	127		12	A	0	0	0.0	0.0
Nos1	P29476	1429.0	815-870	757-949	56	193	1b8q	7		12	B	0	0	0.0	0.0
Nos1	P29476	1429.0	815-870	757-949	56	193	1b8q	127		13	A	0	0	0.0	0.0
Nos1	P29476	1429.0	815-870	757-949	56	193	1b8q	7		13	B	0	0	0.0	0.0
Nos1	P29476	1429.0	815-870	757-949	56	193	1b8q	127		14	A	0	0	0.0	0.0
Nos1	P29476	1429.0	815-870	757-949	56	193	1b8q	7		14	B	0	0	0.0	0.0
Nos1	P29476	1429.0	815-870	757-949	56	193	1qwc	630	2.3	0	A	0	0	0.0	0.0
Nos1	P29476	1429.0	815-870	757-949	56	193	1f20	924	1.9	0	A	0	0	0.0	0.0
Nos1	P29476	1429.0	815-870	757-949	56	193	7tse	449	1.85	0	A	0	0	0.0	0.0
Nos1	P29476	1429.0	815-870	757-949	56	193	7uan	481	1.6969	0	A	0	0	0.0	0.0
Nos1	P29476	1429.0	815-870	757-949	56	193	1qau	185	1.25	0	A	0	0	0.0	0.0
Nos1	P29476	1429.0	815-870	757-949	56	193	1qav	152	1.9	0	A	0	0	0.0	0.0
Nos1	P29476	1429.0	815-870	757-949	56	193	1qav	201	1.9	0	B	0	0	0.0	0.0
Nos1	P29476	1429.0	815-870	757-949	56	193	7tsc	640	1.7959	0	A	0	0	0.0	0.0
Nos1	P29476	1429.0	815-870	757-949	56	193	1qw6	704	2.1	0	A	0	0	0.0	0.0
Nos1	P29476	1429.0	815-870	757-949	56	193	7tsd	468	1.769	0	A	0	0	0.0	0.0
Nos1	P29476	1429.0	815-870	757-949	56	193	1vag	655	2.0	0	A	0	0	0.0	0.0
Nos1	P29476	1429.0	815-870	757-949	56	193	7tsb	574	1.8177	0	A	0	0	0.0	0.0
Nos1	P29476	1429.0	815-870	757-949	56	193	7tsa	445	2.03	0	A	0	0	0.0	0.0
Nos1	P29476	1429.0	815-870	757-949	56	193	7ts9	552	1.8526	0	A	0	0	0.0	0.0
PTPN1	P18031	435.0	353-387	2-277	35	276	2qbp	415	2.5	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5ka1	498	1.84	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	6pfw	429	2.34	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qg0	529	1.753	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	1nwe	297	3.1	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	5qeb	546	1.733	0	A	0	276	0.0	100.0
PTPN1	P18031	435.0	353-387	2-277	35	276	2veu	398	2.4	0	A	0	275	0.0	99.63768115942028
PTPN1	P18031	435.0	353-387	2-277	35	276	1bzc	455	2.35	0	A	0	276	0.0	100.0
