uniprot,region
P0DTD1,"12-127,148-179,183-456,458-688,690-818,821-929,1025-1194,1231-1359,1367-1494,1496-1561,1565-1620,1634-1898,1911-2021,2046-2155,2247-2317,2395-2763,3165-3263,3264-3569,3860-3942,3943-4140,4141-4253,4254-4392,4399-4653,4658-4756,4757-5324,5004-5166,5325-5408,5581-5762,5763-5932,5997-6212,6221-6452,6453-6513,6514-6639,6656-6795,6800-7094"
P00734,"44-89,108-186,213-291,364-618"
P03366,"520-589,643-833,1033-1156,1213-1363"
P03372,311-547
P04585,"508-577,631-821,1021-1144,1201-1351"
P12497,"508-577,631-821,1021-1144,1201-1351"
P00742,"41-85,86-122,125-165,235-467"
P00533,712-979
Q9UIF8,"739-810,1087-1152,2077-2147"
P08709,"61-105,106-142,147-188,213-452"
P05067,"28-189,291-341,374-565"
Q32ZE1,"1499-1676,1679-1835,1830-2009,2517-2781,3045-3195"
P00749,"27-63,70-151,179-424"
P03069,225-281
Q00987,26-109
P0C6X7,"12-127,148-179,183-456,458-688,690-818,822-930,1003-1169,1207-1335,1343-1470,1472-1538,1542-1597,1611-1875,1888-1998,2023-2132,2224-2294,2372-2740,3142-3240,3241-3546,3837-3919,3920-4117,4118-4230,4231-4369,4376-4630,4635-4733,4734-5301,4981-5143,5302-5385,5558-5739,5740-5909,5974-6189,6198-6429,6430-6490,6491-6616,6633-6772,6777-7071"
P00974,40-90
Q92793,"587-666,1103-1175,1323-1700"
P08581,"27-515,563-655,657-739,742-836,1078-1345"
P41182,32-99
P01024,"693-728,1518-1661"
P19793,227-458
P05106,"30-76,135-377,436-498,499-548,549-585,586-629"
Q8NBP7,"77-149,155-461"
P06213,"624-726,757-842,853-947,1023-1298"
P00740,"47-92,93-129,130-171,227-459"
Q03164,"1703-1748,2018-2074,3666-3747,3829-3945,3953-3969"
P00735,"44-90,109-187,214-292,367-621"
P02751,"50-90,95-138,139-182,184-228,229-273,306-345,355-403,415-463,468-511,516-558,559-602,610-702,722-812,813-904,909-998,999-1088,1089-1175,1176-1270,1271-1359,1360-1452,1453-1540,1541-1634,1635-1726,1727-1814,1815-1908,1909-1995,1996-2086,2194-2288,2295-2339,2340-2382,2384-2427"
P0C6U8,"12-127,148-179,183-456,458-688,690-818,822-930,1003-1169,1207-1335,1343-1470,1472-1538,1542-1597,1611-1875,1888-1998,2023-2132,2224-2294,2372-2740,3142-3240,3241-3546,3837-3919,3920-4117,4118-4230,4231-4369"
Q9UIF9,"546-617,848-913,1810-1880"
Q9UGL1,"32-73,97-187,453-619"
Q09472,"566-645,1067-1139,1287-1663"
Q03181,211-439
P04150,524-758
P11473,127-423
Q05769,18-55
P62694,477-513
P00747,"20-98,103-181,184-262,275-352,377-454,481-560,581-808"
P08603,"19-82,83-143,144-207,208-264,265-322,324-386,387-444,446-507,515-566,567-625,628-686,689-746,751-805,809-866,868-928,929-986,987-1045,1046-1104,1107-1165,1170-1230"
P29375,"19-60,84-174,437-603"
P00268,1-54
P04626,720-987
P08069,"491-609,610-708,735-828,834-927,999-1274"
P01031,"698-732,1532-1676"
P84131,"2-115,240-274"
P04049,"56-131,349-609"
P68390,"1-63,64-128,131-185"
O15151,25-108
P35963,"508-577,631-821,1021-1144,1201-1351"
P14210,"37-123,128-206,211-288,305-383,391-469,495-721"
Q96T88,"1-78,419-582"
P29083,14-104
Q13888,60-236
P05979,32-70
P01130,"25-65,66-106,107-145,146-186,195-233,234-272,274-313,314-353,354-393,663-712"
P22681,"47-351,856-895"
P38398,"1642-1736,1756-1855"
P10828,217-461
P08174,"35-96,96-160,161-222,223-285"
P24297,2-52
P08519,"27-105,141-219,255-333,369-447,483-561,597-675,711-789,825-903,939-1017,1053-1131,1167-1245,1273-1351,1387-1465,1501-1579,1615-1693,1719-1799,1820-2038"
P46531,"20-58,59-99,102-139,140-176,178-216,218-255,257-293,295-333,335-371,372-410,412-450,452-488,490-526,528-564,566-601,603-639,641-676,678-714,716-751,753-789,791-827,829-867,869-905,907-943,945-981,983-1019,1021-1057,1059-1095,1097-1143,1145-1181,1183-1219,1221-1265,1267-1305,1307-1346,1348-1384,1387-1426"
Q96EP0,"71-142,564-615"
P45481,"586-665,1104-1176,1324-1701"
Q13490,453-543
P51948,142-161
P0A6H1,2-56
P14780,"225-273,283-331,342-390"
O00482,300-539
P05107,"24-74,124-363,449-496,497-540,541-581,582-617"
P00959,575-677
P00751,"35-100,101-160,163-220,270-469,477-757"
Q07954,"25-66,70-110,111-149,150-189,474-520,803-843,852-892,893-933,934-973,974-1013,1013-1053,1060-1099,1102-1142,1143-1182,1183-1222,1223-1262,1536-1579,1846-1887,2155-2195,2478-2518,2522-2563,2564-2602,2603-2641,2642-2690,2694-2732,2732-2771,2772-2814,2816-2855,2856-2899,2902-2940,2941-2981,2982-3022,3290-3331,3332-3371,3372-3410,3411-3450,3451-3491,3492-3533,3534-3572,3573-3611,3611-3649,3652-3692,3693-3733,3739-3778,3781-3823,3824-3861,4147-4183,4196-4232,4232-4268,4268-4304,4304-4340,4340-4375,4373-4409"
Q14587,81-152
P06536,542-776
P26358,"16-109,755-880,972-1100,1139-1599"
P21860,709-966
Q12046,135-228
Q13105,1-104
P35555,"81-112,115-146,147-178,184-236,246-287,288-329,334-389,449-489,490-529,530-571,572-612,613-653,659-711,723-764,765-806,807-846,851-902,910-951,956-1008,1028-1069,1070-1112,1113-1154,1155-1196,1197-1237,1238-1279,1280-1321,1322-1362,1363-1403,1404-1445,1446-1486,1487-1527,1532-1589,1606-1647,1648-1688,1693-1748,1766-1807,1808-1848,1849-1890,1891-1929,1930-1972,1973-2012,2013-2054,2059-2111,2127-2165,2166-2205,2206-2246,2247-2290,2291-2332,2337-2390,2402-2443,2444-2484,2485-2523,2524-2566,2567-2606,2607-2647,2648-2687"
P30403,"194-391,397-478"
P98164,"27-63,66-104,107-143,146-180,182-218,221-257,265-308,1025-1061,1066-1102,1108-1144,1148-1184,1186-1223,1229-1267,1270-1306,1304-1349,1390-1429,1700-1741,2699-2737,2740-2776,2779-2818,2821-2860,2863-2900,2905-2944,2947-2989,2992-3028,3031-3069,3074-3110,3110-3151,3152-3192,3511-3549,3552-3590,3593-3631,3634-3672,3677-3715,3718-3755,3758-3794,3797-3833,3841-3879,3882-3921,3927-3963,4007-4048,4377-4411"
P32523,1-71
P04233,210-271
Q9UMS4,2-73
P03692,"151-238,281-548"
P22736,360-595
Q92794,"1-77,95-171,504-778"
P00748,"42-90,94-131,133-173,174-210,217-295,373-614"
Q9NZL3,8-78
P06612,3-142
P13987,26-108
