uniprot	region_1	region_2	filename	complex_mean_plddt	r1_mean_plddt	r2_mean_plddt
Q72AS4	52-205	237-315	AF-Q72AS4-F1-model_v4.cif	92.43	97.728	98.438
Q7CRA4	113-302	425-657	AF-Q7CRA4-F1-model_v4.cif	87.914	86.5	96.825
P14677	632-691	692-750	AF-P14677-F1-model_v4.cif	93.726	97.775	96.104
P00582	1-323	324-517	AF-P00582-F1-model_v4.cif	91.568	86.879	95.928
A0A0H2WY27	56-288	317-382	AF-A0A0H2WY27-F1-model_v4.cif	91.674	98.522	97.646
P77933	524-665	1132-1265	AF-P77933-F1-model_v4.cif	81.857	84.99	90.569
Q8GN86	9-407	416-491	AF-Q8GN86-F1-model_v4.cif	94.818	95.921	91.281
Q51504	58-207	247-546	AF-Q51504-F1-model_v4.cif	90.978	92.686	95.897
D9N168	3-169	336-543	AF-D9N168-F1-model_v4.cif	96.587	98.385	95.667
O16025	374-490	491-1066	AF-O16025-F1-model_v4.cif	95.194	94.185	96.312
A0A140DJY3	32-436	445-522	AF-A0A140DJY3-F1-model_v4.cif	91.982	94.198	84.819
G0WVH3	10-416	425-500	AF-G0WVH3-F1-model_v4.cif	90.768	94.519	83.674
Q95VR4	11-109	147-325	AF-Q95VR4-F1-model_v4.cif	85.08	89.106	93.108
E1K248	67-211	229-311	AF-E1K248-F1-model_v4.cif	91.391	95.11	98.675
A0A0A0V031	11-412	422-496	AF-A0A0A0V031-F1-model_v4.cif	95.263	96.677	91.91
P59676	632-691	692-750	AF-P59676-F1-model_v4.cif	93.624	97.77	96.073
A0A0F7R6G7	27-435	443-519	AF-A0A0F7R6G7-F1-model_v4.cif	88.267	91.698	84.581
Q7WU28	4-298	374-576	AF-Q7WU28-F1-model_v4.cif	83.892	77.612	94.334
O68880	38-167	220-351	AF-O68880-F1-model_v4.cif	94.739	96.848	97.089
O29238	65-245	506-662	AF-O29238-F1-model_v4.cif	92.44	91.793	94.024
P47736	1-17	181-397	AF-P47736-F1-model_v4.cif	70.997	51.064	94.813
A0A3B6UEQ0	22-167	187-265	AF-A0A3B6UEQ0-F1-model_v4.cif	90.039	97.86	98.336
Q941M3	31-439	448-523	AF-Q941M3-F1-model_v4.cif	90.797	92.633	86.072
Q9RET4	60-236	331-595	AF-Q9RET4-F1-model_v4.cif	86.032	86.749	94.973
H6SG27	24-429	437-515	AF-H6SG27-F1-model_v4.cif	87.791	91.191	82.92
F2Z7K9	71-221	263-557	AF-F2Z7K9-F1-model_v4.cif	90.287	90.74	96.604
F2Z6J5	63-211	231-312	AF-F2Z6J5-F1-model_v4.cif	89.854	95.237	97.269
Q9I5E6	18-268	300-476	AF-Q9I5E6-F1-model_v4.cif	97.102	97.681	97.141
A0A0M3KKZ3	40-118	158-457	AF-A0A0M3KKZ3-F1-model_v4.cif	91.489	86.415	95.353
Q87I71	96-198	361-467	AF-Q87I71-F1-model_v4.cif	94.146	95.427	96.783
Q8X5N8	27-155	204-335	AF-Q8X5N8-F1-model_v4.cif	94.69	96.62	96.486
Q47NR5	33-441	450-525	AF-Q47NR5-F1-model_v4.cif	92.423	94.488	86.018
A0A0E8T757	632-691	692-750	AF-A0A0E8T757-F1-model_v4.cif	92.637	97.587	95.815
M4GWN4	9-409	418-493	AF-M4GWN4-F1-model_v4.cif	87.279	88.224	84.288
Q6NC13	22-429	437-512	AF-Q6NC13-F1-model_v4.cif	95.712	97.3	90.922
Q2G2X6	56-288	317-382	AF-Q2G2X6-F1-model_v4.cif	93.547	98.44	97.522
B1YSR8	70-218	259-555	AF-B1YSR8-F1-model_v4.cif	86.182	88.353	94.722
B9PW60	11-171	201-324	AF-B9PW60-F1-model_v4.cif	92.417	90.351	97.321
Q6NAE3	14-406	415-489	AF-Q6NAE3-F1-model_v4.cif	93.585	94.784	91.515
A0R0V0	52-462	472-546	AF-A0R0V0-F1-model_v4.cif	90.303	93.473	84.257
Q57540	56-288	317-382	AF-Q57540-F1-model_v4.cif	91.48	98.461	97.4
A0A0M3KKZ4	40-118	158-457	AF-A0A0M3KKZ4-F1-model_v4.cif	91.259	85.458	95.346
P83789	41-122	488-732	AF-P83789-F1-model_v4.cif	92.179	96.536	92.119
A0A0J1PJ79	59-204	224-302	AF-A0A0J1PJ79-F1-model_v4.cif	88.126	97.263	98.164
Q9L869	17-163	182-264	AF-Q9L869-F1-model_v4.cif	97.461	98.069	98.552
Q8RR30	71-221	263-557	AF-Q8RR30-F1-model_v4.cif	90.23	90.915	96.324
D3RV29	64-210	230-309	AF-D3RV29-F1-model_v4.cif	84.987	95.153	97.292
A0A066ZR71	79-227	247-328	AF-A0A066ZR71-F1-model_v4.cif	88.34	95.274	97.232
F3Y661	18-419	428-506	AF-F3Y661-F1-model_v4.cif	92.468	93.939	87.82
Q63QJ1	71-219	260-558	AF-Q63QJ1-F1-model_v4.cif	85.883	87.747	93.937
Q8KHY3	82-257	361-631	AF-Q8KHY3-F1-model_v4.cif	87.492	86.418	97.087
Q2TU34	13-198	203-332	AF-Q2TU34-F1-model_v4.cif	94.678	94.738	97.772
B7LGE4	59-204	224-302	AF-B7LGE4-F1-model_v4.cif	87.571	96.86	98.225
A9T230	92-291	295-424	AF-A9T230-F1-model_v4.cif	78.289	83.456	96.779
P0AG30	1-47	48-123	AF-P0AG30-F1-model_v4.cif	93.595	90.957	93.628
P23687	1-426	427-710	AF-P23687-F1-model_v4.cif	98.248	98.202	98.319
O69275	1-226	227-427	AF-O69275-F1-model_v4.cif	95.783	95.441	96.983
Q7KLV9	1-223	224-392	AF-Q7KLV9-F1-model_v4.cif	85.674	82.212	89.531
H2E7Q8	1-80,452-730	81-451	AF-H2E7Q8-F1-model_v4.cif	97.423	97.233	97.6
P04958	1-250	251-451	AF-P04958-F1-model_v4.cif	93.969	96.739	94.984
P04807	75-209	210-458	AF-P04807-F1-model_v4.cif	96.019	95.07	97.203
O60729	44-198	214-374	AF-O60729-F1-model_v4.cif	80.966	96.336	97.182
P23694	1-246	257-471	AF-P23694-F1-model_v4.cif	96.242	94.379	98.298
Q49434	1-142	183-383	AF-Q49434-F1-model_v4.cif	93.486	93.083	92.97
P15873	1-117	135-258	AF-P15873-F1-model_v4.cif	94.993	96.466	94.697
Q9WZU0	10-198	199-419	AF-Q9WZU0-F1-model_v4.cif	90.2	93.499	88.493
P97784	3-132	215-430	AF-P97784-F1-model_v4.cif	83.949	95.126	92.686
P13797	123-329	267-378	AF-P13797-F1-model_v4.cif	89.197	94.633	95.763
Q2G1N7	1-154	157-250	AF-Q2G1N7-F1-model_v4.cif	86.394	87.701	84.154
Q9Y221	1-93	94-170	AF-Q9Y221-F1-model_v4.cif	94.052	92.657	97.032
P23258	1-273	287-451	AF-P23258-F1-model_v4.cif	91.826	93.921	90.497
P23470	849-1119	1150-1410	AF-P23470-F1-model_v4.cif	73.005	93.847	91.578
A7GBG3	864-1085	1086-1278	AF-A7GBG3-F1-model_v4.cif	87.555	86.594	84.818
B4XN22	10-113	127-320	AF-B4XN22-F1-model_v4.cif	67.94	88.477	76.82
A0A1C9J6A7	1-302	308-607	AF-A0A1C9J6A7-F1-model_v4.cif	89.238	84.602	93.936
P01730	1-98	99-178	AF-P01730-F1-model_v4.cif	85.572	81.943	92.593
P26882	19-183	214-370	AF-P26882-F1-model_v4.cif	95.903	97.675	95.649
P46680	13-335	342-615	AF-P46680-F1-model_v4.cif	97.067	97.614	96.517
Q8RR56	1-160	193-546	AF-Q8RR56-F1-model_v4.cif	94.822	92.555	98.181
