gene_name	uniprot	protein_length	region_1	region_2	region_1_len	region_2_len	pdb	pdb_length	resolution	model	chain	label_offset	pdb residues in region_1	pdb residues in region_2	percent_region_1	percent_region_2
CHEK1	O14757	476	391-476	9-265	86	257	5wi2	108	2.495	0	A	-390	78	0	90.69767441860465	0.0
SRC	P00523	533	148-245,246-266	81-142,521-533	119	75	1f1w	175	2.1	0	A	-142	100	0	84.03361344537815	0.0
SRC	P00523	533	148-245,246-266	81-142,521-533	119	75	1f2f	160	1.7	0	A	-142	100	0	84.03361344537815	0.0
SRC	P00523	533	148-245,246-266	81-142,521-533	119	75	1p13	223	1.63	0	A	-143	102	0	85.71428571428571	0.0
SRC	P00523	533	148-245,246-266	81-142,521-533	119	75	2ptk	697	2.35	0	A	-79	119	67	100.0	89.33333333333333
JAK2	O60674	1132	758-807	849-1124	50	276	4fvp	430	2.01	0	A	-535	50	0	100.0	0.0
JAK2	O60674	1132	758-807	849-1124	50	276	4fvq	425	1.75	0	A	-535	50	0	100.0	0.0
JAK2	O60674	1132	758-807	849-1124	50	276	4fvr	387	2.0	0	A	-535	50	0	100.0	0.0
JAK2	O60674	1132	758-807	849-1124	50	276	5i4n	464	1.54	0	A	-534	50	0	100.0	0.0
JAK2	O60674	1132	758-807	849-1124	50	276	5usz	490	2.103	0	A	-535	50	0	100.0	0.0
JAK2	O60674	1132	758-807	849-1124	50	276	5ut0	523	2.102	0	A	-535	50	0	100.0	0.0
JAK2	O60674	1132	758-807	849-1124	50	276	5ut1	495	1.95	0	A	-535	50	0	100.0	0.0
JAK2	O60674	1132	758-807	849-1124	50	276	5ut2	550	1.75	0	A	-535	50	0	100.0	0.0
JAK2	O60674	1132	758-807	849-1124	50	276	5ut3	604	1.501	0	A	-535	50	0	100.0	0.0
JAK2	O60674	1132	758-807	849-1124	50	276	5ut4	388	2.0	0	A	-535	50	0	100.0	0.0
JAK2	O60674	1132	758-807	849-1124	50	276	5ut5	532	1.9	0	A	-535	50	0	100.0	0.0
JAK2	O60674	1132	758-807	849-1124	50	276	5ut6	560	1.645	0	A	-535	50	0	100.0	0.0
JAK2	O60674	1132	758-807	849-1124	50	276	5wij	376	2.04	0	A	-535	50	0	100.0	0.0
JAK2	O60674	1132	758-807	849-1124	50	276	5wil	367	2.2	0	A	-535	50	0	100.0	0.0
JAK2	O60674	1132	758-807	849-1124	50	276	5wim	297	2.55	0	A	-535	50	0	100.0	0.0
JAK2	O60674	1132	758-807	849-1124	50	276	5win	295	2.38	0	A	-535	50	0	100.0	0.0
JAK2	O60674	1132	758-807	849-1124	50	276	6brw	405	2.031	0	A	-535	50	0	100.0	0.0
JAK2	O60674	1132	758-807	849-1124	50	276	6bs0	578	1.541	0	A	-535	50	0	100.0	0.0
JAK2	O60674	1132	758-807	849-1124	50	276	6bss	426	2.1	0	A	-535	50	0	100.0	0.0
JAK2	O60674	1132	758-807	849-1124	50	276	6d2i	274	3.192	0	A	-535	50	0	100.0	0.0
JAK2	O60674	1132	758-807	849-1124	50	276	6g3c	525	1.6	0	A	-536	50	0	100.0	0.0
JAK2	O60674	1132	758-807	849-1124	50	276	6m9h	545	1.79	0	A	-535	50	0	100.0	0.0
JAK2	O60674	1132	758-807	849-1124	50	276	6oav	376	1.939	0	A	-535	50	0	100.0	0.0
JAK2	O60674	1132	758-807	849-1124	50	276	6obb	391	1.904	0	A	-535	50	0	100.0	0.0
JAK2	O60674	1132	758-807	849-1124	50	276	6obf	416	1.71	0	A	-535	50	0	100.0	0.0
JAK2	O60674	1132	758-807	849-1124	50	276	6obl	315	2.061	0	A	-535	50	0	100.0	0.0
JAK2	O60674	1132	758-807	849-1124	50	276	6occ	319	2.03	0	A	-535	50	0	100.0	0.0
JAK2	O60674	1132	758-807	849-1124	50	276	6xjk	328	2.02350796538	0	A	-535	50	0	100.0	0.0
JAK2	O60674	1132	758-807	849-1124	50	276	7f7w	408	1.83	0	A	-535	50	0	100.0	0.0
JAK2	O60674	1132	758-807	849-1124	50	276	7jyo	344	2.16127225177	0	A	-535	50	0	100.0	0.0
JAK2	O60674	1132	758-807	849-1124	50	276	7jyq	429	1.85941610301	0	A	-535	50	0	100.0	0.0
JAK2	O60674	1132	758-807	849-1124	50	276	7t0p	427	2.04	0	A	-535	50	0	100.0	0.0
JAK2	O60674	1132	758-807	849-1124	50	276	7t1t	405	2.08	0	A	-535	50	0	100.0	0.0
JAK2	O60674	1132	758-807	849-1124	50	276	8b8n	343	2.0	0	A	-535	50	0	100.0	0.0
JAK2	O60674	1132	758-807	849-1124	50	276	8b8u	492	1.5	0	A	-535	50	0	100.0	0.0
JAK2	O60674	1132	758-807	849-1124	50	276	8b99	548	1.6	0	A	-535	50	0	100.0	0.0
JAK2	O60674	1132	758-807	849-1124	50	276	8b9e	624	1.5	0	A	-535	50	0	100.0	0.0
JAK2	O60674	1132	758-807	849-1124	50	276	8b9h	454	1.5	0	A	-535	50	0	100.0	0.0
JAK2	O60674	1132	758-807	849-1124	50	276	8ba2	567	1.5	0	A	-535	50	0	100.0	0.0
JAK2	O60674	1132	758-807	849-1124	50	276	8ba3	550	1.4	0	A	-535	50	0	100.0	0.0
JAK2	O60674	1132	758-807	849-1124	50	276	8ba4	381	2.1	0	A	-535	50	0	100.0	0.0
JAK2	O60674	1132	758-807	849-1124	50	276	8bab	561	1.55	0	A	-535	50	0	100.0	0.0
JAK2	O60674	1132	758-807	849-1124	50	276	8bak	477	1.65	0	A	-535	50	0	100.0	0.0
JAK2	O60674	1132	758-807	849-1124	50	276	8ex0	405	1.85	0	A	-535	50	0	100.0	0.0
JAK2	O60674	1132	758-807	849-1124	50	276	8ex1	596	1.5	0	A	-535	50	0	100.0	0.0
JAK2	O60674	1132	758-807	849-1124	50	276	8ex2	499	1.9	0	A	-535	50	0	100.0	0.0
CAMK4	Q16566	473	305-321	46-300	17	255	2w4o	394	2.17	0	A	9	17	229	100.0	89.80392156862746
CAMK2B	Q13554	666	283-292	14-272	10	259	3bhh	365	2.4	0	A	-8	10	255	100.0	98.45559845559846
ARHGEF25	Q86VW2	580	348-472	155-347	125	193	2rgn	327	3.5	0	B	0	110	193	88.0	100.0
MYO7A	Q13402	2215	1747-2205	65-741	459	677	5mv9	773	2.6	0	A	-1688	447	0	97.38562091503267	0.0
PAK1	P35465	544	70-149	269-520	80	252	1e0a	920		19	B	0	920	0	1150.0	0.0
	P14280	546	1-219	220-557	219	338	1xg2	632	1.9	0	A	-229	219	98	100.0	28.994082840236686
PPP3CA	P63329	521	407-414,465-487	56-340	31	285	4il1	562	3.0	0	A	0	31	154	100.0	54.03508771929825
