sep=,
"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"Camk1","Approved symbol","CAMK1","calcium/calmodulin dependent protein kinase I","HGNC:1459","3p25.3"
"DNMT1","Approved symbol","DNMT1","DNA methyltransferase 1","HGNC:2976","19p13.2"
"Gsk3b","Approved symbol","GSK3B","glycogen synthase kinase 3 beta","HGNC:4617","3q13.33"
"MST1R","Approved symbol","MST1R","macrophage stimulating 1 receptor","HGNC:7381","3p21.31"
"PTK8","Previous symbol","MST1R","macrophage stimulating 1 receptor","HGNC:7381","3p21.31"
"RON","Previous symbol","MST1R","macrophage stimulating 1 receptor","HGNC:7381","3p21.31"
"odhI","Unmatched","","","",""
"Cgl1441","Unmatched","","","",""
"cg1630","Unmatched","","","",""
"Pacsin1","Approved symbol","PACSIN1","protein kinase C and casein kinase substrate in neurons 1","HGNC:8570","6p21.3"
"Pacsin","Unmatched","","","",""
"PPP3CB","Approved symbol","PPP3CB","protein phosphatase 3 catalytic subunit beta","HGNC:9315","10q22.2"
"CALNA2","Alias symbol","PPP3CB","protein phosphatase 3 catalytic subunit beta","HGNC:9315","10q22.2"
"CALNB","Previous symbol","PPP3CB","protein phosphatase 3 catalytic subunit beta","HGNC:9315","10q22.2"
"CNA2","Alias symbol","PPP3CB","protein phosphatase 3 catalytic subunit beta","HGNC:9315","10q22.2"
"CNA2","Previous symbol","KERA","keratocan","HGNC:6309","12q21.33"
"SAK","Alias symbol","PLK4","polo like kinase 4","HGNC:11397","4q28.1"
"CG7186","Unmatched","","","",""
"VPS4A","Approved symbol","VPS4A","vacuolar protein sorting 4 homolog A","HGNC:13488","16q23.1"
"VPS4","Alias symbol","VPS4A","vacuolar protein sorting 4 homolog A","HGNC:13488","16q23.1"
"BNI1","Unmatched","","","",""
"PPF3","Unmatched","","","",""
"SHE5","Unmatched","","","",""
"YNL271C","Unmatched","","","",""
"N0646","Unmatched","","","",""
"CRK","Approved symbol","CRK","CRK proto-oncogene, adaptor protein","HGNC:2362","17p13.3"
"Farp2","Approved symbol","FARP2","FERM, ARH/RhoGEF and pleckstrin domain protein 2","HGNC:16460","2q37.3"
"Kiaa0793","Alias symbol","FARP2","FERM, ARH/RhoGEF and pleckstrin domain protein 2","HGNC:16460","2q37.3"
"Gabpa","Approved symbol","GABPA","GA binding protein transcription factor subunit alpha","HGNC:4071","21q21.3"
"E4tf1a","Alias symbol","GABPA","GA binding protein transcription factor subunit alpha","HGNC:4071","21q21.3"
"LEU3","Unmatched","","","",""
"YLR451W","Unmatched","","","",""
"L9324.1","Unmatched","","","",""
"Mapre1","Approved symbol","MAPRE1","microtubule associated protein RP/EB family member 1","HGNC:6890","20q11.21"
"MYLK2","Approved symbol","MYLK2","myosin light chain kinase 2","HGNC:16243","20q11.21"
"PHKG1","Approved symbol","PHKG1","phosphorylase kinase catalytic subunit gamma 1","HGNC:8930","7p11.2"
"PHKG","Previous symbol","PHKG1","phosphorylase kinase catalytic subunit gamma 1","HGNC:8930","7p11.2"
"Prkn","Approved symbol","PRKN","parkin RBR E3 ubiquitin protein ligase","HGNC:8607","6q26"
"Park2","Previous symbol","PRKN","parkin RBR E3 ubiquitin protein ligase","HGNC:8607","6q26"
"Ptk2","Approved symbol","PTK2","protein tyrosine kinase 2","HGNC:9611","8q24.3"
"Fadk","Alias symbol","PTK2","protein tyrosine kinase 2","HGNC:9611","8q24.3"
"Fak","Alias symbol","PTK2","protein tyrosine kinase 2","HGNC:9611","8q24.3"
"Fak1","Alias symbol","PTK2","protein tyrosine kinase 2","HGNC:9611","8q24.3"
"Kiaa4203","Unmatched","","","",""
"Sh3kbp1","Approved symbol","SH3KBP1","SH3 domain containing kinase binding protein 1","HGNC:13867","Xp22.12"
"Ruk","Unmatched","","","",""
"Seta","Unmatched","","","",""
"sigA","Unmatched","","","",""
"plaC","Unmatched","","","",""
"rpoD","Unmatched","","","",""
"SAOUHSC_01662","Unmatched","","","",""
"WNK4","Approved symbol","WNK4","WNK lysine deficient protein kinase 4","HGNC:14544","17q21.2"
"PRKWNK4","Previous symbol","WNK4","WNK lysine deficient protein kinase 4","HGNC:14544","17q21.2"
"NF1","Approved symbol","NF1","neurofibromin 1","HGNC:7765","17q11.2"
"pma-1","Unmatched","","","",""
"APBB1IP","Approved symbol","APBB1IP","amyloid beta precursor protein binding family B member 1 interacting protein","HGNC:17379","10p12.1"
