uniprot	region	mean_pae
P0DTD1	12-127,148-179,183-456,458-688,690-818,821-929,1025-1194,1231-1359,1367-1494,1496-1561,1565-1620,1634-1898,1911-2021,2046-2155,2247-2317,2395-2763,3165-3263,3264-3569,3860-3942,3943-4140,4141-4253,4254-4392,4399-4653,4658-4756,4757-5324,5004-5166,5325-5408,5581-5762,5763-5932,5997-6212,6221-6452,6453-6513,6514-6639,6656-6795,6800-7094	
P00734	44-89,108-186,213-291,364-618	12.137
P03366	520-589,643-833,1033-1156,1213-1363	
P03372	311-547	4.421
P04585	508-577,631-821,1021-1144,1201-1351	
P12497	508-577,631-821,1021-1144,1201-1351	
P00742	41-85,86-122,125-165,235-467	11.316
P00533	712-979	5.973
Q9UIF8	739-810,1087-1152,2077-2147	18.658
P08709	61-105,106-142,147-188,213-452	11.134
P05067	28-189,291-341,374-565	20.728
Q32ZE1	1499-1676,1679-1835,1830-2009,2517-2781,3045-3195	
P00749	27-63,70-151,179-424	15.448
P03069	225-281	4.649
Q00987	26-109	2.809
P0C6X7	12-127,148-179,183-456,458-688,690-818,822-930,1003-1169,1207-1335,1343-1470,1472-1538,1542-1597,1611-1875,1888-1998,2023-2132,2224-2294,2372-2740,3142-3240,3241-3546,3837-3919,3920-4117,4118-4230,4231-4369,4376-4630,4635-4733,4734-5301,4981-5143,5302-5385,5558-5739,5740-5909,5974-6189,6198-6429,6430-6490,6491-6616,6633-6772,6777-7071	
P00974	40-90	1.399
Q92793	587-666,1103-1175,1323-1700	16.907
P08581	27-515,563-655,657-739,742-836,1078-1345	18.242
P41182	32-99	16.121
P01024	693-728,1518-1661	15.472
P19793	227-458	5.62
P05106	30-76,135-377,436-498,499-548,549-585,586-629	10.125
Q8NBP7	77-149,155-461	4.593
P06213	624-726,757-842,853-947,1023-1298	19.792
P00740	47-92,93-129,130-171,227-459	12.194
Q03164	1703-1748,2018-2074,3666-3747,3829-3945,3953-3969	
P00735	44-90,109-187,214-292,367-621	11.148
P02751	50-90,95-138,139-182,184-228,229-273,306-345,355-403,415-463,468-511,516-558,559-602,610-702,722-812,813-904,909-998,999-1088,1089-1175,1176-1270,1271-1359,1360-1452,1453-1540,1541-1634,1635-1726,1727-1814,1815-1908,1909-1995,1996-2086,2194-2288,2295-2339,2340-2382,2384-2427	26.762
P0C6U8	12-127,148-179,183-456,458-688,690-818,822-930,1003-1169,1207-1335,1343-1470,1472-1538,1542-1597,1611-1875,1888-1998,2023-2132,2224-2294,2372-2740,3142-3240,3241-3546,3837-3919,3920-4117,4118-4230,4231-4369	
Q9UIF9	546-617,848-913,1810-1880	19.524
Q9UGL1	32-73,97-187,453-619	9.883
Q09472	566-645,1067-1139,1287-1663	16.893
Q03181	211-439	3.773
P04150	524-758	4.285
P11473	127-423	10.716
Q05769	18-55	1.92
P62694	477-513	1.688
P00747	20-98,103-181,184-262,275-352,377-454,481-560,581-808	19.409
P08603	19-82,83-143,144-207,208-264,265-322,324-386,387-444,446-507,515-566,567-625,628-686,689-746,751-805,809-866,868-928,929-986,987-1045,1046-1104,1107-1165,1170-1230	25.427
P29375	19-60,84-174,437-603	10.209
P00268	1-54	1.975
P04626	720-987	6.537
P08069	491-609,610-708,735-828,834-927,999-1274	19.272
P01031	698-732,1532-1676	14.226
P84131	2-115,240-274	3.288
P04049	56-131,349-609	15.641
P68390	1-63,64-128,131-185	11.821
O15151	25-108	2.946
P35963	508-577,631-821,1021-1144,1201-1351	
P14210	37-123,128-206,211-288,305-383,391-469,495-721	17.599
Q96T88	1-78,419-582	14.875
P29083	14-104	6.535
Q13888	60-236	3.456
P05979	32-70	1.65
P01130	25-65,66-106,107-145,146-186,195-233,234-272,274-313,314-353,354-393,663-712	22.552
P22681	47-351,856-895	16.416
P38398	1642-1736,1756-1855	5.591
P10828	217-461	4.136
P08174	35-96,96-160,161-222,223-285	6.744
P24297	2-52	1.671
P08519	27-105,141-219,255-333,369-447,483-561,597-675,711-789,825-903,939-1017,1053-1131,1167-1245,1273-1351,1387-1465,1501-1579,1615-1693,1719-1799,1820-2038	
P46531	20-58,59-99,102-139,140-176,178-216,218-255,257-293,295-333,335-371,372-410,412-450,452-488,490-526,528-564,566-601,603-639,641-676,678-714,716-751,753-789,791-827,829-867,869-905,907-943,945-981,983-1019,1021-1057,1059-1095,1097-1143,1145-1181,1183-1219,1221-1265,1267-1305,1307-1346,1348-1384,1387-1426	26.775
Q96EP0	71-142,564-615	15.294
P45481	586-665,1104-1176,1324-1701	16.99
Q13490	453-543	2.847
P51948	142-161	1.765
P0A6H1	2-56	8.656
P14780	225-273,283-331,342-390	6.119
O00482	300-539	3.79
P05107	24-74,124-363,449-496,497-540,541-581,582-617	12.334
P00959	575-677	3.104
P00751	35-100,101-160,163-220,270-469,477-757	11.017
