uniprot	region_1	region_2	filename	cluster
P14677	632-691	692-750	P14677_003_unrelaxed_rank_003_alphafold2_multimer_v2_model_1_seed_000.pdb	003
P14677	632-691	692-750	P14677_005_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	005
P14677	632-691	692-750	P14677_007_unrelaxed_rank_004_alphafold2_multimer_v2_model_1_seed_000.pdb	007
P14677	632-691	692-750	P14677_U100-000_unrelaxed_rank_004_alphafold2_multimer_v2_model_1_seed_000.pdb	U100-000
P14677	632-691	692-750	P14677_004_unrelaxed_rank_003_alphafold2_multimer_v2_model_1_seed_000.pdb	004
P14677	632-691	692-750	P14677_008_unrelaxed_rank_004_alphafold2_multimer_v2_model_1_seed_000.pdb	008
P14677	632-691	692-750	P14677_009_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	009
P14677	632-691	692-750	P14677_000_unrelaxed_rank_002_alphafold2_multimer_v2_model_1_seed_000.pdb	000
P14677	632-691	692-750	P14677_U10-000_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	U10-000
P14677	632-691	692-750	P14677_002_unrelaxed_rank_004_alphafold2_multimer_v2_model_1_seed_000.pdb	002
P14677	632-691	692-750	P14677_001_unrelaxed_rank_004_alphafold2_multimer_v2_model_1_seed_000.pdb	001
P14677	632-691	692-750	P14677_006_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	006
O16025	374-490	491-1066	O16025_U100-000_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	U100-000
O16025	374-490	491-1066	O16025_000_unrelaxed_rank_002_alphafold2_multimer_v2_model_1_seed_000.pdb	000
O16025	374-490	491-1066	O16025_U10-000_unrelaxed_rank_002_alphafold2_multimer_v2_model_1_seed_000.pdb	U10-000
P59676	632-691	692-750	P59676_U10-000_unrelaxed_rank_002_alphafold2_multimer_v2_model_1_seed_000.pdb	U10-000
P59676	632-691	692-750	P59676_000_unrelaxed_rank_004_alphafold2_multimer_v2_model_1_seed_000.pdb	000
P59676	632-691	692-750	P59676_006_unrelaxed_rank_002_alphafold2_multimer_v2_model_1_seed_000.pdb	006
P59676	632-691	692-750	P59676_001_unrelaxed_rank_004_alphafold2_multimer_v2_model_1_seed_000.pdb	001
P59676	632-691	692-750	P59676_002_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	002
P59676	632-691	692-750	P59676_005_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	005
P59676	632-691	692-750	P59676_004_unrelaxed_rank_002_alphafold2_multimer_v2_model_1_seed_000.pdb	004
P59676	632-691	692-750	P59676_007_unrelaxed_rank_003_alphafold2_multimer_v2_model_1_seed_000.pdb	007
P59676	632-691	692-750	P59676_U100-000_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	U100-000
P59676	632-691	692-750	P59676_003_unrelaxed_rank_002_alphafold2_multimer_v2_model_1_seed_000.pdb	003
O29238	65-245	506-662	O29238_U10-000_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	U10-000
O29238	65-245	506-662	O29238_U100-000_unrelaxed_rank_002_alphafold2_multimer_v2_model_1_seed_000.pdb	U100-000
P47736	1-17	181-397	P47736_003_unrelaxed_rank_002_alphafold2_multimer_v2_model_1_seed_000.pdb	003
P47736	1-17	181-397	P47736_005_unrelaxed_rank_002_alphafold2_multimer_v2_model_1_seed_000.pdb	005
P47736	1-17	181-397	P47736_006_unrelaxed_rank_003_alphafold2_multimer_v2_model_1_seed_000.pdb	006
P47736	1-17	181-397	P47736_002_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	002
P47736	1-17	181-397	P47736_000_unrelaxed_rank_003_alphafold2_multimer_v2_model_1_seed_000.pdb	000
P47736	1-17	181-397	P47736_U100-000_unrelaxed_rank_003_alphafold2_multimer_v2_model_1_seed_000.pdb	U100-000
P47736	1-17	181-397	P47736_009_unrelaxed_rank_004_alphafold2_multimer_v2_model_1_seed_000.pdb	009
P47736	1-17	181-397	P47736_007_unrelaxed_rank_003_alphafold2_multimer_v2_model_1_seed_000.pdb	007
P47736	1-17	181-397	P47736_004_unrelaxed_rank_004_alphafold2_multimer_v2_model_1_seed_000.pdb	004
P47736	1-17	181-397	P47736_U10-000_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb	U10-000
P47736	1-17	181-397	P47736_008_unrelaxed_rank_002_alphafold2_multimer_v2_model_1_seed_000.pdb	008
P47736	1-17	181-397	P47736_001_unrelaxed_rank_002_alphafold2_multimer_v2_model_1_seed_000.pdb	001
