Gene_name	Uniprot_ID	Protein_length	region_1	region_2	region_1_len	region_2_len	PDB ID	PDB Length	Resolution	Model	Label_chain	Entity_id	Auth_chain	PDB residues in region_1	PDB residues in region_2	Percent residues in region_1	Percent residues in region_2	Auth_offset	Conformation
EP300	Q09472	2414	1520-1581	1287-1519,1582-1663	62	377	5xzc	619	2.1921	0	A	1	A	62	315	100	83.5543766578249	0	Active
PTPN6	P29350	595	1-105	244-515	105	272	3ps5	551	3.1	0	A	1	A	105	272	100	100	0	Active
HCK	P08631	526	142-239,240-259	76-136,425-514	118	61	1qcf	763	2	0	A	1	A	117	56	99.1525423728814	91.8032786885246	3	Autoinhibited
DNMT3A	Q9Y6K1	912	476-626	634-912	151	279	4u7p	430	3.821	0	A	1	A	151	266	100	95.3405017921147	0	Autoinhibited
PTPN6	P29350	595	1-105	244-515	105	272	2b3o	523	2.8	0	A	1	A	104	272	99.047619047619	100	0	Autoinhibited
SRC	P00523	533	148-245,246-266	81-142,521-533	119	75	2ptk	697	2.35	0	A	1	A	119	67	100	89.3333333333333	0	
MAPK1	P28482	360	173-196	25-172,197-313	24	265	3sa0	655	1.5947	0	A	1	A	24	262	100	98.8679245283019	0	
MAPK1	P28482	360	173-196	25-172,197-313	24	265	6g9d	817	1.8	0	A	1	A	24	264	100	99.622641509434	0	
MAPK1	P28482	360	173-196	25-172,197-313	24	265	8ao2	677	1.796	0	A	1	A	24	264	100	99.622641509434	0	
MAPK1	P28482	360	173-196	25-172,197-313	24	265	4zxt	656	2	0	A	1	A	24	262	100	98.8679245283019	0	
MAPK1	P28482	360	173-196	25-172,197-313	24	265	7e73	450	2.28	0	A	1	A	24	265	100	100	0	
MAPK1	P28482	360	173-196	25-172,197-313	24	265	8aod	666	1.62	0	A	1	A	24	260	100	98.1132075471698	0	
MAPK1	P28482	360	173-196	25-172,197-313	24	265	4fux	507	2.2	0	A	1	A	24	264	100	99.622641509434	-2	
MAPK1	P28482	360	173-196	25-172,197-313	24	265	6slg	538	1.33	0	A	1	A	24	265	100	100	0	
MAPK1	P28482	360	173-196	25-172,197-313	24	265	5wp1	685	1.4	0	A	1	A	24	262	100	98.8679245283019	0	
MAPK1	P28482	360	173-196	25-172,197-313	24	265	5nhp	544	1.99	0	A	1	A	24	265	100	100	0	
MAPK1	P28482	360	173-196	25-172,197-313	24	265	6qah	587	1.58	0	A	1	A	24	263	100	99.2452830188679	0	
MAPK1	P28482	360	173-196	25-172,197-313	24	265	6q7t	651	1.6	0	A	1	A	24	264	100	99.622641509434	0	
MAPK1	P28482	360	173-196	25-172,197-313	24	265	6qaq	639	1.58	0	A	1	A	24	264	100	99.622641509434	0	
MAPK1	P28482	360	173-196	25-172,197-313	24	265	6q7k	632	1.84	0	A	1	A	24	264	100	99.622641509434	0	
MAPK1	P28482	360	173-196	25-172,197-313	24	265	4zzm	468	1.89	0	A	1	A	24	264	100	99.622641509434	0	
MAPK1	P28482	360	173-196	25-172,197-313	24	265	4n0s	761	1.7992	0	A	1	A	24	261	100	98.4905660377359	0	
MAPK1	P28482	360	173-196	25-172,197-313	24	265	8aoh	820	1.6	0	A	1	A	24	260	100	98.1132075471698	0	
MAPK1	P28482	360	173-196	25-172,197-313	24	265	6g9a	854	1.91	0	A	1	A	24	264	100	99.622641509434	0	
MAPK1	P28482	360	173-196	25-172,197-313	24	265	5v62	613	1.9	0	A	1	A	22	265	91.6666666666667	100	0	
MAPK1	P28482	360	173-196	25-172,197-313	24	265	1pme	547	2	0	A	1	A	24	261	100	98.4905660377359	0	
MAPK1	P28482	360	173-196	25-172,197-313	24	265	5nhl	474	2.07	0	A	1	A	24	265	100	100	0	
