gene_name	uniprot	protein_length	region_1	region_2	pdb	chain	af_filename	gt_fn
Nos1	P29476	1429.0	815-870	757-949	1b8q	A	F-P29476-F1-model_v3.cif	1b8q.cif
Nos1	P29476	1429.0	815-870	757-949	1cmi	C	F-P29476-F1-model_v3.cif	1cmi.cif
Nos1	P29476	1429.0	815-870	757-949	1f20	A	F-P29476-F1-model_v3.cif	1f20.cif
Nos1	P29476	1429.0	815-870	757-949	1k2r	A	F-P29476-F1-model_v3.cif	1k2r.cif
Nos1	P29476	1429.0	815-870	757-949	1k2s	A	F-P29476-F1-model_v3.cif	1k2s.cif
Nos1	P29476	1429.0	815-870	757-949	1k2t	A	F-P29476-F1-model_v3.cif	1k2t.cif
Nos1	P29476	1429.0	815-870	757-949	1k2u	A	F-P29476-F1-model_v3.cif	1k2u.cif
Nos1	P29476	1429.0	815-870	757-949	1lzx	A	F-P29476-F1-model_v3.cif	1lzx.cif
Nos1	P29476	1429.0	815-870	757-949	1lzz	A	F-P29476-F1-model_v3.cif	1lzz.cif
Nos1	P29476	1429.0	815-870	757-949	1m00	A	F-P29476-F1-model_v3.cif	1m00.cif
Nos1	P29476	1429.0	815-870	757-949	1mmv	A	F-P29476-F1-model_v3.cif	1mmv.cif
Nos1	P29476	1429.0	815-870	757-949	1mmw	A	F-P29476-F1-model_v3.cif	1mmw.cif
Nos1	P29476	1429.0	815-870	757-949	1om4	A	F-P29476-F1-model_v3.cif	1om4.cif
Nos1	P29476	1429.0	815-870	757-949	1om5	A	F-P29476-F1-model_v3.cif	1om5.cif
Nos1	P29476	1429.0	815-870	757-949	1p6h	A	F-P29476-F1-model_v3.cif	1p6h.cif
Nos1	P29476	1429.0	815-870	757-949	1p6i	A	F-P29476-F1-model_v3.cif	1p6i.cif
Nos1	P29476	1429.0	815-870	757-949	1p6j	A	F-P29476-F1-model_v3.cif	1p6j.cif
Nos1	P29476	1429.0	815-870	757-949	1p6k	A	F-P29476-F1-model_v3.cif	1p6k.cif
Nos1	P29476	1429.0	815-870	757-949	1qau	A	F-P29476-F1-model_v3.cif	1qau.cif
Nos1	P29476	1429.0	815-870	757-949	1qav	B	F-P29476-F1-model_v3.cif	1qav.cif
Nos1	P29476	1429.0	815-870	757-949	1qw6	A	F-P29476-F1-model_v3.cif	1qw6.cif
