Gene_name	Uniprot_ID	Protein_length	region_1	region_2	PDB
Nos1	P29476	1429	815-870	757-949	 1b8q:A 1f20:A 1qau:A 1qav:B 1qw6:A 1qwc:A 1vag:A 1zvi:A 5fvo:A 7ts9:A 7tsa:A 7tsb:A 7tsc:A 7tsd:A 7tse:A 7uan:A
PTPN1	P18031	435	353-387	2-277	 1a5y:A 1aax:A 1bzc:A 1bzh:A 1bzj:A 1c83:A 1c84:A 1c85:A 1c86:A 1c87:A 1c88:A 1ecv:A 1een:A 1eeo:A 1g1f:A 1g1g:A 1g1h:A 1g7f:A 1g7g:A 1gfy:A 1i57:A 1kak:A 1kav:A 1l8g:A 1nl9:A 1nny:A 1no6:A 1nwe:A 1nwl:A 1nz7:A 1oem:A 1oeo:A 1oes:A 1oet:A 1oeu:A 1oev:A 1ony:A 1onz:A 1pa1:A 1ph0:A 1ptt:A 1ptu:A 1ptv:A 1pty:A 1pxh:A 1pyn:A 1q1m:A 1q6j:A 1q6m:A 1qxk:A 1sug:A 1t48:A 1t49:A 1t4j:A 1wax:A 1xbo:A 2azr:A 2b07:A 2bgd:A 2bge:A 2cm2:A 2cm7:A 2cm8:A 2cma:A 2cmb:A 2cmc:A 2cne:A 2cnf:A 2cng:A 2cnh:A 2cni:A 2f6f:A 2f6t:A 2f6v:A 2f6w:A 2f6y:A 2f6z:A 2f70:A 2f71:A 2h4g:A 2h4k:A 2hb1:A 2hnp:A 2hnq:A 2nt7:A 2nta:A 2qbp:A 2qbq:A 2qbr:A 2qbs:A 2veu:A 2vev:A 2vew:A 2vex:A 2vey:A 2zmm:A 2zn7:A 3a5j:A 3a5k:A 3cwe:A 3d9c:A 3eax:A 3eb1:A 3eu0:A 3i7z:A 3i80:A 3qkp:A 3qkq:A 3sme:A 3zmq:A 3zv2:A 4i8n:A 4qah:A 4qap:A 4qbe:A 4qbw:A 4zrt:A 5k9v:A 5k9w:A 5ka0:A 5ka1:A 5ka2:A 5ka3:A 5ka4:A 5ka7:A 5ka8:A 5ka9:A 5kaa:A 5kab:A 5kac:A 5qde:A 5qdf:A 5qdg:A 5qdh:A 5qdi:A 5qdj:A 5qdk:A 5qdl:A 5qdm:A 5qdn:A 5qdo:A 5qdp:A 5qdq:A 5qdr:A 5qds:A 5qdt:A 5qdu:A 5qdv:A 5qdw:A 5qdx:A 5qdy:A 5qdz:A 5qe0:A 5qe1:A 5qe2:A 5qe3:A 5qe4:A 5qe5:A 5qe6:A 5qe7:A 5qe8:A 5qe9:A 5qea:A 5qeb:A 5qec:A 5qed:A 5qee:A 5qef:A 5qeg:A 5qeh:A 5qei:A 5qej:A 5qek:A 5qel:A 5qem:A 5qen:A 5qeo:A 5qep:A 5qeq:A 5qer:A 5qes:A 5qet:A 5qeu:A 5qev:A 5qew:A 5qex:A 5qey:A 5qez:A 5qf0:A 5qf1:A 5qf2:A 5qf3:A 5qf4:A 5qf5:A 5qf6:A 5qf7:A 5qf8:A 5qf9:A 5qfa:A 5qfb:A 5qfc:A 5qfd:A 5qfe:A 5qff:A 5qfg:A 5qfh:A 5qfi:A 5qfj:A 5qfk:A 5qfl:A 5qfm:A 5qfn:A 5qfo:A 5qfp:A 5qfq:A 5qfr:A 5qfs:A 5qft:A 5qfu:A 5qfv:A 5qfw:A 5qfx:A 5qfy:A 5qfz:A 5qg0:A 5qg1:A 5qg2:A 5qg3:A 5qg4:A 5qg5:A 5qg6:A 5qg7:A 5qg8:A 5qg9:A 5qga:A 5qgb:A 5qgc:A 5qgd:A 5qge:A 5qgf:A 5t19:A 6b8e:A 6b8t:A 6b8x:A 6b8z:A 6b90:A 6b95:A 6bai:A 6cwu:A 6cwv:A 6ntp:A 6ol4:A 6olq:A 6olv:A 6omy:A 6pfw:A 6pg0:A 6pgt:A 6pha:A 6phs:A 6pm8:A 6w30:A 6xe8:A 6xea:A 6xed:A 6xee:A 6xef:A 6xeg:A 7ken:A 7key:A 7klx:A 7l0c:A 7l0h:A 7lfo:A 7mkz:A 7mm1:A 7mn7:A 7mn9:A 7mna:A 7mnb:A 7mnc:A 7mnd:A 7mne:A 7mnf:A 7mou:A 7mow:A 7rin:A 7s4f:A 8du7:A
EGFR	P00533	1210	166-309,482-618	712-979	 1m14:A 1m17:A 1nql:A 1xkk:A 1yy9:A 1z9i:A 2eb2:A 2eb3:A 2gs2:A 2gs6:A 2itn:A 2ito:A 2itp:A 2itq:A 2itt:A 2itu:A 2itv:A 2itw:A 2itx:A 2ity:A 2itz:A 2j5e:A 2j5f:A 2j6m:A 2ks1:B 2n5s:A 2rgp:A 3b2v:C 3bel:A 3g5v:C 3g5y:C 3gop:A 3ob2:A 3p0y:A 3poz:A 3qwq:A 3ug1:A 3ug2:A 3vjn:A 3vjo:A 3vrp:B 3vrr:B 3w2o:A 3w2p:A 3w2q:A 3w2r:A 3w2s:A 3w32:A 3w33:A 4g5j:A 4hjo:A 4i1z:A 4i20:A 4i22:A 4i23:A 4jq7:A 4jq8:A 4jr3:A 4jrv:A 4krl:B 4kro:A 4krp:A 4li5:A 4lqm:A 4r3p:A 4r3r:A 4r5s:A 4rj4:A 4rj5:A 4rj6:A 4rj7:A 4rj8:A 4tks:A 4uip:A 4uv7:A 4wkq:A 4wrg:A 4zau:A 5c8k:A 5c8m:A 5c8n:A 5cal:A 5can:A 5cao:A 5cap:A 5caq:A 5cas:A 5cau:A 5cav:A 5czh:A 5czi:A 5edp:A 5edq:A 5edr:A 5em5:A 5em6:A 5em7:A 5em8:A 5fed:A 5fee:A 5feq:A 5gmp:A 5gnk:A 5gtz:A 5hcx:A 5hcy:A 5hcz:A 5hg5:A 5hg7:A 5hg8:A 5hg9:A 5hib:A 5hic:A 5j9y:A 5j9z:A 5jeb:A 5u8l:A 5ug8:A 5ug9:A 5uga:A 5ugb:A 5ugc:A 5uwd:A 5x26:A 5x27:A 5x28:A 5x2k:A 5xdk:A 5xdl:A 5xgm:A 5xwd:A 5y25:A 5y9t:A 5zto:A 5zwj:A 6aru:A 6d8e:A 6jrj:A 6jrk:A 6jrx:A 6jwl:A 6jx0:A 6jx4:A 6jxt:A 6jz0:A 6lub:A 6lud:A 6s89:A 6s8a:A 6s9b:A 6s9c:A 6s9d:A 6vh4:A 6vhn:A 6vhp:A 7a6i:A 7aei:A 7aem:A 7b85:A 7er2:A 7k1i:A 7kxz:A 7om4:A 7oxb:A 7tvd:A 7vra:A 7vre:A
TP53	P04637	393	364-393	102-292	 1aie:A 1c26:A 1h26:E 1jsp:A 1ma3:B 1yc5:B 1ycq:B 1ycr:B 1ycs:A 2b3g:B 2bin:A 2bio:A 2bip:A 2biq:A 2fej:A 2foj:B 2foo:B 2gs0:B 2h2d:B 2h2f:B 2h4f:B 2h4h:B 2h4j:B 2k8f:B 2l14:B 2ly4:B 2mej:B 2mwo:B 2mwp:B 2mwy:B 2mzd:B 2pcx:A 2ruk:A 2ydr:B 3d05:A 3d06:A 3d08:A 3d09:A 3igk:A 3igl:A 3lw1:B 3pdh:B 3tg5:B 4buz:B 4fz3:B 4ibv:A 4ibw:A 4ijt:A 4lof:A 4mzi:A 4qo1:B 4rp6:A 4rp7:A 4zzj:B 5bua:A 5hou:A 5hp0:A 5hpd:A 5mhc:B 5moc:B 6r5l:B 6rjz:B 6rk8:B 6rki:B 6rkk:B 6rkm:B 6rl3:B 6rl4:B 6rl6:B 6rm5:B 6rm7:B 6rwh:B 6rwi:B 6rws:B 6rwu:B 6rx2:B 6rz3:A 6s39:B 6s3c:B 6s40:B 6s9q:B 6sin:B 6sio:B 6sip:B 6siq:B 6sl6:A 6slv:B 6v4f:B 6vrm:E 6vrn:E 6xre:M 6znc:A 7b4d:A 7b4e:A 7b4f:A 7b4g:A 7b4h:A 7b4n:A 7eds:A 7el4:A 7nmi:A 8dc7:A 8dc8:A
CHEK1	O14757	476	391-476	9-265	 1ia8:A 1nvq:A 1nvr:A 1nvs:A 1zlt:A 1zys:A 2ayp:A 2br1:A 2brb:A 2brg:A 2brh:A 2brm:A 2brn:A 2bro:A 2c3j:A 2c3k:A 2c3l:A 2cgu:A 2cgv:A 2cgw:A 2cgx:A 2e9n:A 2e9o:A 2e9p:A 2e9u:A 2gdo:A 2ghg:A 2hog:A 2hxl:A 2hxq:A 2hy0:A 2qhm:A 2qhn:A 2r0u:A 2wmq:A 2wmr:A 2wms:A 2wmt:A 2wmu:A 2wmv:A 2wmw:A 2wmx:A 2x8d:A 2x8e:A 2x8i:A 2xey:A 2xez:A 2xf0:A 2ydi:A 2ydk:A 2yer:A 2yex:A 2ym3:A 2ym4:A 2ym5:A 2ym6:A 2ym7:A 2ym8:A 2ywp:A 3f9n:A 3jvr:A 3jvs:A 3nlb:A 3ot3:A 3ot8:A 3pa3:A 3pa4:A 3pa5:A 3tkh:A 3tki:A 3u9n:A 4fsm:A 4fsn:A 4fsq:A 4fsr:A 4fst:A 4fsu:A 4fsw:A 4fsy:A 4fsz:A 4ft0:A 4ft3:A 4ft5:A 4ft7:A 4ft9:A 4fta:A 4ftc:A 4fti:A 4ftj:A 4ftk:A 4ftl:A 4ftm:A 4ftn:A 4fto:A 4ftq:A 4ftr:A 4ftt:A 4ftu:A 4gh2:A 4hyh:A 4hyi:A 4jik:A 4qye:A 4qyf:A 4rvk:A 4rvl:A 4rvm:A 5dls:A 5f4n:A 5oop:A 5oor:A 5oot:A 5op2:A 5op4:A 5op5:A 5op7:A 5opb:A 5opr:A 5ops:A 5opu:A 5opv:A 5oq5:A 5oq6:A 5oq8:A 6fc8:A 6fcf:A 6fck:A 7bjd:A 7bje:A 7bjh:A 7bjj:A 7bjm:A 7bjo:A 7bjr:A 7bk1:A 7bk2:A 7bk3:A 7bkn:A 7bko:A 7mck:A 7suf:A 7sug:A 7suh:A 7sui:A
SRC	P00523	533	148-245,246-266	81-142,521-533	 1f1w:A 1f2f:A 1nlo:A 1nlp:A 1prl:A 1prm:A 1rlp:A 1rlq:A 1srl:A 1srm:A 2ptk:A 3d7t:B 3el7:A 3u4w:A 4hvu:A 4hvv:A 4hvw:A 4jz3:A 4le9:A 4oml:A 4omm:A 4omn:A 4omp:A 4omq:A 4qt7:A 4rtu:A 4rtv:A 4rty:A 4rtz:A 4ybk:A 5eca:A 5i11:A 5ob0:A 5ob1:A 6xvo:A 6xx2:A 6xx3:A 6xx4:A 6xx5:A 7a30:A 7a34:A 7a3a:A 7a3b:A 7a3e:A 7ner:A 7nes:A 7pvy:A
NOS3	P29473	1205	593-637	522-795	
JAK2	O60674	1132	758-807	849-1124	 3e62:A 3e63:A 3e64:A 3io7:A 3iok:A 3jy9:A 3kck:A 3krr:A 3rvg:A 3ugc:A 4d0w:A 4d0x:A 4d1s:A 4f09:A 4fvp:A 4fvq:A 4fvr:A 4gfm:A 4gmy:A 4iva:A 4jia:A 4ytc:A 4ytf:A 4yth:A 4yti:A 5aep:A 5i4n:A 5l3a:A 5tq4:A 5tq5:A 5tq8:A 5usz:A 5ut0:A 5ut1:A 5ut2:A 5ut3:A 5ut4:A 5ut5:A 5ut6:A 5wev:A 5wij:A 5wik:A 5wil:A 5wim:A 5win:A 6bbv:A 6brw:A 6bs0:A 6bss:A 6drw:A 6m9h:A 6oav:A 6obb:A 6obf:A 6obl:A 6occ:A 6tpd:A 6wtn:A 6wto:A 6wtp:A 6wtq:A 6xjk:A 7jyo:A 7jyq:A 7ll4:A 7ll5:A 7q7i:A 7q7k:A 7q7l:A 7q7w:A 7ree:A 7rn6:A 7t1t:A 7uyw:A
MAPK1	P28482	360	173-196	25-172,197-313	 1pme:A 1tvo:A 1wzy:A 2ojg:A 2oji:A 2ojj:A 2y9q:A 3d42:B 3d44:B 3i5z:A 3i60:A 3sa0:A 3tei:A 3w55:A 4fmq:A 4fux:A 4fuy:A 4fv0:A 4fv1:A 4fv2:A 4fv3:A 4fv4:A 4fv5:A 4fv6:A 4fv7:A 4fv8:A 4fv9:A 4g6n:A 4g6o:A 4h3q:A 4n0s:A 4o6e:A 4qp9:A 4qta:A 4qte:A 4zxt:A 4zzm:A 4zzn:A 4zzo:A 5ax3:A 5bue:A 5bui:A 5buj:A 5bvd:A 5bve:A 5bvf:A 5k4i:A 5lcj:A 5lck:A 5ngu:A 5nhf:A 5nhh:A 5nhj:A 5nhl:A 5nho:A 5nhp:A 5nhv:A 5v60:A 5v61:A 5v62:A 5wp1:A 6d5y:A 6dmg:A 6g54:A 6g8x:A 6g91:A 6g92:A 6g93:A 6g97:A 6g9a:A 6g9d:A 6g9h:A 6g9j:A 6g9k:A 6g9m:A 6g9n:A 6gdm:A 6gdq:A 6ge0:A 6gjb:A 6gjd:A 6nbs:A 6opg:A 6oph:A 6opi:A 6q7k:A 6q7s:A 6q7t:A 6qa1:A 6qa3:A 6qa4:A 6qag:A 6qah:A 6qal:A 6qaq:A 6qaw:A 6rq4:A 6slg:A 7auv:A 7e73:A 7e75:A 7nqq:A 7nqw:A 7nr3:A 7nr5:A 7nr8:A 7nr9:A 7opm:A 8ao2:A 8ao3:A 8ao4:A 8ao5:A 8ao6:A 8ao7:A 8ao8:A 8ao9:A 8aoa:A 8aob:A 8aoc:A 8aod:A 8aoe:A 8aof:A 8aog:A 8aoh:A 8aoi:A 8aoj:A
BTK	Q06187	659	3-133	402-655	 1aww:A 1awx:A 1qly:A 2ge9:A 3gen:A 3k54:A 3ocs:A 3oct:A 3pix:A 3piy:A 3piz:A 3pj1:A 3pj2:A 3pj3:A 4ot5:A 4ot6:A 4otf:A 4otq:A 4otr:A 4rfy:A 4rfz:A 4rg0:A 4rx5:A 4z3v:A 4zly:A 4zlz:A 5bq0:A 5fbo:A 5kup:A 5p9f:A 5p9g:A 5p9h:A 5p9i:A 5p9j:A 5p9k:A 5p9l:A 5p9m:A 5t18:A 5u9d:A 5vfi:A 5vgo:A 6aua:A 6aub:A 6bik:A 6bke:A 6bkh:A 6bkw:A 6bln:A 6di0:A 6di1:A 6di3:A 6di5:A 6di9:A 6e4f:A 6ep9:A 6hrp:A 6hrt:A 6htf:A 6j6m:A 6n9p:A 6nfh:A 6nfi:A 6o8i:A 6omu:A 6vxq:A 6w06:A 6w07:A 6x3n:A 6x3p:A 6xe4:A 7kxl:A 7kxm:A 7kxn:A 7kxo:A 7kxp:A 7kxq:A 7l5o:A 7lty:A 7ltz:A 7n4q:A 7n4r:A 7n4s:A 7n5o:A 7n5r:A 7n5x:A 7n5y:A 7r60:A 7r61:A
