uniprot	region_1	region_2
D9N168	3-169	336-543
Q72AS4	52-205	237-315
Q7CRA4	113-301	425-657
P03692	151-238	281-548
P14677	632-691	692-750
P9WG47	41-510	504-516
P06612	3-142	158-575
P00582	1-323	324-517
A0A0H2WY27	56-288	317-382
P77933	524-665	1132-1265
P06786	443-557	692-1159
Q8GN86	9-366	416-492
Q51504	58-206	247-546
Q70ET3	148-328	564-685
P14294	1-134	155-603
Q93TK0	22-386	436-511
O16025	374-490	491-1066
A0A140DJY3	32-394	445-522
F2Z7K9	71-220	263-557
P11224	15-296	327-566
G0WVH3	10-368	425-500
Q95VR4	11-110	146-325
E1K248	67-210	229-311
A0A0A0V031	11-372	422-496
P59676	632-691	692-750
Q6ND88	16-362	413-488
A0A0F7R6G7	27-384	443-519
Q7WU28	4-298	367-576
Q13WK3	34-393	443-520
O68880	38-167	220-351
O97193	11-204	208-333
P47736	1-17	181-397
A0A3B6UEQ0	22-167	187-264
Q2G2X6	56-288	317-382
Q941M3	31-397	448-523
O70038	113-301	425-657
A0A3N4B5A3	67-219	259-553
Q9RET4	61-237	332-601
H6SG27	24-376	438-515
Q9R744	82-257	361-631
F2Z6J5	63-211	231-312
Q9I5E6	18-267	300-476
A0A0M3KKZ3	9-117	158-457
Q72547	44-234	434-557
Q87I71	95-204	361-467
Q8X5N8	27-155	204-335
Q47NR5	33-399	450-525
A0A0E8T757	632-691	692-750
M4GWN4	7-368	418-493
Q6NC13	22-387	437-512
T2FL65	164-375	377-476
B1YSR8	70-218	259-555
B9PW60	11-171	201-324
Q6NAE3	14-363	415-489
A0R0V0	52-416	472-546
Q57540	56-288	317-382
O34006	632-691	692-750
A0A077KT11	24-380	439-514
A0A0M3KKZ4	9-117	158-457
P83789	41-122	488-732
A0A0J1PJ79	59-204	224-301
Q7NTB2	9-165	186-362
G3G8X1	166-377	379-478
Q9L869	17-163	182-264
Q8RR30	71-220	263-557
D3RV29	64-210	230-309
A0A066ZR71	79-227	247-328
F3Y661	17-378	428-506
Q63QJ1	71-219	260-558
Q8KHY3	82-257	361-631
Q2TU34	13-198	203-332
B7LGE4	59-204	224-301
C8W9X3	66-214	258-558
A9T230	93-291	295-424
Q8UM83	20-89	143-333
