gene_name	uniprot	protein_length	region_1	region_2
CHEK1	O14757	476	391-476	9-265
SRC	P00523	533	148-245,246-266	81-142,521-533
NOS3	P29473	1205	593-637	522-795
JAK2	O60674	1132	758-807	849-1124
DENND1A	Q8TEH3	1009	500-600	13-378
CAMK4	Q16566	473	305-321	46-300
CAMK2B	Q13554	666	283-292	14-272
CAMK1G	Q96NX5	476	277-317	23-276
ARHGEF26	Q96DR7	871	376-391	439-623
ARHGEF25	Q86VW2	580	348-472	155-347
AKT3	Q9Y243	479	17-147	148-405
CDK5RAP2	Q96SN8	1893	1-77	97-160
KIF4A	O95239	1232	1115-1227	9-336
MYO7A	Q13402	2215	1747-2205	65-741
MERTK	Q24564	635	516-635	9-313
PREX2	Q70Z35	1606	1581-1606	23-361
PDS5B	Q9NTI5	1447	1385-1447	1-1384
BABAM1	Q9NWV8	329	1-84	85-329
PLXNA3	P70208	1872	1244-1324,1450-1650	1325-1449,1651-1872
PAK1	P35465	544	70-149	269-520
PAK2	Q64303	524	69-146	249-500
PAK3	Q61036	559	65-161	283-534
PAK5	Q9P286	719	60-180	449-700
	P14280	546	1-219	220-557
PPP3CA	P63329	521	407-414,465-487	56-340
PRKAA1	Q5EG47	559	313-335	27-279
PRKG1	P00516	671	50-75	360-619
ERCC6	P40352	1085	12-65	309-518
RAF1	P11345	648	51-186	349-609
TLN2	Q9Y4G6	2542	1656-2345	88-406
