uniprot	region_1	region_2	region_1_len	region_2_len	pdb	pdb_length	resolution	model	chain	label_offset	pdb residues in region_1	pdb residues in region_2	percent_region_1	percent_region_2	gt_fn	af_filename
P04637	364-393	102-292	30	191	8f2h	393	2.5	0	A	0	30	191	100.0	100.0	8f2h.cif	F-P04637-F1-model_v3.cif
P04637	364-393	102-292	30	191	8f2i	393	2.5	0	A	0	30	191	100.0	100.0	8f2i.cif	F-P04637-F1-model_v3.cif
P00523	148-245,246-266	81-142,521-533	119	75	2ptk	425	2.35	0	A	-80	119	67	100.0	89.33333333333333	2ptk.cif	F-P00523-F1-model_v3.cif
P28482	173-196	25-172,197-313	24	265	1pme	328	2.0	0	A	20	24	256	100.0	96.60377358490567	1pme.cif	F-P28482-F1-model_v3.cif
P28482	173-196	25-172,197-313	24	265	1tvo	350	2.5	0	A	0	24	265	100.0	100.0	1tvo.cif	F-P28482-F1-model_v3.cif
P28482	173-196	25-172,197-313	24	265	1wzy	350	2.5	0	A	8	24	265	100.0	100.0	1wzy.cif	F-P28482-F1-model_v3.cif
P28482	173-196	25-172,197-313	24	265	2y9q	350	1.55	0	A	2	24	265	100.0	100.0	2y9q.cif	F-P28482-F1-model_v3.cif
P28482	173-196	25-172,197-313	24	265	3sa0	354	1.5947	0	A	0	24	262	100.0	98.86792452830188	3sa0.cif	F-P28482-F1-model_v3.cif
P28482	173-196	25-172,197-313	24	265	3tei	337	2.404	0	A	2	17	261	70.83333333333334	98.49056603773585	3tei.cif	F-P28482-F1-model_v3.cif
P28482	173-196	25-172,197-313	24	265	4fmq	350	2.098	0	A	2	24	265	100.0	100.0	4fmq.cif	F-P28482-F1-model_v3.cif
P28482	173-196	25-172,197-313	24	265	4fux	342	2.2	0	A	0	24	264	100.0	99.62264150943396	4fux.cif	F-P28482-F1-model_v3.cif
P28482	173-196	25-172,197-313	24	265	4fuy	329	2.0	0	A	0	24	256	100.0	96.60377358490567	4fuy.cif	F-P28482-F1-model_v3.cif
P28482	173-196	25-172,197-313	24	265	4fv0	341	2.1	0	A	0	24	262	100.0	98.86792452830188	4fv0.cif	F-P28482-F1-model_v3.cif
P28482	173-196	25-172,197-313	24	265	4fv1	342	1.99	0	A	0	24	264	100.0	99.62264150943396	4fv1.cif	F-P28482-F1-model_v3.cif
P28482	173-196	25-172,197-313	24	265	4fv2	344	2.0	0	A	0	24	264	100.0	99.62264150943396	4fv2.cif	F-P28482-F1-model_v3.cif
P28482	173-196	25-172,197-313	24	265	4fv3	346	2.2	0	A	0	24	264	100.0	99.62264150943396	4fv3.cif	F-P28482-F1-model_v3.cif
P28482	173-196	25-172,197-313	24	265	4fv7	342	1.9	0	A	0	24	263	100.0	99.24528301886792	4fv7.cif	F-P28482-F1-model_v3.cif
P28482	173-196	25-172,197-313	24	265	4g6n	341	2.0	0	A	0	24	264	100.0	99.62264150943396	4g6n.cif	F-P28482-F1-model_v3.cif
P28482	173-196	25-172,197-313	24	265	4g6o	339	2.2	0	A	0	24	261	100.0	98.49056603773585	4g6o.cif	F-P28482-F1-model_v3.cif
